2,小時了了,Uf7WG-rVcb4
3,胸有成竹,KdUJ8qQxRCM
4,世外桃源,mksQeN8qI9A
5,愚公移山,AkdZxAVw1hY
6,孺子可教,c71SmZAoh0Y
7,入木三分,htnIIye6kCQ
8,揚眉吐氣,op2nMsgFTy8
9,三顧茅廬,wyxHogqCTRo
10,守株待兔,Goafk-pKLlc
11,自相矛盾,eclNljXeBEI
12,河東獅吼,ckccGUl3m0c
13,江郎才盡,OA49WNo7zqs
14,杞人憂天,NMcI1BfSUTM
15,伯樂相馬,q-qS2-TVOIM
16,不求甚解,KjplmqOfh5E
17,東施效顰,E3KbpTSX2d4
18,如魚得水,Y86xAPYHFV0
19,瞻前顧後,OLCYWAuOuIc
20,井底之蛙,iuqCSeAXvos
21,揠苗助長,dwSqucLdZPs
22,舉一反三,643J3uCnaP8
23,雞鳴狗盜,70xwR2CUvO8
24,東山再起,RzNa5YSlidU
25,朝三暮四,_9QT8lScV1U
26,沉魚落雁,I6VycKB2jpI
27,覆水難收,uCnNoVAewF8
28,班門弄斧,8bGhURSr8Nk
29,落井下石,c-RGQS8zy3I
30,狡兔三窟,U508UPuojL4
31,黔驢技窮,Cdchy8Y-P2k
32,以訛傳訛,-H5oK_Bbtds
33,破釜沉舟,tLgNOE1nPP0
