1,自相矛盾,bAmjM_-Xx_I
2,好好先生,1zbtlgJhUI4
3,鐵杵磨針,Mvtx2o3rSjA
4,信口雌黃,Qjny8jsdTa4
5,玘人憂天,lyKPygRJjWg
6,杯弓蛇影,ok83aG38C7g
7,此地無銀,hAyzoW5woO4
8,掩耳盜鈴,5Zd1npuYtpw
9,河東獅吼,rjCcBar4rk0
10,東施效顰,ppmrfakFsRw
11,愚公移山,HuO9LUxXVXU
12,守株待兔,DUGfdls9iMM
13,雞犬不寧,gpu3kFe4wOk
14,山雞舞鏡,89OhR5-fuFc
15,紙上談兵,J38abHmDPAE
16,熟能生巧,HFv920BmwlQ
17,鄭人買履,RHGNiXlmbPo
18,博士買驢,BGMLEGFQ7JM
19,衣冠禽獸,hx8AWWlk1YM
20,老生常談,zo3bVpv1tn0
21,家徒四壁,Xsaa1ePlMyc
22,改過自新,n7pEso6VNcM
23,殺一儆百,-4Z4Ne47MgY
24,買櫝還珠,MTWDYmVg63E
25,玩物喪志,JGMOvvkG8r8
26,冥頑不靈,DoSr5Yckftw
27,畫蛇添足,tfgcbxsdV0U
28,按圖索驥,mMZzQ64Z3K0
29,邯鄲學步,8IvcapYlN9E
30,奇貨可居,Prld7OjXdoU
31,坐井觀天,YOQ-rk9K9MU
32,雞犬升天,dGzbVh3giD4
33,撲朔迷離,khx-P_7xEbE
34,刻舟求劍,mBT7ikB2LaE
35,煮豆燃箕,8XjZUniD7tY
36,鴻鵠之志,y7xGtiZbmoo
37,千金買骨,njX4oRHqyOA
38,前倨後恭,YlweEL6M1HA
39,黔驢技窮,h7xaEuZJANQ
40,老馬識途,wEApukAywY0
41,魚目混珠,Yj7MC6tgrL0
42,金玉其外,f0v1by5Ul2g
43,一葉障目,z87gNVC3cPA
44,月下老人,x7QFq11D8CE
45,專心致志,VUarp4qfV4g
46,塞翁失馬,HkGmquUzEAc
47,狐假虎威,IUpYXiCfu4c
48,打草驚蛇,uwQF8L03RZg
49,再作馮婦,SfolGHaEGE8
50,後生可畏,sWMO-oe0IUc
51,州官放火,EBTJ9JnI3nw
52,瓜田李下,X1ZQKMZVYvQ
53,門庭若市,Sdc5Q0rEJBo
54,道聽塗說,DsWHOxNbnCE
55,孺子可教,wGG46OaQxB8
56,與狐謀皮,jx7_Dp3hFIo
57,濫竽充數,ld1f508G7J4
58,望梅止渴,jyr-ijEkR_s
59,朝三暮四,GU3TjFXT6vw
60,驚弓之鳥,ZcYw0IfMuvI
61,三人成虎,5j3pkuyWa6k
62,華而不實,_JjZzV6Lfck
63,一鳴驚人,0AxG5nOPJuk
64,五十步笑百步,7noo4HQ6_0o
65,鑿壁偷光,GBO-uBfrP18
66,望洋興嘆,5rfNPeHJY9I
67,覆水難收,aJ03cV6STt0
68,天衣無縫,Z_5l92SbLvY
69,賈人渡河,eqp52cLQ1d4
70,一毛不拔,GsJWsOOngRU
71,投鼠忌器,fMqGmn5AuIg
72,得過且過,Lm2LpSQj7NM
73,負荊請罪,BdH3DMA9M78
74,繞樑三日,zsTS9A0SpMU
75,雞鳴狗盜,ChWBYGtPeD0
76,草木皆兵,KpaqenvJGNE
77,千里送鵝毛,EiZQXOnPWYQ
78,名落孫山,GIwUBXBD8pY
79,亡羊補牢,sw8t0n5QHD0
80,四面楚歌,kicNd-AvXF4
81,精衛填海,TN8CFp4DaGo
82,大公無私,qqyET5N-gNs
83,完璧歸趙,kb1_DlhwDzE
84,三顧茅廬,-Mc7f_zaXXQ
85,大義滅親,ExQY-VA9c6M
86,囫圇吞棗,P34P3svsNG4
87,才高八斗,7GkSJTXvIs0
88,約法三章,m_hpAxmYXQg
89,項莊舞劍,XUooGhL9tnM
90,殺雞取卵,xJe6hGiYPPM
91,盲人摸象,Vg2pCIgiJF8
92,以貌取人,FZGqPotC9yk
93,一字千金,RGp49XS8rRw
94,半途而廢,fGwyk4gImGI
95,毛遂自薦,vnIQQCZ_XDQ
96,過河拆橋,XxslJNGdO94
97,揠苗助長,YHZZai5Ua2w
98,南柯一夢,TgbozKUaGXU
99,曹沖稱象,1vADtWxSLLQ
100,臥薪嘗膽,Qg5wfDet4cY
101,天下無雙,PGJhRMgpdj8
102,司空見慣,kolBDgTJbFk
103,弄巧成拙,vBfelnjQEuA
104,唇亡齒寒,2vlNoDQIQwI
105,愛屋及烏,RG6OpSbbnoM
106,洛陽紙貴,6sZD3-qG3eQ
107,士別三日,-kZ6etuTRfc
108,草船借箭,yQDtT5GLy94
109,破釜沉舟,hnowPONqmds
110,江郎才盡,AspVV5Bm_LM
111,胸有成竹,aF19FMrk6Vs
112,賓至如歸,y0GBYGhW7kA
113,畫餅充飢,wM_0pO8rVMU
114,異軍突起,oHlmMwHHtgU
115,相濡以沫,EkWXPhduxdg
116,高枕無憂,E9BX_CYETQc
117,口蜜腹劍,YkZREJKzFOU
118,指鹿為馬,T3ndBuVBQRE
119,聞雞起舞,u562WMWzYJ0
120,紙醉金迷,jR4demruFdQ
