1,業精於勤,6vTLobV8W-c
2,先禮後兵,1IGD8O_JR8I
3,奮不顧身,IWyDeYNJAGM
4,拍手稱快,irFMxJwoosw
5,貧賤之交,PMOEBCaKcwA
6,飲鴆止渴,BNu7b3i87Gw
7,功成名就,34804TO65tU
8,供不應求,Vd0WZb7l1hU
9,天道酬勤,cdTlKZ3YWuA
10,奇花異草,tW37_OwHJes
11,急於求成,rWutmSpwDQM
12,扼腕長嘆,zGEyat8JZhs
13,拉人下水,psntQ4Of8NI
14,機不可失,zD6xnEzzzoU
15,渴者易飲,Bkql4yuplDQ
16,登山小魯,AfJvxW0ZarU
17,登木求魚,_Jv2ehjeap4
18,防患未然,bZ9__7w5RXc
19,神乎其技,FE0PXt0CyCs
20,阿保之功,sLJLZyivqu0
21,阿諛奉承,lYqGjh3UC3Q
22,革邪反正,23cUFYwoYfc
23,鳥盡弓藏,c8t6_r_W5OA
24,鵝毛大雪,Xc9rBts_hY0
25,關門大吉,IfX29Bh_Od4
26,兵馬未動糧草先行,nevLQeVlDv8
27,哀梨蒸食,jeBi37zNVCA
28,哀矜勿喜,tcnvONbCJcE
29,安土重遷,Ks_GTLTeNlM
30,必經之路,l4fwG-s1iP0
31,惡貫滿盈,VgA5MPpFPSk
32,點屏成蠅,LI88sZ8J5Rg
33,額手稱慶,PwDhjyt5evk
34,鵝行鴨步,btSdlyM3EKo
35,假戲真做,qYi3pJ6ajJQ
36,急中生智,ILgoMPTQzSI
37,狼前虎後,fapocuMFm9Y
38,鹿死誰手,vdQ-h3MVbJw
39,疾足先得,tIYVMBoP4mg
40,看人下菜,0yP8v-WGXLI
41,集思廣益,XntiM4zHObY
42,東壁余光,vCBZkMb5_K8
43,哀絲豪竹,Bf4Ss7B_7MI
44,嫉惡如仇,M55fFQ_tDhU
45,畫影圖形,29uO1R__iKE
46,背信棄義,yCsgoHQY0Zs
47,矮小精悍,vOHNrWofv58
48,繼往開來,eeCTIj5AqvM
49,鼾聲如雷,AfPNwoyNfTc
50,萬事俱備只欠東風,w7CO9eEnad8
51,孤蹄棄驥,gguFLgCJ3AM
52,安富卹貧,zRXqW1QKy4w
53,安邦治國,AX5F41l8iiY
54,龐然大物,S5OjhQ-aGjU
55,開花結果,tqAi_a8_Ouc
56,撲朔迷離,2x9D3AinldI
57,排山倒海,HTqrj_VYbYo
58,排憂解難,_BJ_LW7Asr0
59,秋後算賬,xk4PNBVQlVE
60,難解之謎,XDZUtKExODw
61,難解難分,bVoKoi1EtaM
62,韓盧逐逡,-u1ofTdTc0M
63,鳥槍換炮,Z_qp2r6LAb4
64,平淡無奇,egX4eVtI_FU
65,躡手躡腳,nrP9fottSSQ
66,一字千金,6PBYRfgXiog
67,世外桃源,6ePToCjYozw
68,千呼萬喚,cyje0mpv4XU
69,判若鴻溝,DYels6P6Mqs
70,南販北賈,glrDfcyp1MU
71,南鷂北鷹,r1cwaJw2-CA
72,哀樂相生,fb1pZdev7t0
73,妖言惑眾,pgBa_x9S52Q
74,廢耳任目,7fBUwNkKnaU
75,投其所好,oRal2b2aHYM
76,旁敲側擊,P4EcXzDVF2s
77,旁若無人,jr1ZajUzMFc
78,無所適從,HVxRm1_Zff0
79,是可忍孰不可忍,Z0_7NyGRbjg
80,水碧山青,aYEoxjZux98
81,南鷂北鷹,FeAcoBUNyL0
82,盤根錯節,0zva8A6KZso
83,盤根問底,I1p5ehFuoPY
84,盤馬彎弓,v4-WuaVYuDQ
85,移天縮地,uPHgCDCSOFM
86,自得其樂,07HtUL1QUfw
87,虎頭上捉蝨子,3rMnvCmVXYo
88,記功忘過,Wh5UgasfdAo
89,費力不討好,a5qgbKqV2t4
90,追風逐日,iALpEPJzs_g
91,難得糊塗,8ZyUh4NYtkg
92,驕兵之計,7Ua1J4KrgZY
93,平地風波,PHzifHnXwYE
94,年已蹉跎,pR7AjTJAq30
95,漂洋過海,SsTBhN5hkGM
96,項莊舞劍意在沛公,PkByCWje7Ro
97,鷗波萍跡,aPgoVVHJrIE
98,為富不仁,YnH_wwvAeXM
99,暗紅稀綠,RF-Z009eZuo
100,昂昂不動,xMcoMeHpzio
101,八百孤寒,CFUiYUgO_Jw
102,大地回春,GKBlVYEaLq0
103,排斥異己,4cYcG0JzfKI
104,逆來順受,lAQ9PkeYYfw
105,耳目眾多,OJ6w9H_rI2c
106,繁弦急管,i1UPMaLn1C4
107,高傲自大,vMWtVfE3OMI
108,漢人煮簀,ka5PQ32M4jg
109,撼樹蚍蜉,MkXRDEc8pfE
110,萑苻遍野,Vd5hcgScjbs
111,黃耳傳書,vjxeNxMaDXI
112,昏昏欲睡,RlPThWlRF9c
113,靠天吃飯,dLgErctE4VU
114,襤褸篳路,dFkrQm7urxk
115,顆粒無收,bylrEZS3A-Y
116,老虎屁股摸不得,wtR8reGThAg
117,寧缺毋濫,tG7qN8l608g
118,貪蛇忘尾,L-te3WgZFP8
119,喜新厭舊,NVbbj4FmVEA
120,嚴師出高徒,4WltTJAgaPc
121,嚴絲合縫,swxK4-qZGqE
122,羊腸九曲,-WeNhrD0yh4
123,偃兵息甲,N7pogGKWGiE
124,一分耕耘一分收穫,K0v07YkhN2k
125,一知半解,pLm5Y5Y3A-s
126,七竅生煙,rRnrofOxW3o
127,千里不同風百里不同俗,wL47Dz77azI
128,削鐵如泥,VwNKZtOePy4
129,各取所需,Ek5Bxg7IXrk
130,各盡所能,2gnLdu9jYy8
131,因人成事,s4m3NKLy3GA
132,天府之國,gljkSbxlDgk
133,奮發圖強,yezwYFZ13xs
134,平步青雲,c61l390MWPM
135,開門揖盜,YsiN7lTv7SQ
136,急功近利,zRE4-yJy3hg
137,唯利是圖,76iT4k5ZAFo
138,摩肩接踵,nTucBduR8bA
139,旁門左道,sNTPP_sE5N8
140,無人問津,tZ4kxtYfCBw
141,有教無類,tcTeJyMfqgY
142,破涕為笑,k9lQWIbbt-U
143,繁徵博引,jtSteJ505Ic
144,耳濡目染,iskC9dBo0j4
145,苦盡甘來,DbcWonc8fUc
146,言傳身教,Ep61fkertUc
147,賈人渡河,emcmbAtpuxA
148,運斤成風,TYP4oGOqhEo
149,一心一意,gaQIYlXyl0g
150,一文不值,qsEhEhqjEgA
151,不入虎穴焉得虎子,HU1mvVfgE80
152,文武全才,sg4PvtWPouY
153,槍林彈雨,_b-0k2YrjiI
154,監守自盜,jwdHmB91gVg
155,蒙混過關,_iepSRZxdGU
156,貂狗相屬,dK3tK0zzlPc
157,防不勝防,rUIIYgDcnkE
158,債台高築,fqNSDzB7Lxo
159,否極泰來,uX-mwmd0qSI
160,妻梅子鶴,uCYEsQbJm7I
161,寧折不彎,FJU_LjNa7Ps
162,弄假成真,14gmVcIR6Vs
163,知難而進,_xgBpWToLvE
164,肝膽相照,owfcAz_7HR8
165,蛛絲馬跡,7uk16jNPHkI
166,錙銖必較,qVFaL8MU3n8
167,興師動眾,QPizI-e7fR8
168,品學兼優,05UC-w1iyJM
169,尊老愛幼,c-zcqjiwcY4
170,得魚忘筌,NYrtlmGPhzA
171,非同尋常,H5ONuq4P-jw
172,分工合作,R5WG_vDCb5Y
173,不可多得,_6R5Cxsw2Wc
174,動輒得咎,YDBW9JfEZ7k
175,打草驚蛇,wq7V1UFLmRg
176,扒高踩低,Vt-awzN0ND4
177,拔本塞源,XAFzTsTPoR0
178,探驪得珠,K8gTIkYooRM
179,牛鼎烹雞,bLsPrvmaeBU
180,先聲奪人,uROj54RJOP8
181,溫故知新,UvXDwCU_bQs
182,還年卻老,L6C9uvv-T_8
183,居大不易,7s1AKflsJP8
