[重見]天日	被拘禁的人重新見到光明，獲得自由。＆幽藏的事物重見於世。＆比喻冤屈得到伸雪。
[約法]三章	泛指事先約好或規定的事。
[道貌]岸然	形容外表莊重嚴肅的樣子。
[血流]漂杵	形容戰場上殺戮的慘酷。
[有恃]無恐	形容有依靠而無所顧忌。
[萬劫]不復	佛教謂人一旦墮入地獄，雖歷經萬次世界毀滅那久的時間，也不易投胎為人。＆比喻無法挽救的行為或命運。
[平易]近人	形容態度和藹親切，容易接近。＆形容詩文淺白易懂。
[飛揚]跋扈	形容態度蠻橫放縱，不受約束。貶義[快刀斬亂麻]	比喻以果斷迅捷的手段解決複雜錯綜的問題。。
[苦口]婆心	形容以懇切真摯的態度，竭力勸告他人。
[躊躇]滿志	怡然自得地感到心滿意足。
[不屈]不撓	指意志堅毅，絕不屈服。
[以德]報怨	表示不記仇恨，反以恩德回報他人。
[比比]皆是	形容到處都是。
[春風]化雨	指適合草木生長的和風及雨水。＆比喻師長和藹親切的教導。
[顛沛]流離	形容生活困迫不安，四處流浪。
[雷厲]風行	比喻人行事嚴格迅速。
[繼往]開來	承續先人的事業，並為後人開拓道路。
[十拿]九穩	比喻很有把握。
[窮兵]黷武	表示恣意運用兵力，發動戰爭。
[聚精]會神	形容專心致志，精神集中。
