[狼心]狗肺	比喻人心腸狠毒，毫無良心。貶義。
[殺人]越貨	殺人搶劫。
[頑石]點頭	比喻說理透澈，使人心服。
[罪魁]禍首	領導或策劃肇禍犯罪的首要人物。貶義。
[冤家]路窄	仇人或不願見到的人，偏在狹小的路上相遇，無法躲避。
[珠圓]玉潤	比喻文詞、歌聲、字跡的流利、圓潤、娟秀。
[焦頭]爛額	燒焦頭，灼爛額。形容救火時為火燒灼得很嚴重。＆比喻做事陷入十分狼狽窘迫的困境或犧牲慘重。
[德高]望重	形容人品德高尚，極有聲望。褒義。
[銳不]可當	形容氣勢威猛，所向無敵。
[胡作]非為	指不顧法紀或不講道理的任意妄為。貶義。
[漏網]之魚	比喻僥倖逃脫法網的人。＆比喻驚慌逃竄的人。
[適可]而止	指事情做到恰到好處就該停止。
[無所]適從	不知聽從誰才好。＆比喻不知如何是好。
[賞心]悅目	形容情景美好，使心目都感到快樂舒暢。
[錙銖]必較	計較小錢。貶義。＆形容對很小的事十分計較。
[苟且]偷安	形容得過且過，只圖眼前安逸，不顧將來。
[指日]可待	形容願望或期盼不久即將實現。
[蛛絲]馬跡	比喻可供尋查推求的細微線索。
[藏頭]露尾	形容言多隱諱，舉止畏縮的樣子。
[離鄉]背井	指離開故鄉，在外地生活。
