ant	螞蟻	--
nine	九	--
happy	快樂的	--
father	父親	--
up	向上	--
box	盒子	--
ruler	尺	--
sure	確定的	--
red	紅色	--
color	顏色	--
bag	袋子	--
seven	七	--
sad	悲傷的	--
mother	母親	--
we	我們	--
and	和	--
eraser	橡皮擦	--
book	書	--
have/has	有	--
wrong	錯誤的	--
cat	貓	--
six	六	--
angry	生氣的	--
brother	兄弟	--
love	喜愛	--
for	為了	--
this	這個	--
notebook	筆電	--
let’s	我們一起...	--
eight	八	--
ten	十	--
tired	疲倦的	--
sister	姊妹	--
family	家庭	--
card	卡片	--
that	那個	--
marker	簽字筆	--
read	讀	--
big	大的	--
fox	狐狸	--
hat	帽子	--
today	今天	--
who	誰	--
tall	高的	--
gift	禮物	--
a	一個	--
case	箱、盒	--
story	故事	--
dog	狗	--
hello	喂	--
hi	嗨	--
I	我	--
name	名字	--
goat	山羊	--
what	什麼	--
you	你	--
duck	鴨	--
egg	蛋	--
kid	小孩	--
yes	是	--
leg	腿	--
milk	牛奶	--
ox	公牛	--
pig	豬	--
she	她	--
quiz	小考	--
rat	溝鼠;鼠輩	--
sun	太陽	--
top	頂端	--
short	短的	--
strong	強壯的	--
thin	瘦的	--
too	也，太	--
vest	背心	--
wish	祝福...	--
new	新的	--
year	年	--
pen	筆	--
pencil	鉛筆	--
look	看	--
cute	可愛的	--
map	地圖	--
fat	胖的	--
borrow	借	--
excuse	原諒	--
cool	涼爽的	--
Cool!	酷!	--
desk	251.書桌	--
hen	母雞	--
draw	畫	--
picture	圖片，照片	--
blue	藍色	--
yellow	黃色	--
green	綠色	--
pin	大頭針	--
rabbit	兔子	--
snake	蛇	--
they	他們	--
really	真地	--
pot	罐，鍋子	--
here	這裡	--
cold	寒冷的	--
come	來	--
doctor	醫生	--
bat	蝙蝠	--
bed	床	--
vat	大桶	--
fourteen	十四	--
make	製作	--
hop	單腳跳	--
special	特別的	--
now	現在	--
rain	下雨	--
teacher	教師	--
boy	男孩	--
feel	覺得	--
save	挽救	--
twelve	十二	--
bus	公車	--
see	看	--
do	做	--
play	玩	--
away	遠離	--
student	學生	--
bad	壞的	--
chair	椅子	--
safe	安全的	--
thirteen	十三	--
bee	蜜蜂	--
small	小的	--
sunny	晴朗的	--
warm	溫暖的	--
again	再一次	--
nurse	護士	--
in	在...裡面	--
sofa	沙發	--
fat	胖的	--
fifteen	十五	--
is	是(第三人稱）	--
long	長的	--
rainy	下雨的	--
good	好的	--
another	另一個的	--
cook	煮飯	--
on	在...上面	--
find	找到	--
one	一	--
time	時間	--
ghost	鬼	--
short	短的	--
the	這/那	--
bug	小蟲、甲蟲	--
flower	花朵	--
kiss	親吻	--
cloudy	多雲的	--
windy	多風的	--
how	如何	--
weather	天氣	--
morning	早上	--
cap	無邊帽	--
pet	寵物	--
cup	茶杯	--
little	小的	--
day	日子	--
want	想要	--
trash	垃圾	--
grandfather	祖父	--
grandmother	祖母	--
yummy	好吃的	--
sit	坐	--
shake	搖動	--
hand	手	--
smart	聰明的	--
under	在...之下	--
by	藉著	--
where	何處	--
neck	脖子	--
black	黑色	--
glasses	眼鏡	--
head	頭	--
key	鑰匙	--
can	能夠	--
fan	扇子	--
two	二	--
three	三	--
four	四	--
five	五	--
eleven	十一	--
o’clock	點鐘	--
hurry	趕忙	--
minute	分鐘	--
please	請	--
ready	準備好的	--
spider	蜘蛛	--
lantern	燈籠	--
mask	面具	--
smell	聞起來	--
give	給予	--
