Each [applicant] is required to submit a resume	每個申請人都需要提交一份簡歷
I've sent off [applications] for four different jobs.	我寄出了求職信，分別申請4份不同的工作。
I'm very [apprehensive] about tomorrow's meeting.	想到明天的會議，我就有些惴惴不安。
We will take your personal [aptitudes] and abilities into account.	我們會考慮你的個人天賦和才能。
Most people [associate] this brand with good quality.	大多數人把這個品牌和優良品質聯繫在一起。
The British Medical [Association] is campaigning for a complete ban on tobacco advertising.	英國醫學協會正發起一項全面禁止煙草廣告的運動。
She works as a [bilingual] secretary for an insurance company.	她在一家保險公司擔任雙語秘書。
a [broad] knowledge of marketing strategies	營銷策略的[廣泛]知識
There are three [candidates] standing in the election.	有三位候選人參加競選。
If you want to be classified as being physically handicapped, you must have [certification] from a hospital. 	你若要申請殘障人士，必須要有醫院的證明。
a birth/marriage/death [certificate]	出生／結婚／死亡證明
a salary that is [commensurate] with skills and experience	與技能和經驗相稱的薪水
I have complete [confidence] in her. She'll be perfect for the job.	我對她信心十足，她完全能勝任這份工作。
interior design [consultant]	室內設計 [顧問]
If the symptoms get worse, [consult] your doctor.	如果症狀惡化, 去諮詢你的醫生。
a [bachelor]’s degree	[學士] 學位
a [master]’s degree	[碩士] 學位
[part-time] worker	【兼職】工人
Are you [eligible] for early retirement/maternity leave?	你符合提前退休／休産假的條件嗎？
Only people over 18 are [eligible] to vote	只有18歲以上的人才有資格投票。
A certain level of error is [allowable]	一定程度的錯誤是容許的。
[Employment] levels are unlikely to rise significantly before the end of next year.	在明年年底之前就業率很難有大幅度提升。
Being unemployed [entitles] you to free medical treatment.	失業時，你有權享受免費醫療。
[get through] the interviews	[通過]面試
[highly] qulified candidates	[高度] 合格的候選人
wage [increments]	加薪
He's [lagging] behind - I think we'd better wait for him to catch us up.	他有點脫隊了——我看我們最好等他趕上來。
[managerial] position	【管理】崗位
The candidate’s qualifications [match] the job description	候選人的資格[匹配]職位描述
[meet] one’s needs	【滿足】需求
[meet] customer demand	【滿足】客戶需求
a [minimum] of three year’s experience	至少三年的經驗
Journalism is an challenging [occupation]	新聞業是一個具有挑戰性的[職業]
job [openings]	職位空缺
the [opening] of a new branch	[開設] 新分店
Applicants must apply in person unless [otherwise] indicated	除非[另有]說明，否則申請人必須親自申請
paycheck	薪水
The company is growing fast, adding another 100 employees to its [payroll] over the last year.	公司發展迅速，在職員工在去年內又增加了100人。
the national [pension] plan	國家[養老金]計劃
[probationary] period	【試用期】
[professional] ethics	職業道德
[professional]s of the academic community	學術界的[專業人員]
[proficiency] in a second language	[精通]第二語言
[prospective] employees	[符合預期的] 員工
[qualified] applicants	【合格】申請人
[recruit]s promising graduates	[招聘]有前途的畢業生
write a [reference] for her	為她寫一個[推薦信]
All applicants will be considered [regardless of] age, gender, or race.	所有申請人 [不設限] 年齡、性別或種族。
Frequent travel is a [requirement] of this position	經常出差是這個職位的[要求]
[achieve] one’s goal	【達成】目標
An Olympic silver medal is a remarkable [achievement] for one so young.	對於如此年輕的選手而言，奪得奧運會銀牌是個了不起的成就。
by the hour	按小時
dress [formally]	穿著[正式]
dressed in [suit]	穿著[西裝]
[full-time] job	【全職】工作
give a warm [welcome]	給個熱烈[歡迎]
give [notice] to	給[通知]給
newcomer	新人
He's one of the kindest and most intelligent, not to [mention] handsome, men I know.	他是我所認識的人當中其中一個最友善、最聰明的人，此外他還很英俊。
The competition will be judged by a [panel] of experts.	這次競賽將由一個專家小組評審。
[practical] experience	【實戰】經驗
profile	個人簡介
secretary	秘書
site [supervisor]	現場 [主管]
staff [orientation]	員工職前訓練
take an [examination]	參加[考試]
[address] the audience	向觀眾演說
She's very [adept] at dealing with the media.	她應付媒體遊刃有餘。
[Against all the odds], he recovered.	他克服一切不利病況康復了。
I think everyone should be [literate]	我認為人人都應該能讀會寫。
All the candidates had excellent academic [credentials].	所有候選人都具有優秀的學歷。
diploma	文憑
inexperience	經驗不足
[interpersonal] skills	【人際關係】技能
novice	新手
She is the pre-[eminent] authority in her subject.	她在自己的學科領域是傑出的權威。
Passing a written test is a [prerequisite] for taking the advanced course.	通過筆試是學習進階課程的前提。
probationer	試用者
a restaurant that [specializes] in seafood	專營海鮮的餐館
