cast	(v) 投,擲; 選派...扮演角色	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的
feature	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的	(adj) 可以接受的;令人滿意的
sex	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的	(adj) 可以接受的;令人滿意的	(adj) 準確的
odd	(adj) 奇特的,古怪的;單數的	(adj) 可以接受的;令人滿意的	(adj) 準確的	(adj) 實際的;事實上的
acceptable	(adj) 可以接受的;令人滿意的	(adj) 準確的	(adj) 實際的;事實上的	(adj) 附加的;額外的
accurate	(adj) 準確的	(adj) 實際的;事實上的	(adj) 附加的;額外的	(adj) 先進的;高等的
actual	(adj) 實際的;事實上的	(adj) 附加的;額外的	(adj) 先進的;高等的	(adj) 明顯的,顯而易見的
additional	(adj) 附加的;額外的	(adj) 先進的;高等的	(adj) 明顯的,顯而易見的	(adj) 算術的
advanced	(adj) 先進的;高等的	(adj) 明顯的,顯而易見的	(adj) 算術的	(adj) 有吸引力的;引人注目的
apparent	(adj) 明顯的,顯而易見的	(adj) 算術的	(adj) 有吸引力的;引人注目的	(adj) 自動的,習慣性的
arithmetic	(adj) 算術的	(adj) 有吸引力的;引人注目的	(adj) 自動的,習慣性的	(adj) 可用的,可得到的,有效的
attractive	(adj) 有吸引力的;引人注目的	(adj) 自動的,習慣性的	(adj) 可用的,可得到的,有效的	(adj) 平均的
automatic	(adj) 自動的,習慣性的	(adj) 可用的,可得到的,有效的	(adj) 平均的	(adj) 醒著的
available	(adj) 可用的,可得到的,有效的	(adj) 平均的	(adj) 醒著的	(adj) 知道的,察覺的
average	(adj) 平均的	(adj) 醒著的	(adj) 知道的,察覺的	(adj) 可怕的
awake	(adj) 醒著的	(adj) 知道的,察覺的	(adj) 可怕的	(adj) 裸的;僅僅的
aware	(adj) 知道的,察覺的	(adj) 可怕的	(adj) 裸的;僅僅的	(adj) 無畏的;大膽的
awful	(adj) 可怕的	(adj) 裸的;僅僅的	(adj) 無畏的;大膽的	(adj) 明亮的;才華橫溢的;傑出的
bare	(adj) 裸的;僅僅的	(adj) 無畏的;大膽的	(adj) 明亮的;才華橫溢的;傑出的	(adj) 有...的能力
bold	(adj) 無畏的;大膽的	(adj) 明亮的;才華橫溢的;傑出的	(adj) 有...的能力	(adj) 可處死刑的
brilliant	(adj) 明亮的;才華橫溢的;傑出的	(adj) 有...的能力	(adj) 可處死刑的	(adj) 非正式的;隨便的
capable	(adj) 有...的能力	(adj) 可處死刑的	(adj) 非正式的;隨便的	(adj) 陶器的;製陶藝術的
capital	(adj) 可處死刑的	(adj) 非正式的;隨便的	(adj) 陶器的;製陶藝術的	(adj) 易變的;不定的
casual	(adj) 非正式的;隨便的	(adj) 陶器的;製陶藝術的	(adj) 易變的;不定的	(adj) 使人感到愉快的
ceramic	(adj) 陶器的;製陶藝術的	(adj) 易變的;不定的	(adj) 使人感到愉快的	(adj) 涼颼颼的
changeable	(adj) 易變的;不定的	(adj) 使人感到愉快的	(adj) 涼颼颼的	(adj) 冷颼颼的
cheerful	(adj) 使人感到愉快的	(adj) 涼颼颼的	(adj) 冷颼颼的	(adj) 市民的,國民的
chill	(adj) 涼颼颼的	(adj) 冷颼颼的	(adj) 市民的,國民的	(adj) 古典的
chilly	(adj) 冷颼颼的	(adj) 市民的,國民的	(adj) 古典的	(adj) 商業的;商務的
civil	(adj) 市民的,國民的	(adj) 古典的	(adj) 商業的;商務的	(adj) 複雜的
classical	(adj) 古典的	(adj) 商業的;商務的	(adj) 複雜的	(adj) 有信心的
commercial	(adj) 商業的;商務的	(adj) 複雜的	(adj) 有信心的	(adj) 神志清醒的,有知覺的
complex	(adj) 複雜的	(adj) 有信心的	(adj) 神志清醒的,有知覺的	(adj) 相當大的;相當多的
confident	(adj) 有信心的	(adj) 神志清醒的,有知覺的	(adj) 相當大的;相當多的	(adj) 固定的,不變的
conscious	(adj) 神志清醒的,有知覺的	(adj) 相當大的;相當多的	(adj) 固定的,不變的	(adj) 可計算的;可數的
considerable	(adj) 相當大的;相當多的	(adj) 固定的,不變的	(adj) 可計算的;可數的	(adj) 有創造力(或想像力)的
constant	(adj) 固定的,不變的	(adj) 可計算的;可數的	(adj) 有創造力(或想像力)的	(adj) 犯罪的,犯法的
countable	(adj) 可計算的;可數的	(adj) 有創造力(或想像力)的	(adj) 犯罪的,犯法的	(adj) 脆的,酥的,鬆脆的
creative	(adj) 有創造力(或想像力)的	(adj) 犯罪的,犯法的	(adj) 脆的,酥的,鬆脆的	(adj) 酥脆的;清脆的
criminal	(adj) 犯罪的,犯法的	(adj) 脆的,酥的,鬆脆的	(adj) 酥脆的;清脆的	(adj) 發嘎吱嘎吱聲的;易碎的
crisp	(adj) 脆的,酥的,鬆脆的	(adj) 酥脆的;清脆的	(adj) 發嘎吱嘎吱聲的;易碎的	(adj) 教養的;人文的
crispy	(adj) 酥脆的;清脆的	(adj) 發嘎吱嘎吱聲的;易碎的	(adj) 教養的;人文的	(adj) 現行的
crunchy	(adj) 發嘎吱嘎吱聲的;易碎的	(adj) 教養的;人文的	(adj) 現行的	(adj) 親愛的,心愛的;寵愛的
cultural	(adj) 教養的;人文的	(adj) 現行的	(adj) 親愛的,心愛的;寵愛的	(adj) 有民主精神的
current	(adj) 現行的	(adj) 親愛的,心愛的;寵愛的	(adj) 有民主精神的	(adj) 值得嚮往的;富有魅力的
darling	(adj) 親愛的,心愛的;寵愛的	(adj) 有民主精神的	(adj) 值得嚮往的;富有魅力的	(adj) 勤勉的
democratic	(adj) 有民主精神的	(adj) 值得嚮往的;富有魅力的	(adj) 勤勉的	(adj) 微暗的;暗淡的
desirable	(adj) 值得嚮往的;富有魅力的	(adj) 勤勉的	(adj) 微暗的;暗淡的	(adj) 國內的
diligent	(adj) 勤勉的	(adj) 微暗的;暗淡的	(adj) 國內的	(adj) 懷疑的
dim	(adj) 微暗的;暗淡的	(adj) 國內的	(adj) 懷疑的	(adj) 戲劇性的;引人注目的
domestic	(adj) 國內的	(adj) 懷疑的	(adj) 戲劇性的;引人注目的	(adj) 昏昏欲睡的
doubtful	(adj) 懷疑的	(adj) 戲劇性的;引人注目的	(adj) 昏昏欲睡的	(adj) 喝醉(酒)的;陶醉的,興奮的
dramatic	(adj) 戲劇性的;引人注目的	(adj) 昏昏欲睡的	(adj) 喝醉(酒)的;陶醉的,興奮的	(adj) 應支付的;欠款的
drowsy	(adj) 昏昏欲睡的	(adj) 喝醉(酒)的;陶醉的,興奮的	(adj) 應支付的;欠款的	(adj) 渴望的,急切的
drunk	(adj) 喝醉(酒)的;陶醉的,興奮的	(adj) 應支付的;欠款的	(adj) 渴望的,急切的	(adj) 教育的
due	(adj) 應支付的;欠款的	(adj) 渴望的,急切的	(adj) 教育的	(adj) 效率高的;有能力的
eager	(adj) 渴望的,急切的	(adj) 教育的	(adj) 效率高的;有能力的	(adj) 年長的;上了年紀的
educational	(adj) 教育的	(adj) 效率高的;有能力的	(adj) 年長的;上了年紀的	(adj) 電的
efficient	(adj) 效率高的;有能力的	(adj) 年長的;上了年紀的	(adj) 電的	(adj) 電的
elderly	(adj) 年長的;上了年紀的	(adj) 電的	(adj) 電的	(adj) 電子的
electric	(adj) 電的	(adj) 電的	(adj) 電子的	(adj) 空的
electrical	(adj) 電的	(adj) 電子的	(adj) 空的	(adj) 精力充沛的
electronic	(adj) 電子的	(adj) 空的	(adj) 精力充沛的	(adj) 快樂的;有樂趣的
empty	(adj) 空的	(adj) 精力充沛的	(adj) 快樂的;有樂趣的	(adj) 環境的;有關環境(保護)的
energetic	(adj) 精力充沛的	(adj) 快樂的;有樂趣的	(adj) 環境的;有關環境(保護)的	(adj) 邪惡的
enjoyable	(adj) 快樂的;有樂趣的	(adj) 環境的;有關環境(保護)的	(adj) 邪惡的	(adj) 表達的;表情豐富的
