distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
villain	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅	(v) 放棄
stain	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅	(v) 放棄	(v) 吸收(液體,氣體,光,聲等)
chef	(n) (餐館等的)主廚;大師傅	(v) 放棄	(v) 吸收(液體,氣體,光,聲等)	(v) 取出(資料);使用;接近
abandon	(v) 放棄	(v) 吸收(液體,氣體,光,聲等)	(v) 取出(資料);使用;接近	(v) 陪同;伴隨
absorb	(v) 吸收(液體,氣體,光,聲等)	(v) 取出(資料);使用;接近	(v) 陪同;伴隨	(v) 完成;實現;達到
access	(v) 取出(資料);使用;接近	(v) 陪同;伴隨	(v) 完成;實現;達到	(v) 指控
accompany	(v) 陪同;伴隨	(v) 完成;實現;達到	(v) 指控	(v) 使認識;使熟悉
accomplish	(v) 完成;實現;達到	(v) 指控	(v) 使認識;使熟悉	(v) 取得;獲得
accuse	(v) 指控	(v) 使認識;使熟悉	(v) 取得;獲得	(v) 使適應;使適合
acquaint	(v) 使認識;使熟悉	(v) 取得;獲得	(v) 使適應;使適合	(v) 校準;調整;適應
acquire	(v) 取得;獲得	(v) 使適應;使適合	(v) 校準;調整;適應	(v) 向...報警;使警覺
adapt	(v) 使適應;使適合	(v) 校準;調整;適應	(v) 向...報警;使警覺	(v) 逗...高興
adjust	(v) 校準;調整;適應	(v) 向...報警;使警覺	(v) 逗...高興	(v) 分析
alert	(v) 向...報警;使警覺	(v) 逗...高興	(v) 分析	(v) 惹惱,使生氣;使煩惱
amuse	(v) 逗...高興	(v) 分析	(v) 惹惱,使生氣;使煩惱	(v) 道歉
analyze	(v) 分析	(v) 惹惱,使生氣;使煩惱	(v) 道歉	(v) 任命,指派
annoy	(v) 惹惱,使生氣;使煩惱	(v) 道歉	(v) 任命,指派	(v) 使成弧形,拱起
apologize	(v) 道歉	(v) 任命,指派	(v) 使成弧形,拱起	(v) 升起
appoint	(v) 任命,指派	(v) 使成弧形,拱起	(v) 升起	(v) 喚起;激動;叫醒
arch	(v) 使成弧形,拱起	(v) 升起	(v) 喚起;激動;叫醒	(v) 集合,召集
arise	(v) 升起	(v) 喚起;激動;叫醒	(v) 集合,召集	(v) 分配,分派
arouse	(v) 喚起;激動;叫醒	(v) 集合,召集	(v) 分配,分派	(v) 聯想,把...聯想在一起
assemble	(v) 集合,召集	(v) 分配,分派	(v) 聯想,把...聯想在一起	(v) 假定
assign	(v) 分配,分派	(v) 聯想,把...聯想在一起	(v) 假定	(v) 向...保證,擔保
associate	(v) 聯想,把...聯想在一起	(v) 假定	(v) 向...保證,擔保	(v) 裝上,貼上;使附屬
assume	(v) 假定	(v) 向...保證,擔保	(v) 裝上,貼上;使附屬	(v) 等候,期待
assure	(v) 向...保證,擔保	(v) 裝上,貼上;使附屬	(v) 等候,期待	(v) 把...放入背包; 背負簡便行李旅行
attach	(v) 裝上,貼上;使附屬	(v) 等候,期待	(v) 把...放入背包; 背負簡便行李旅行	(v) 使破產;使赤貧
await	(v) 等候,期待	(v) 把...放入背包; 背負簡便行李旅行	(v) 使破產;使赤貧	(v) 討價還價
backpack	(v) 把...放入背包; 背負簡便行李旅行	(v) 使破產;使赤貧	(v) 討價還價	(v) 使混和
bankrupt	(v) 使破產;使赤貧	(v) 討價還價	(v) 使混和	(v) 眨眼睛;閃爍
bargain	(v) 討價還價	(v) 使混和	(v) 眨眼睛;閃爍	(v) 開花;興盛
blend	(v) 使混和	(v) 眨眼睛;閃爍	(v) 開花;興盛	(v) 開花;發展成
blink	(v) 眨眼睛;閃爍	(v) 開花;興盛	(v) 開花;發展成	(v) 臉紅
bloom	(v) 開花;興盛	(v) 開花;發展成	(v) 臉紅	(v) 吹牛;誇耀
blossom	(v) 開花;發展成	(v) 臉紅	(v) 吹牛;誇耀	(v) 以...作抵押;使...黏合
blush	(v) 臉紅	(v) 吹牛;誇耀	(v) 以...作抵押;使...黏合	(v) 彈起,彈回
boast	(v) 吹牛;誇耀	(v) 以...作抵押;使...黏合	(v) 彈起,彈回	(v) 使繁殖,飼養
bond	(v) 以...作抵押;使...黏合	(v) 彈起,彈回	(v) 使繁殖,飼養	(v) 烤;炙
bounce	(v) 彈起,彈回	(v) 使繁殖,飼養	(v) 烤;炙	(v) 計算
breed	(v) 使繁殖,飼養	(v) 烤;炙	(v) 計算	(v) 參加競選
broil	(v) 烤;炙	(v) 計算	(v) 參加競選	(v) 刻,雕刻
calculate	(v) 計算	(v) 參加競選	(v) 刻,雕刻	(v) 將...編入目錄
campaign	(v) 參加競選	(v) 刻,雕刻	(v) 將...編入目錄	(v) 為...編目;登記,記載
carve	(v) 刻,雕刻	(v) 將...編入目錄	(v) 為...編目;登記,記載	(v) 停止,終止
catalog	(v) 將...編入目錄	(v) 為...編目;登記,記載	(v) 停止,終止	(v) 黏緊,黏牢
catalogue	(v) 為...編目;登記,記載	(v) 停止,終止	(v) 黏緊,黏牢	(v) 撫育;愛護
cease	(v) 停止,終止	(v) 黏緊,黏牢	(v) 撫育;愛護	(v) 鳥發啾聲;蟲發唧聲;人嘁喳說話
cement	(v) 黏緊,黏牢	(v) 撫育;愛護	(v) 鳥發啾聲;蟲發唧聲;人嘁喳說話	(v) 流通;發行
cherish	(v) 撫育;愛護	(v) 鳥發啾聲;蟲發唧聲;人嘁喳說話	(v) 流通;發行	(v) 澄清;闡明
chirp	(v) 鳥發啾聲;蟲發唧聲;人嘁喳說話	(v) 流通;發行	(v) 澄清;闡明	(v) 砰地相碰撞
circulate	(v) 流通;發行	(v) 澄清;闡明	(v) 砰地相碰撞	(v) 將...分類
clarify	(v) 澄清;闡明	(v) 砰地相碰撞	(v) 將...分類	(v) 使達到頂點(或高潮)
clash	(v) 砰地相碰撞	(v) 將...分類	(v) 使達到頂點(或高潮)	(v) 為...編碼
classify	(v) 將...分類	(v) 使達到頂點(或高潮)	(v) 為...編碼	(v) 倒塌
climax	(v) 使達到頂點(或高潮)	(v) 為...編碼	(v) 倒塌	(v) 評論
code	(v) 為...編碼	(v) 倒塌	(v) 評論	(v) 使作出保證;犯(罪),做(錯事等)
collapse	(v) 倒塌	(v) 評論	(v) 使作出保證;犯(罪),做(錯事等)	(v) 使複雜化
comment	(v) 評論	(v) 使作出保證;犯(罪),做(錯事等)	(v) 使複雜化	(v) 作(詩,曲等);構(圖)
commit	(v) 使作出保證;犯(罪),做(錯事等)	(v) 使複雜化	(v) 作(詩,曲等);構(圖)	(v) 濃縮;全神貫注
complicate	(v) 使複雜化	(v) 作(詩,曲等);構(圖)	(v) 濃縮;全神貫注	(v) 使凝固;使結合
compose	(v) 作(詩,曲等);構(圖)	(v) 濃縮;全神貫注	(v) 使凝固;使結合	(v) 坦白,供認,承認
concentrate	(v) 濃縮;全神貫注	(v) 使凝固;使結合	(v) 坦白,供認,承認	(v) 限制;使局限
concrete	(v) 使凝固;使結合	(v) 坦白,供認,承認	(v) 限制;使局限	(v) 祝賀;恭禧
confess	(v) 坦白,供認,承認	(v) 限制;使局限	(v) 祝賀;恭禧	(v) 克服;征服
confine	(v) 限制;使局限	(v) 祝賀;恭禧	(v) 克服;征服	(v) 組成,構成
congratulate	(v) 祝賀;恭禧	(v) 克服;征服	(v) 組成,構成	(v) 構成,組成
conquer	(v) 克服;征服	(v) 組成,構成	(v) 構成,組成	(v) 建造,構成
consist	(v) 組成,構成	(v) 構成,組成	(v) 建造,構成	(v) 與...商量
constitute	(v) 構成,組成	(v) 建造,構成	(v) 與...商量	(v) 消耗,花費;耗盡
construct	(v) 建造,構成	(v) 與...商量	(v) 消耗,花費;耗盡	(v) 使滿足
consult	(v) 與...商量	(v) 消耗,花費;耗盡	(v) 使滿足	(v) 競爭,角逐;爭辯
consume	(v) 消耗,花費;耗盡	(v) 使滿足	(v) 競爭,角逐;爭辯	(v) 使對比,使對照
content	(v) 使滿足	(v) 競爭,角逐;爭辯	(v) 使對比,使對照	(v) 捐獻,捐助;貢獻,出力
contest	(v) 競爭,角逐;爭辯	(v) 使對比,使對照	(v) 捐獻,捐助;貢獻,出力	(v) 交談,談話
contrast	(v) 使對比,使對照	(v) 捐獻,捐助;貢獻,出力	(v) 交談,談話	(v) 運送;傳達
contribute	(v) 捐獻,捐助;貢獻,出力	(v) 交談,談話	(v) 運送;傳達	(v) 使信服;說服
converse	(v) 交談,談話	(v) 運送;傳達	(v) 使信服;說服	(v) 合作,協作;(事物)配合
convey	(v) 運送;傳達	(v) 使信服;說服	(v) 合作,協作;(事物)配合	(v) 競爭
convince	(v) 使信服;說服	(v) 合作,協作;(事物)配合	(v) 競爭	(v) 用軟木塞塞住;抑制
cooperate	(v) 合作,協作;(事物)配合	(v) 競爭	(v) 用軟木塞塞住;抑制	(v) 符合,一致
cope	(v) 競爭	(v) 用軟木塞塞住;抑制	(v) 符合,一致	(v) 反對;反擊
cork	(v) 用軟木塞塞住;抑制	(v) 符合,一致	(v) 反對;反擊	(v) 砸開
correspond	(v) 符合,一致	(v) 反對;反擊	(v) 砸開	(v) 把...塞滿;死記硬背
counter	(v) 反對;反擊	(v) 砸開	(v) 把...塞滿;死記硬背	(v) 使成跛子;使殘廢
crack	(v) 砸開	(v) 把...塞滿;死記硬背	(v) 使成跛子;使殘廢	(v) 批評;批判;苛求
cram	(v) 把...塞滿;死記硬背	(v) 使成跛子;使殘廢	(v) 批評;批判;苛求	(v) 壓碎,壓壞
cripple	(v) 使成跛子;使殘廢	(v) 批評;批判;苛求	(v) 壓碎,壓壞	(v) 使成立方形;切成小方塊
criticize	(v) 批評;批判;苛求	(v) 壓碎,壓壞	(v) 使成立方形;切成小方塊	(v) 給...暗示
crush	(v) 壓碎,壓壞	(v) 使成立方形;切成小方塊	(v) 給...暗示	(v) 使(頭髮)捲曲
cube	(v) 使成立方形;切成小方塊	(v) 給...暗示	(v) 使(頭髮)捲曲	(v) 詛咒,咒罵
cue	(v) 給...暗示	(v) 使(頭髮)捲曲	(v) 詛咒,咒罵	(v) 使彎曲;使成曲線
curl	(v) 使(頭髮)捲曲	(v) 詛咒,咒罵	(v) 使彎曲;使成曲線	(v) 緩和...的衝擊
curse	(v) 詛咒,咒罵	(v) 使彎曲;使成曲線	(v) 緩和...的衝擊	(v) 罵...該死,咒罵
curve	(v) 使彎曲;使成曲線	(v) 緩和...的衝擊	(v) 罵...該死,咒罵	(v) 使潮濕;使沮喪;抑制
cushion	(v) 緩和...的衝擊	(v) 罵...該死,咒罵	(v) 使潮濕;使沮喪;抑制	(v) 宣佈,宣告
damn	(v) 罵...該死,咒罵	(v) 使潮濕;使沮喪;抑制	(v) 宣佈,宣告	(v) 減少
damp	(v) 使潮濕;使沮喪;抑制	(v) 宣佈,宣告	(v) 減少	(v) 戰勝,擊敗
declare	(v) 宣佈,宣告	(v) 減少	(v) 戰勝,擊敗	(v) 防禦;保衛;保護
decrease	(v) 減少	(v) 戰勝,擊敗	(v) 防禦;保衛;保護	(v) 使高興
defeat	(v) 戰勝,擊敗	(v) 防禦;保衛;保護	(v) 使高興	(v) 要求,請求
defend	(v) 防禦;保衛;保護	(v) 使高興	(v) 要求,請求	(v) 示範操作(產品),展示
delight	(v) 使高興	(v) 要求,請求	(v) 示範操作(產品),展示	(v) 起程,出發;離開,離去
demand	(v) 要求,請求	(v) 示範操作(產品),展示	(v) 起程,出發;離開,離去	(v) 使沮喪
demonstrate	(v) 示範操作(產品),展示	(v) 起程,出發;離開,離去	(v) 使沮喪	(v) 應受,該得
depart	(v) 起程,出發;離開,離去	(v) 使沮喪	(v) 應受,該得	(v) 設計;發明
depress	(v) 使沮喪	(v) 應受,該得	(v) 設計;發明	(v) 將...奉獻
deserve	(v) 應受,該得	(v) 設計;發明	(v) 將...奉獻	(v) 不同,相異
devise	(v) 設計;發明	(v) 將...奉獻	(v) 不同,相異	(v) 消化(食物)
devote	(v) 將...奉獻	(v) 不同,相異	(v) 消化(食物)	(v) 使處於不利地位
differ	(v) 不同,相異	(v) 消化(食物)	(v) 使處於不利地位	(v) 懲戒
digest	(v) 消化(食物)	(v) 使處於不利地位	(v) 懲戒	(v) 切斷(電話、電源等)
disadvantage	(v) 使處於不利地位	(v) 懲戒	(v) 切斷(電話、電源等)	(v) 使洩氣,使沮喪
discipline	(v) 懲戒	(v) 切斷(電話、電源等)	(v) 使洩氣,使沮喪	(v) 掩飾,隱瞞
disconnect	(v) 切斷(電話、電源等)	(v) 使洩氣,使沮喪	(v) 掩飾,隱瞞	(v) 使作嘔
discourage	(v) 使洩氣,使沮喪	(v) 掩飾,隱瞞	(v) 使作嘔	(v) 解散,遣散;解雇;開除
disguise	(v) 掩飾,隱瞞	(v) 使作嘔	(v) 解散,遣散;解雇;開除	(v) 使混亂;擾亂
disgust	(v) 使作嘔	(v) 解散,遣散;解雇;開除	(v) 使混亂;擾亂	(v) 爭論;爭執
dismiss	(v) 解散,遣散;解雇;開除	(v) 使混亂;擾亂	(v) 爭論;爭執	(v) 區別;識別
disorder	(v) 使混亂;擾亂	(v) 爭論;爭執	(v) 區別;識別	(v) 分發;分配
dispute	(v) 爭論;爭執	(v) 區別;識別	(v) 分發;分配	(v) 妨礙,打擾
distinguish	(v) 區別;識別	(v) 分發;分配	(v) 妨礙,打擾	(v) 與...離婚,使離婚
distribute	(v) 分發;分配	(v) 妨礙,打擾	(v) 與...離婚,使離婚	(v) 支配,統治,控制
disturb	(v) 妨礙,打擾	(v) 與...離婚,使離婚	(v) 支配,統治,控制	(v) 下載
divorce	(v) 與...離婚,使離婚	(v) 支配,統治,控制	(v) 下載	(v) 打瞌睡,打盹
dominate	(v) 支配,統治,控制	(v) 下載	(v) 打瞌睡,打盹	(v) 起草;設計
download	(v) 下載	(v) 打瞌睡,打盹	(v) 起草;設計	(v) 懼怕;擔心
doze	(v) 打瞌睡,打盹	(v) 起草;設計	(v) 懼怕;擔心	(v) 漂,漂流
draft	(v) 起草;設計	(v) 懼怕;擔心	(v) 漂,漂流	(v) 鑽(孔);在...上鑽孔
dread	(v) 懼怕;擔心	(v) 漂,漂流	(v) 鑽(孔);在...上鑽孔	(v) 排除,消除
drift	(v) 漂,漂流	(v) 鑽(孔);在...上鑽孔	(v) 排除,消除	(v) electronic mail
drill	(v) 鑽(孔);在...上鑽孔	(v) 排除,消除	(v) electronic mail	(v) 傳送電子郵件
eliminate	(v) 排除,消除	(v) electronic mail	(v) 傳送電子郵件	(v) 使困窘
email	(v) electronic mail	(v) 傳送電子郵件	(v) 使困窘	(v) 浮現;出現
e-mail	(v) 傳送電子郵件	(v) 使困窘	(v) 浮現;出現	(v) 圍住;圈起
embarrass	(v) 使困窘	(v) 浮現;出現	(v) 圍住;圈起	(v) 遭遇(敵人);遇到(困難,危險等)
emerge	(v) 浮現;出現	(v) 圍住;圈起	(v) 遭遇(敵人);遇到(困難,危險等)	(v) 危及;使遭到危險
enclose	(v) 圍住;圈起	(v) 遭遇(敵人);遇到(困難,危險等)	(v) 危及;使遭到危險	(v) 忍耐,忍受
encounter	(v) 遭遇(敵人);遇到(困難,危險等)	(v) 危及;使遭到危險	(v) 忍耐,忍受	(v) 實施,執行
endanger	(v) 危及;使遭到危險	(v) 忍耐,忍受	(v) 實施,執行	(v) 擴大;擴展
endure	(v) 忍耐,忍受	(v) 實施,執行	(v) 擴大;擴展	(v) 招待,款待
enforce	(v) 實施,執行	(v) 擴大;擴展	(v) 招待,款待	(v) 裝備,配備
enlarge	(v) 擴大;擴展	(v) 招待,款待	(v) 裝備,配備	(v) 建立;設立
entertain	(v) 招待,款待	(v) 裝備,配備	(v) 建立;設立	(v) 估計,估量
equip	(v) 裝備,配備	(v) 建立;設立	(v) 估計,估量	(v) 對...評價
establish	(v) 建立;設立	(v) 估計,估量	(v) 對...評價	(v) 顯示,表明
estimate	(v) 估計,估量	(v) 對...評價	(v) 顯示,表明	(v) 張,誇大;對...言過其實
evaluate	(v) 對...評價	(v) 顯示,表明	(v) 張,誇大;對...言過其實	(v) 使精疲力盡
evidence	(v) 顯示,表明	(v) 張,誇大;對...言過其實	(v) 使精疲力盡	(v) 展示,陳列
exaggerate	(v) 張,誇大;對...言過其實	(v) 使精疲力盡	(v) 展示,陳列	(v) 展開,張開
exhaust	(v) 使精疲力盡	(v) 展示,陳列	(v) 展開,張開	(v) 探測;探勘
exhibit	(v) 展示,陳列	(v) 展開,張開	(v) 探測;探勘	(v) 使暴露於
expand	(v) 展開,張開	(v) 探測;探勘	(v) 使暴露於	(v) 延長,延伸
