floor	地面;在...鋪設地板;使大為震驚	開花;發育,成熟;繁榮	飛	以霧籠罩;使困惑;使模糊
flower	花;開花;發育,成熟;繁榮	飛	以霧籠罩;使困惑;使模糊	遵循;跟隨
fly 	飛	以霧籠罩;使困惑;使模糊	遵循;跟隨	食物
fog	霧;以霧籠罩;使困惑;使模糊	遵循;跟隨	食物	腳
follow	遵循;跟隨	食物	腳	為～做的
food	食物	腳	為～做的	強迫
foot	腳	為～做的	強迫	外國的,陌生的,外來的
for	為～做的	強迫	外國的,陌生的,外來的	森林
force	強迫	外國的,陌生的,外來的	森林	忘記
foreign	外國的,陌生的,外來的	森林	忘記	叉子
forest	森林	忘記	叉子	四十
forget	忘記	叉子	四十	四
fork	叉子	四十	四	十四
forty	四十	四	十四	空閒的;自由的;免費的
four	四	十四	空閒的;自由的;免費的	新鮮的
fourteen	十四	空閒的;自由的;免費的	新鮮的	星期五
free	空閒的;自由的;免費的	新鮮的	星期五	朋友
fresh	新鮮的	星期五	朋友	青蛙
Friday/Fri.	星期五	朋友	青蛙	從
friend	朋友	青蛙	從	在～之前
frog	青蛙	從	在～之前	水果
from	從	在～之前	水果	飽的
front	在～之前	水果	飽的	樂趣
fruit	水果	飽的	樂趣	可笑的;滑稽的
full	飽的	樂趣	可笑的;滑稽的	比賽;遊戲
fun	樂趣	放假	比賽;遊戲	花園
funny	可笑的;滑稽的	比賽;遊戲	花園	瓦斯
game	比賽;遊戲	花園	瓦斯	普遍的
garden	花園	瓦斯	普遍的	得到;拿到
gas	瓦斯	普遍的	得到;拿到	鬼
general 	普遍的	得到;拿到	鬼	禮物
get	得到;拿到	鬼	禮物	女孩
ghost	鬼	禮物	女孩	給
gift	禮物	女孩	給	高興的
girl	女孩	給	高興的	玻璃杯;玻璃
give	給	高興的	玻璃杯;玻璃	眼鏡
glad	高興的	玻璃杯;玻璃	眼鏡	去;走
glass	玻璃杯;玻璃	草原	去;走	上帝
glasses	眼鏡	去;走	上帝	黃金
go	去;走	上帝	黃金	好的
