a/an	一個	能力;專門技能	關於	在～之上
able	能力;專門技能	關於	在～之上	根據;按照
about	關於	在～之上	根據;按照	在對面;向對面
above	在～之上	根據;按照	在對面;向對面	扮演
according to	根據;按照	在對面;向對面	扮演	動作
across	在對面;向對面	扮演	動作	男演員
act	扮演	動作	男演員	添加
action	動作	男演員	添加	地址
actor/actress	男演員	添加	地址	成年人
add	添加	地址	成年人	害怕的
address	地址	成年人	害怕的	之後
adult	成年人	害怕的	之後	下午
afraid	害怕的	之後	下午	再一次
after	之後	下午	再一次	反對
afternoon	下午	再一次	反對	年紀
again	再一次	反對	年紀	以前
against	反對	年紀	以前	同意
age	年紀	以前	同意	在前
ago	以前	同意	在前	空氣
agree	同意	在前	空氣	航空郵件
ahead	在前	空氣	航空郵件	飛機
air	空氣	航空郵件	飛機	飛機場
airmail	航空郵件	飛機	飛機場	所有的
airplane/plane	飛機	飛機場	所有的	允許
airport	飛機場	所有的	允許	幾乎
all	所有的	允許	幾乎	單獨的;孤單的
allow	允許	幾乎	單獨的;孤單的	向前;一起;帶著;來到;去到
almost	幾乎	單獨的;孤單的	向前;一起;帶著;來到;去到	已經
alone	單獨的;孤單的	向前;一起;帶著;來到;去到	已經	也
along	向前;一起;帶著;來到;去到	已經	也	總是
already	已經	也	總是	是
also	也	總是	是	在～之中
always	總是	是	在～之中	和
am	是	在～之中	和	生氣
among	在～之中	和	生氣	生氣的
and	和	生氣	生氣的	動物
anger	生氣	生氣的	動物	另一個
angry	生氣的	動物	另一個	回答
animal	動物	另一個	回答	螞蟻
another	另一個	回答	螞蟻	任何的
