god/goddess	上帝	黃金	好的	再見
gold	黃金	好的	再見	再見
good	好的	再見	再見	鵝
good-bye/goodbye/good-by/	再見	再見	鵝	雄偉的;總的
goodbye/bye-bye/bye	再見	鵝	雄偉的;總的	孫子
goose	鵝	雄偉的;總的	孫子	孫女
grand	雄偉的;總的	孫子	孫女	祖父;外祖父
grandchild	孫子	孫女	祖父;外祖父	祖母;外祖母
granddaughter	孫女	祖父;外祖父	祖母;外祖母	孫子;外孫
grandfather/grandpa	祖父;外祖父	祖母;外祖母	孫子;外孫	草
grandmother/grandma	祖母;外祖母	孫子;外孫	草	灰色
grandson	孫子;外孫	草	灰色	很棒;大的
grass	草	灰色	很棒;大的	綠色
gray/grey	灰色	很棒;大的	綠色	使擱淺;使停飛;依靠,根據,基於
great	很棒;大的	綠色	使擱淺;使停飛;依靠,根據,基於	把...分組(或歸類)
green	綠色	使擱淺;使停飛;依靠,根據,基於	把...分組(或歸類)	種植
ground	地面;使擱淺;使停飛;依靠,根據,基於	把...分組(或歸類)	種植	猜
group	團體;把...分組(或歸類)	種植	猜	款待,招待
grow	生長;種植	猜	款待,招待	引導
guess	猜	款待,招待	引導	用槍射擊
guest	款待,招待	引導	用槍射擊	頭髮
guide 	引導	用槍射擊	頭髮	理髮
gun	槍;用槍射擊	頭髮	理髮	一半的,二分之一的;不完整的
hair	頭髮	理髮	一半的,二分之一的;不完整的	火腿
haircut	理髮	一半的,二分之一的;不完整的	火腿	手
half	一半的,二分之一的;不完整的	火腿	手	發生
ham	火腿	手	發生	快樂的
hand	手	發生	快樂的	難的
happen	發生	快樂的	難的	帽子
happy	快樂的	難的	帽子	憎恨
hard	難的	帽子	憎恨	有
hat	帽子	憎恨	有	他
hate	憎恨	有	他	頭
have	有	他	頭	健康
he	他	頭	健康	聽
head	頭	健康	聽	心臟
health	健康	聽	心臟	把...加熱;使暖;使激動;刺激
hear	聽	心臟	把...加熱;使暖;使激動;刺激	重的
heart	心臟	把...加熱;使暖;使激動;刺激	重的	哈囉
heat	熱;把...加熱;使暖;使激動;刺激	重的	哈囉	幫忙
