rope	捆	玫瑰	圓形的	排
rose	玫瑰	圓形的	排	擦
round	圓形的	排	擦	橡膠
row 	排	擦	橡膠	統治;裁決
rub	擦	橡膠	統治;裁決	跑
rubber	橡膠	統治;裁決	跑	難過的
rule	統治;裁決	跑	難過的	安全的
run	跑	難過的	安全的	航行
sad	難過的	安全的	航行	售賣;賤賣
safe 	安全的	航行	售賣;賤賣	鹽
sail	航行	售賣;賤賣	鹽	相同的
sale	售賣;賤賣	鹽	相同的	沙
salt	鹽	相同的	沙	星期六
same	相同的	沙	星期六	救;省;存錢
sand	沙	星期六	救;省;存錢	鋸
Saturday/Sat.	星期六	救;省;存錢	鋸	說
save	救;省;存錢	鋸	說	驚嚇
saw	鋸	說	驚嚇	風景
say	說	驚嚇	風景	學校
scare	驚嚇	風景	學校	海
scene	風景	學校	海	季節
school	學校	海	季節	座位
sea	海	季節	座位	第二
season	季節	座位	第二	看見
seat	座位	第二	看見	種子
second 	第二	看見	種子	似乎是
see	看見	種子	似乎是	玩蹺蹺板;上下(來回)搖動
seed	種子	似乎是	玩蹺蹺板;上下(來回)搖動	自身,自己;自我
seem	似乎是	玩蹺蹺板;上下(來回)搖動	自身,自己;自我	自私的
seesaw	玩蹺蹺板;上下(來回)搖動	自身,自己;自我	自私的	賣
self	自身,自己;自我	自私的	賣	寄發;送
selfish	自私的	賣	寄發;送	意識到
sell	賣	寄發;送	意識到	宣判;判決
send	寄發;送	意識到	宣判;判決	九月
sense	意識到	宣判;判決	九月	服務
sentence	宣判;判決	九月	服務	維修,保養,公共設施
September/Sept.	九月	服務	維修,保養,公共設施	放
serve	服務	維修,保養,公共設施	放	七
service	維修,保養,公共設施	放	七	十七
set 	放	七	十七	七十
