taste	嘗	計程車	茶	教
taxicab/taxi/cab	計程車	茶	教	老師
tea	茶	教	老師	告訴
teach	教	老師	告訴	十
teacher	老師	告訴	十	比～
tell	告訴	十	比～	感謝
ten	十	比～	感謝	那;那個
than	比～	感謝	那;那個	這
thank	感謝	那;那個	這	他們的
that	那;那個	這	他們的	他們
the	這	他們的	他們	當時的
their	他們的	他們	當時的	在那裡
them	他們	當時的	在那裡	這些 (this 的複數)
then	當時的	在那裡	這些 (this 的複數)	他們
there	在那裡	這些 (this 的複數)	他們	事物;東西
these	這些 (this 的複數)	他們	事物;東西	想
they	他們	事物;東西	想	第三
thing	事物;東西	想	第三	十三
think	想	第三	十三	三十
third 	第三	十三	三十	這
thirteen	十三	三十	這	那些的;那
thirty	三十	這	那些的;那	雖然
this	這	那些的;那	雖然	思想
those	那些的;那	雖然	思想	千
though	雖然	思想	千	三
thought	思想	千	三	拋
thousand	千	三	拋	星期四
three	三	拋	星期四	然後
throw	拋	星期四	然後	車票
Thursday/Thurs./Thur.	星期四	然後	車票	領帶
thus	然後	車票	領帶	老虎
ticket	車票	領帶	老虎	時間
tie 	領帶	老虎	時間	微小的
tiger	老虎	時間	微小的	輪胎
time	時間	微小的	輪胎	到
tiny	微小的	輪胎	到	今天
tire 	輪胎	到	今天	一起
to	到	今天	一起	明天
today	今天	一起	明天	音色,音調;色調
together	一起	明天	音色,音調;色調	今晚
