wine	酒	冬天	祝福	跟
winter	冬天	祝福	跟	女人
wish	祝福	跟	女人	木材
with	跟	女人	木材	用言詞表達
woman	女人	木材	用言詞表達	工作,作品
wood	木材	用言詞表達	工作,作品	工人
word	用言詞表達	工作,作品	工人	世界
work	工作,作品	工人	世界	蠕動;潛行;鑽入
worker	工人	世界	蠕動;潛行;鑽入	擔心
world	世界	蠕動;潛行;鑽入	擔心	更壞的,更差的
worm	蠕動;潛行;鑽入	擔心	更壞的,更差的	最壞的;最差的
worry	擔心	更壞的,更差的	最壞的;最差的	寫
worse	更壞的,更差的	最壞的;最差的	寫	作家
worst	最壞的;最差的	寫	作家	錯誤的
write	寫	作家	錯誤的	山芋類植物
writer	作家	錯誤的	山芋類植物	年
wrong	錯誤的	山芋類植物	年	黃色
yam/sweet potato	山芋類植物	年	黃色	是的
year	年	黃色	是的	昨天
yellow	黃色	是的	昨天	尚未;但是
yes/yeah	是的	昨天	尚未;但是	你
yesterday	昨天	尚未;但是	你	年輕的
yet	尚未;但是	你	年輕的	你的
you	你	年輕的	你的	討人厭的;噁心的
young	年輕的	你的	討人厭的;噁心的	好吃的
your	你的	討人厭的;噁心的	好吃的	把...調整歸零
yucky 	討人厭的;噁心的	好吃的	把...調整歸零	動物園
yummy	好吃的	把...調整歸零	動物園	能力;專門技能
zero	把...調整歸零	動物園	能力;專門技能	在國外
zoo	動物園	能力;專門技能	在國外	缺席
