bathroom	廁所;浴室	是;要;有;在	海灘	熊
be	是;要;有;在	海灘	熊	擊敗;敲擊
beach	海灘	熊	擊敗;敲擊	漂亮的
bear 	熊	擊敗;敲擊	漂亮的	美人
beat	擊敗;敲擊	漂亮的	美人	因為
beautiful	漂亮的	美人	因為	變成
beauty	美人	因為	變成	床
because	因為	變成	床	蜜蜂
become	變成	床	蜜蜂	之前
bed	床	蜜蜂	之前	開始
bee	蜜蜂	之前	開始	在～之後
before	之前	開始	在～之後	相信
begin	開始	在～之後	相信	鈴;鐘
behind	在～之後	相信	鈴;鐘	屬於
believe	相信	鈴;鐘	屬於	在～之下
bell	鈴;鐘	屬於	在～之下	在～旁
belong	屬於	在～之下	在～旁	最好的;最熟練的;最適當的
below	在～之下	在～旁	最好的;最熟練的;最適當的	較佳的;更好的;更適當的
beside	在～旁	最好的;最熟練的;最適當的	較佳的;更好的;更適當的	在～之間
best	最好的;最熟練的;最適當的	較佳的;更好的;更適當的	在～之間	腳踏車
better	較佳的;更好的;更適當的	在～之間	腳踏車	大的
between	在～之間	腳踏車	大的	鳥
bicycle/bike	腳踏車	大的	鳥	出生
big	大的	鳥	出生	一點點
bird	鳥	出生	一點點	咬
birth	出生	一點點	咬	黑色
bit	一點點	咬	黑色	街區
bite	咬	黑色	街區	血
black	黑色	街區	血	吹
block	街區	血	吹	藍色
blood	血	吹	藍色	小船
blow	吹	藍色	小船	身體
blue	藍色	小船	身體	骨頭
boat	小船	身體	骨頭	書
body	身體	骨頭	書	出生的;誕生的
bone	骨頭	書	出生的;誕生的	兩者
book 	書	出生的;誕生的	兩者	底部
born	出生的;誕生的	兩者	底部	碗
both	兩者	底部	碗	箱子
bottom	底部	碗	箱子	男孩
