bowl	碗	箱子	男孩	勇敢的
box	箱子	男孩	勇敢的	麵包
boy 	男孩	勇敢的	麵包	中斷
brave	勇敢的	麵包	中斷	早餐
bread	麵包	中斷	早餐	橋
break	中斷	早餐	橋	聰明的
breakfast	早餐	橋	聰明的	帶來
bridge	橋	聰明的	帶來	兄;弟
bright	聰明的	帶來	兄;弟	棕色
bring	帶來	兄;弟	棕色	在...安裝竊聽器;煩擾;激怒
brother	兄;弟	棕色	在...安裝竊聽器;煩擾;激怒	建造;蓋
brown	棕色	在...安裝竊聽器;煩擾;激怒	建造;蓋	建築物
bug	在...安裝竊聽器;煩擾;激怒	建造;蓋	建築物	公車
build	建造;蓋	建築物	公車	忙碌的
building	建築物	公車	忙碌的	但是
bus	公車	忙碌的	但是	奶油
busy	忙碌的	但是	奶油	蝴蝶
but	但是	奶油	蝴蝶	買
butter	奶油	蝴蝶	買	經由
butterfly	蝴蝶	買	經由	把...關進籠子;把...囚禁起來
buy	買	經由	把...關進籠子;把...囚禁起來	蛋糕
by	經由	把...關進籠子;把...囚禁起來	蛋糕	喊;打電話
cage	把...關進籠子;把...囚禁起來	蛋糕	喊;打電話	駱駝
cake	蛋糕	喊;打電話	駱駝	照相機
call	喊;打電話	駱駝	照相機	露營
camel	駱駝	照相機	露營	能夠
camera	照相機	露營	能夠	糖果
camp	露營	能夠	糖果	便帽
can 	能夠	糖果	便帽	汽車
candy/sweet	糖果	便帽	汽車	卡片
cap	便帽	汽車	卡片	關心;照顧
car	汽車	卡片	關心;照顧	小心的
card	卡片	關心;照顧	小心的	提;搬運
care	關心;照顧	小心的	提;搬運	案子
careful	小心的	提;搬運	案子	貓
carry	提;搬運	案子	貓	接
case 	案子	貓	接	導致,使發生,引起
cat	貓	接	導致,使發生,引起	分(錢幣)
catch	接	導致,使發生,引起	分(錢幣)	中間
cause	導致,使發生,引起	分(錢幣)	中間	肯定的
