country	國家	(用獵犬)追獵;追逐	封面	母牛
course	課程;(用獵犬)追獵;追逐	封面	母牛	牛仔
cover	封面	母牛	牛仔	烏鴉
cow	母牛	牛仔	烏鴉	哭叫
cowboy	牛仔	烏鴉	哭叫	幼鯨;牛棚
crow 	烏鴉	哭叫	幼鯨;牛棚	杯子
cry	哭叫	幼鯨;牛棚	杯子	切
cub	幼獸;幼鯨;牛棚	杯子	切	可愛的
cup	杯子	切	可愛的	父親
cut	切	可愛的	父親	跳舞
cute	可愛的	父親	跳舞	舞蹈演員;舞蹈家
daddy/dad/papa/pa/pop	父親	跳舞	舞蹈演員;舞蹈家	危險
dance	跳舞	舞蹈演員;舞蹈家	危險	黑暗的
dancer	舞蹈演員;舞蹈家	危險	黑暗的	棗子
danger	危險	黑暗的	棗子	女兒
dark	黑暗的	棗子	女兒	白天
date	約會;棗子	女兒	白天	死的
daughter	女兒	白天	死的	處理;對付;對待[(+with)]
day	白天	死的	處理;對付;對待[(+with)]	親愛的
dead	死的	處理;對付;對待[(+with)]	親愛的	死亡
deal	處理;對付;對待[(+with)]	親愛的	死亡	十二月
dear	親愛的	死亡	十二月	決定
death	死亡	十二月	決定	深的
December/Dec.	十二月	決定	深的	鹿
decide	決定	深的	鹿	書桌
deep	深的	鹿	書桌	死
deer	鹿	書桌	死	不同的
desk	書桌	死	不同的	困難的
die	死	不同的	困難的	挖掘
different	不同的	困難的	挖掘	晚餐
difficult	困難的	挖掘	晚餐	給～指路
dig	挖掘	晚餐	給～指路	骯髒的
dinner	晚餐	給～指路	骯髒的	發現
direct	給～指路	骯髒的	發現	盤子
dirty	骯髒的	發現	盤子	做
discover	發現	盤子	做	醫生
dish	盤子	做	醫生	狗
do	做	醫生	狗	洋娃娃
doctor/doc	醫生	狗	洋娃娃	美元
dog	狗	洋娃娃	美元	門
