arrive	到達	箭;箭號	文章	藝術家
arrow	箭;箭號	文章	藝術家	睡著的
article 	文章	藝術家	睡著的	助手
artist	藝術家	睡著的	助手	進攻;襲擊
asleep	睡著的	助手	進攻;襲擊	出席,參加;照料;伴隨
assistant	助手	進攻;襲擊	出席,參加;照料;伴隨	注意;專心
attack	進攻;襲擊	出席,參加;照料;伴隨	注意;專心	避免
attend	出席,參加;照料;伴隨	注意;專心	避免	當臨時保姆
attention	注意;專心	避免	當臨時保姆	保姆
avoid	避免	當臨時保姆	保姆	向後的;落後的
baby-sit	當臨時保姆	保姆	向後的;落後的	向後的;落後的
baby-sitter	保姆	向後的;落後的	向後的;落後的	烘;烤
backward	向後的;落後的	向後的;落後的	烘;烤	麵包店
backward	向後的;落後的	烘;烤	麵包店	陽臺
bake	烘;烤	麵包店	陽臺	竹子
bakery	麵包店	陽臺	竹子	銀行家;莊家
balcony	陽臺	竹子	銀行家;莊家	(在戶外)烤,炙(肉類)
bamboo	竹子	銀行家;莊家	(在戶外)烤,炙(肉類)	狗叫
banker	銀行家;莊家	(在戶外)烤,炙(肉類)	狗叫	地下室
barbecue/BBQ	(在戶外)烤,炙(肉類)	狗叫	地下室	基礎;基本原理(或原則)
bark 	狗叫	地下室	基礎;基本原理(或原則)	基礎
basement	地下室	基礎;基本原理(或原則)	基礎	與...作戰
basics	基礎;基本原理(或原則)	基礎	與...作戰	用珠裝飾
basis	基礎	與...作戰	用珠裝飾	豆莢
battle	與...作戰	用珠裝飾	豆莢	熊
bead	用珠裝飾	豆莢	熊	鬍子
bean	豆莢	熊	鬍子	臥房
bear 	熊	鬍子	臥房	牛肉
beard	鬍子	臥房	牛肉	作嗶嗶聲;吹警笛
bedroom	臥房	牛肉	作嗶嗶聲;吹警笛	啤酒
beef	牛肉	作嗶嗶聲;吹警笛	啤酒	甲蟲
beep	作嗶嗶聲;吹警笛	啤酒	甲蟲	乞討;懇求
beer	啤酒	甲蟲	乞討;懇求	新手
beetle	甲蟲	乞討;懇求	新手	相信;信仰
beg	乞討;懇求	新手	相信;信仰	可信的
beginner	新手	相信;信仰	可信的	腰帶
belief	相信;信仰	可信的	腰帶	長椅
believable	可信的	腰帶	長椅	折彎;轉彎
belt	腰帶	長椅	折彎;轉彎	並且
bench	長椅	折彎;轉彎	並且	打賭
