claw	用爪子抓	黏土	清潔工;乾洗店;吸塵器;清潔劑	店員
clay	黏土	清潔工;乾洗店;吸塵器;清潔劑	店員	聰明伶俐的
cleaner	清潔工;乾洗店;吸塵器;清潔劑	店員	聰明伶俐的	氣候
clerk	店員	聰明伶俐的	氣候	壁櫥;衣櫥
clever	聰明伶俐的	氣候	壁櫥;衣櫥	布;(棉,毛,合成纖維等)織物;衣料
climate	氣候	壁櫥;衣櫥	布;(棉,毛,合成纖維等)織物;衣料	給...穿衣;為...提供衣服
closet	壁櫥;衣櫥	布;(棉,毛,合成纖維等)織物;衣料	給...穿衣;為...提供衣服	衣服
cloth	布;(棉,毛,合成纖維等)織物;衣料	給...穿衣;為...提供衣服	衣服	(總稱)衣服,衣著
clothe	給...穿衣;為...提供衣服	衣服	(總稱)衣服,衣著	多雲的;陰天的
clothes	衣服	(總稱)衣服,衣著	多雲的;陰天的	開玩笑;裝傻
clothing	(總稱)衣服,衣著	多雲的;陰天的	開玩笑;裝傻	募集;捐獻;集資;聯合起來
cloudy	多雲的;陰天的	開玩笑;裝傻	募集;捐獻;集資;聯合起來	訓練,指導,輔導;乘馬車旅行
clown	開玩笑;裝傻	募集;捐獻;集資;聯合起來	訓練,指導,輔導;乘馬車旅行	煤
club	募集;捐獻;集資;聯合起來	訓練,指導,輔導;乘馬車旅行	煤	公雞
coach	訓練,指導,輔導;乘馬車旅行	煤	公雞	蟑螂
coal	煤	公雞	蟑螂	鑄造(貨幣);創造,杜撰(新詞等)
cock	公雞	蟑螂	鑄造(貨幣);創造,杜撰(新詞等)	收集
cockroach/roach	蟑螂	鑄造(貨幣);創造,杜撰(新詞等)	收集	豐富多彩的
coin	鑄造(貨幣);創造,杜撰(新詞等)	收集	豐富多彩的	用梳子梳理
collect	收集	豐富多彩的	用梳子梳理	舒適的
colorful	豐富多彩的	用梳子梳理	舒適的	公司
comb	用梳子梳理	舒適的	公司	比較
comfortable	舒適的	公司	比較	抱怨
company	公司	比較	抱怨	完整的；徹底的
compare	比較	抱怨	完整的；徹底的	電腦
complain	抱怨	完整的；徹底的	電腦	確認
complete	完整的；徹底的	電腦	確認	矛盾,衝突
computer	電腦	確認	矛盾,衝突	孔子
confirm	確認	矛盾,衝突	孔子	祝賀
conflict	矛盾,衝突	孔子	祝賀	考慮
Confucius	孔子	祝賀	考慮	接觸;聯繫
congratulation	祝賀	考慮	接觸;聯繫	包含;容納
consider	考慮	接觸;聯繫	包含;容納	控制
contact	接觸;聯繫	包含;容納	控制	主計官;主管;控制器
contain	包含;容納	控制	主計官;主管;控制器	方便的
control	控制	主計官;主管;控制器	方便的	會話
controller	主計官;主管;控制器	方便的	會話	炊具,烹調器具
convenient	方便的	會話	炊具,烹調器具	拷貝;抄襲
conversation	會話	炊具,烹調器具	拷貝;抄襲	角落
cooker	炊具,烹調器具	拷貝;抄襲	角落	昂貴的;代價高的
