degree	程度	延緩;使延期	好吃的	遞送;講;給……接生
delay	延緩;使延期	好吃的	遞送;講;給……接生	牙醫
delicious	好吃的	遞送;講;給……接生	牙醫	否定,否認
deliver	遞送;講;給……接生	牙醫	否定,否認	部門
dentist	牙醫	否定,否認	部門	依賴
deny	否定,否認	部門	依賴	深度,厚度
department	部門	依賴	深度,厚度	描述
depend	依賴	深度,厚度	描述	沙漠
depth	深度,厚度	描述	沙漠	設計
describe	描述	沙漠	設計	渴望;要求;想與...發生性關係
desert 	沙漠	設計	渴望;要求;想與...發生性關係	餐後甜點
design 	設計	渴望;要求;想與...發生性關係	餐後甜點	查出
desire	渴望;要求;想與...發生性關係	餐後甜點	查出	開發
dessert	餐後甜點	查出	開發	露水;朝氣
detect	查出	開發	露水;朝氣	撥(電話號碼)
develop	開發	露水;朝氣	撥(電話號碼)	鑽石
dew	露水;朝氣	撥(電話號碼)	鑽石	日記
dial	撥(電話號碼)	鑽石	日記	字典
diamond	鑽石	日記	字典	差別
diary	日記	字典	差別	困難
dictionary	字典	差別	困難	恐龍
difference	差別	困難	恐龍	方向; 指示
difficulty	困難	恐龍	方向; 指示	董事;局長;主任
dinosaur	恐龍	方向; 指示	董事;局長;主任	不一致,不符
direction	方向; 指示	董事;局長;主任	不一致,不符	消失
director	董事;局長;主任	不一致,不符	消失	討論
disagree	不一致,不符	消失	討論	討論
disappear	消失	討論	討論	不誠實的
discuss	討論	討論	不誠實的	陳列;展出
discussion	討論	不誠實的	陳列;展出	距離
dishonest	不誠實的	陳列;展出	距離	遠的
display	陳列;展出	距離	遠的	分開;除以
distance	距離	遠的	分開;除以	區域;部分;除(法)
distant	遠的	分開;除以	區域;部分;除(法)	暈眩的
divide	分開;除以	區域;部分;除(法)	暈眩的	海豚
division	區域;部分;除(法)	暈眩的	海豚	驢子
dizzy	暈眩的	海豚	驢子	點
dolphin	海豚	驢子	點	雙重的
donkey	驢子	點	雙重的	懷疑
dot	點	雙重的	懷疑	油炸圈餅
