gate	柵門	集合	普遍的	慷慨的
gather	集合	普遍的	慷慨的	溫柔的
general 	普遍的	慷慨的	溫柔的	紳士
generous	慷慨的	溫柔的	紳士	地理
gentle	溫柔的	紳士	地理	巨大的
gentleman	紳士	地理	巨大的	長頸鹿
geography	地理	巨大的	長頸鹿	手套
giant	巨大的	長頸鹿	手套	膠水
giraffe	長頸鹿	手套	膠水	球門
glove	手套	膠水	球門	山羊
glue	膠水	球門	山羊	金的
goal	球門	山羊	金的	打高爾夫球
goat	山羊	金的	打高爾夫球	統治
golden	金的	打高爾夫球	統治	政府
golf	打高爾夫球	統治	政府	將...分等級;將...分類
govern	統治	政府	將...分等級;將...分類	葡萄
government	政府	將...分等級;將...分類	葡萄	長滿草的;似草的
grade	將...分等級;將...分類	葡萄	長滿草的;似草的	貪心的
grape	葡萄	長滿草的;似草的	貪心的	問候;致敬
grassy	長滿草的;似草的	貪心的	問候;致敬	成長
greedy	貪心的	問候;致敬	成長	保衛;看守
greet	問候;致敬	成長	保衛;看守	番石榴
growth	成長	保衛;看守	番石榴	吉他
guard	保衛;看守	番石榴	吉他	傢伙;人
guava	番石榴	吉他	傢伙;人	習慣
guitar	吉他	傢伙;人	習慣	大廳;講堂
guy	傢伙;人	習慣	大廳;講堂	漢堡
habit	習慣	大廳;講堂	漢堡	敲打
hall	大廳;講堂	漢堡	敲打	手帕
hamburger/burger	漢堡	敲打	手帕	處理
hammer	敲打	手帕	處理	英俊的
handkerchief	手帕	處理	英俊的	把…掛起;吊
handle 	處理	英俊的	把…掛起;吊	衣架
handsome	英俊的	把…掛起;吊	衣架	幾乎不,簡直不
hang	把…掛起;吊	衣架	幾乎不,簡直不	可恨的;充滿憎恨的
hanger	衣架	幾乎不,簡直不	可恨的;充滿憎恨的	健康的
hardly	幾乎不,簡直不	可恨的;充滿憎恨的	健康的	暖氣機
hateful	可恨的;充滿憎恨的	健康的	暖氣機	高度
healthy	健康的	暖氣機	高度	有益的
heater	暖氣機	高度	有益的	母雞
