lend	出借	(距離,尺寸的)長度	豹;美洲豹	萵苣
length	(距離,尺寸的)長度	豹;美洲豹	萵苣	圖書館
leopard	豹;美洲豹	萵苣	圖書館	舔
lettuce	萵苣	圖書館	舔	鍋蓋
library	圖書館	舔	鍋蓋	閃電
lick	舔	鍋蓋	閃電	限定
lid	鍋蓋	閃電	限定	聯繫
lightning	閃電	限定	聯繫	液體
limit	限定	聯繫	液體	傾聽者
link	聯繫	液體	傾聽者	一條(麵包)
liquid	液體	傾聽者	一條(麵包)	本地的
listener	傾聽者	一條(麵包)	本地的	把...設置在;使...座落於
loaf	一條(麵包)	本地的	把...設置在;使...座落於	鎖住
local	本地的	把...設置在;使...座落於	鎖住	伐(林木);把...記入航海日誌
locate	把...設置在;使...座落於	鎖住	伐(林木);把...記入航海日誌	孤單的;無伴的
lock	鎖住	伐(林木);把...記入航海日誌	孤單的;無伴的	寂寞的
log	伐(林木);把...記入航海日誌	孤單的;無伴的	寂寞的	輸;失去
lone	孤單的;無伴的	寂寞的	輸;失去	輸家
lonely	寂寞的	輸;失去	輸家	損失
lose	輸;失去	輸家	損失	動人的
loser	輸家	損失	動人的	情人
loss	損失	動人的	情人	降低
lovely	動人的	情人	降低	好運;幸運
lover	情人	降低	好運;幸運	雜誌
lower	降低	好運;幸運	雜誌	不可思議的;有魔力的
luck	好運;幸運	雜誌	不可思議的;有魔力的	魔術師
magazine	雜誌	不可思議的;有魔力的	魔術師	最主要的
magic	不可思議的;有魔力的	魔術師	最主要的	保養
magician	魔術師	最主要的	保養	男性的
main	最主要的	保養	男性的	國語
maintain	保養	男性的	國語	芒果
male	男性的	國語	芒果	舉止;態度
Mandarin	國語	芒果	舉止;態度	做記號
mango	芒果	舉止;態度	做記號	結婚,婚姻
manner	舉止;態度	做記號	結婚,婚姻	在(臉上)戴面具;掩飾
mark	做記號	結婚,婚姻	在(臉上)戴面具;掩飾	團;塊
marriage	結婚,婚姻	在(臉上)戴面具;掩飾	團;塊	蓆子;墊子
mask	在(臉上)戴面具;掩飾	團;塊	蓆子;墊子	相配
mass	團;塊	蓆子;墊子	相配	使交配
mat	蓆子;墊子	相配	使交配	材料,原料
