rabbit	兔子	下雨的;多雨的	排列	迅速的
rainy	下雨的;多雨的	排列	迅速的	罕見的
range	排列	迅速的	罕見的	寧可;頗為
rapid	迅速的	罕見的	寧可;頗為	現實;真實
rare	罕見的	寧可;頗為	現實;真實	認知;實現
rather	寧可;頗為	現實;真實	認知;實現	最近的
reality	現實;真實	認知;實現	最近的	記錄
realize 	認知;實現	最近的	記錄	長方形
recent	最近的	記錄	長方形	電冰箱
record 	記錄	長方形	電冰箱	拒絕
rectangle	長方形	電冰箱	拒絕	把...看作;尊重
refrigerator/fridge/icebox	電冰箱	拒絕	把...看作;尊重	地區
refuse	拒絕	把...看作;尊重	地區	通常的;定期的
regard	把...看作;尊重	地區	通常的;定期的	拒絕
region	地區	通常的;定期的	拒絕	關係,關聯
regular	通常的;定期的	拒絕	關係,關聯	關係,關聯;人際關係
reject	拒絕	關係,關聯	關係,關聯;人際關係	重複
relation	關係,關聯	關係,關聯;人際關係	重複	回答
relationship	關係,關聯;人際關係	重複	回答	記者
repeat	重複	回答	記者	需要
reply	回答	記者	需要	尊敬
reporter	記者	需要	尊敬	負責任的
require	需要	尊敬	負責任的	餐廳
respect	尊敬	負責任的	餐廳	廁所
responsible	負責任的	餐廳	廁所	結果
restaurant	餐廳	廁所	結果	溫習;回顧
restroom/rest room	廁所	結果	溫習;回顧	財富,財產;富有,豐饒
result	結果	溫習;回顧	財富,財產;富有,豐饒	岩石;搖滾樂
review	溫習;回顧	財富,財產;富有,豐饒	岩石;搖滾樂	岩石的;多岩石的
riches	財富,財產;富有,豐饒	岩石;搖滾樂	岩石的;多岩石的	角色
rock 	岩石;搖滾樂	岩石的;多岩石的	角色	皇家的
rocky	岩石的;多岩石的	角色	皇家的	無禮的
role	角色	皇家的	無禮的	尺
royal	皇家的	無禮的	尺	賽跑者;逃亡者
rude	無禮的	尺	賽跑者;逃亡者	催促
ruler	尺	賽跑者;逃亡者	催促	安全
runner	賽跑者;逃亡者	催促	安全	水手
rush	催促	安全	水手	沙拉
safety	安全	水手	沙拉	有鹽分的;鹹味濃的
sailor	水手	沙拉	有鹽分的;鹹味濃的	試吃
