skinny	很瘦的	繞開,避開	想睡的	纖細的
skirt	繞開,避開	想睡的	纖細的	溜滑梯
sleepy	想睡的	纖細的	溜滑梯	苗條的
slender	纖細的	溜滑梯	苗條的	滑
slide	溜滑梯	苗條的	滑	拖鞋
slim	苗條的	滑	拖鞋	吃快餐;吃點心
slip	滑	拖鞋	吃快餐;吃點心	蝸牛
slipper	拖鞋	吃快餐;吃點心	蝸牛	多雪的
snack	吃快餐;吃點心	蝸牛	多雪的	足球
snail	蝸牛	多雪的	足球	社交的
snowy	多雪的	足球	社交的	社會
soccer	足球	社交的	社會	短襪
social	社交的	社會	短襪	軍人
society	社會	短襪	軍人	解答;溶劑
sock	短襪	軍人	解答;溶劑	解決
soldier	軍人	解答;溶劑	解決	某人
solution	解答;溶劑	解決	某人	在某處
solve	解決	某人	在某處	把...分類
somebody	某人	在某處	把...分類	源頭
somewhere	在某處	把...分類	源頭	南方的
sort	把...分類	源頭	南方的	大豆
source	源頭	南方的	大豆	擴音機
southern	南方的	大豆	擴音機	加速;促進
soybean/soya bean/soy	大豆	擴音機	加速;促進	拼字;拼寫;拼法
speaker	擴音機	加速;促進	拼字;拼寫;拼法	蜘蛛
speed	加速;促進	拼字;拼寫;拼法	蜘蛛	菠菜
spelling	拼字;拼寫;拼法	蜘蛛	菠菜	精神
spider	蜘蛛	菠菜	精神	沾污;察出
spinach	菠菜	精神	沾污;察出	展開;散布
spirit	精神	沾污;察出	展開;散布	彈跳
spot	沾污;察出	展開;散布	彈跳	正方形的
spread	展開;散布	彈跳	正方形的	松鼠
spring 	彈跳	正方形的	松鼠	舞台
square	正方形的	松鼠	舞台	蓋印
squirrel	松鼠	舞台	蓋印	一般性的
stage	舞台	蓋印	一般性的	牛排
stamp	蓋印	一般性的	牛排	偷竊
standard	一般性的	牛排	偷竊	蒸
steak	牛排	偷竊	蒸	鋼化;給...包上鋼
steal	偷竊	蒸	鋼化;給...包上鋼	戳
