tangerine	橘子	油罐車	用帶子捆紮;用錄音帶為...錄音(或影)	把...作為目標(或對象)
tank	油罐車	用帶子捆紮;用錄音帶為...錄音(或影)	把...作為目標(或對象)	派給...任務;要...做一項工作
tape	用帶子捆紮;用錄音帶為...錄音(或影)	把...作為目標(或對象)	派給...任務;要...做一項工作	高雅的;大方的
target	把...作為目標(或對象)	派給...任務;要...做一項工作	高雅的;大方的	使合作;結成一隊
task	派給...任務;要...做一項工作	高雅的;大方的	使合作;結成一隊	眼淚
tasty	高雅的;大方的	使合作;結成一隊	眼淚	青少年
team	使合作;結成一隊	眼淚	青少年	十幾歲的
tear 	眼淚	青少年	十幾歲的	十幾歲孩子
teen	青少年	十幾歲的	十幾歲孩子	電話
teenage	十幾歲的	十幾歲孩子	電話	電視
teenager	十幾歲孩子	電話	電視	太陽穴
telephone/phone	電話	電視	太陽穴	網球
television/TV	電視	太陽穴	網球	帳篷
temple	太陽穴	網球	帳篷	把...稱為,把...叫做
tennis	網球	帳篷	把...稱為,把...叫做	可怕的
tent	帳篷	把...稱為,把...叫做	可怕的	非常好的
term	把...稱為,把...叫做	可怕的	非常好的	試驗;測驗
terrible	可怕的	非常好的	試驗;測驗	教科書
terrific	非常好的	試驗;測驗	教科書	戲院;劇院
test	試驗;測驗	教科書	戲院;劇院	因此
textbook	教科書	戲院;劇院	因此	粗的
theater	戲院;劇院	因此	粗的	小偷
therefore	因此	粗的	小偷	瘦的
thick	粗的	小偷	瘦的	口渴的
thief	小偷	瘦的	口渴的	喉嚨
thin	瘦的	口渴的	喉嚨	從頭至尾
thirsty	口渴的	喉嚨	從頭至尾	在各處
throat	喉嚨	從頭至尾	在各處	姆指
through	從頭至尾	在各處	姆指	打雷;大聲斥責;威嚇
throughout	在各處	姆指	打雷;大聲斥責;威嚇	給小費;使傾斜
thumb	姆指	打雷;大聲斥責;威嚇	給小費;使傾斜	加標題於;授頭銜於
thunder	打雷;大聲斥責;威嚇	給小費;使傾斜	加標題於;授頭銜於	土司
tip	給小費;使傾斜	加標題於;授頭銜於	土司	腳趾
title	加標題於;授頭銜於	土司	腳趾	豆腐
toast	土司	腳趾	豆腐	馬桶
toe	腳趾	豆腐	馬桶	番茄
tofu/bean curd	豆腐	馬桶	番茄	舌頭
toilet	馬桶	番茄	舌頭	牙齒
tomato	番茄	舌頭	牙齒	論題;話題
tongue	舌頭	牙齒	論題;話題	帶...作巡迴演出
