tooth	牙齒	論題;話題	帶...作巡迴演出	用毛巾擦
topic	論題;話題	帶...作巡迴演出	用毛巾擦	高聳,屹立;勝過;高飛,翱翔
tour	帶...作巡迴演出	用毛巾擦	高聳,屹立;勝過;高飛,翱翔	鐵軌
towel	用毛巾擦	高聳,屹立;勝過;高飛,翱翔	鐵軌	交換; 做買賣,進行交易
tower	高聳,屹立;勝過;高飛,翱翔	鐵軌	交換; 做買賣,進行交易	傳統
track	鐵軌	交換; 做買賣,進行交易	傳統	傳統的
trade	交換; 做買賣,進行交易	傳統	傳統的	交通
tradition	傳統	傳統的	交通	設陷阱
traditional	傳統的	交通	設陷阱	旅行
traffic	交通	設陷阱	旅行	珍愛
trap	設陷阱	旅行	珍愛	ment) 
travel	旅行	珍愛	ment) 	審判
treasure	珍愛	ment) 	審判	三角形
treat 	ment) 	審判	三角形	欺騙
trial	審判	三角形	欺騙	長褲
triangle	三角形	欺騙	長褲	卡車
trick	欺騙	長褲	卡車	吹喇叭
trousers	長褲	卡車	吹喇叭	信任
truck	卡車	吹喇叭	信任	事實;真相
trumpet	吹喇叭	信任	事實;真相	管子
trust	信任	事實;真相	管子	隧道
truth	事實;真相	管子	隧道	火雞
tube	管子	隧道	火雞	烏龜
tunnel	隧道	火雞	烏龜	類型
turkey	火雞	烏龜	類型	颱風
turtle	烏龜	類型	颱風	醜的
type 	類型	颱風	醜的	雨傘
typhoon	颱風	醜的	雨傘	內衣
ugly	醜的	雨傘	內衣	相同的,一致的;不變的
umbrella	雨傘	內衣	相同的,一致的;不變的	在～之上
underwear	內衣	相同的,一致的;不變的	在～之上	較高的
uniform	相同的,一致的;不變的	在～之上	較高的	習慣於; 舊的;用舊了的
upon	在～之上	較高的	習慣於; 舊的;用舊了的	習慣了
upper	較高的	習慣於; 舊的;用舊了的	習慣了	使用者
used	習慣於; 舊的;用舊了的	習慣了	使用者	通常的
used to 	習慣了	使用者	通常的	度假
user	使用者	通常的	度假	山谷
usual	通常的	度假	山谷	估價,評價;尊重;重視
vacation	度假	山谷	估價,評價;尊重;重視	勝利
valley	山谷	估價,評價;尊重;重視	勝利	電視的;電視影像的;錄影的
