value	估價,評價;尊重;重視	勝利	電視的;電視影像的;錄影的	村落
victory	勝利	電視的;電視影像的;錄影的	村落	小提琴
video	電視的;電視影像的;錄影的	村落	小提琴	訪客
village	村落	小提琴	訪客	字彙
violin	小提琴	訪客	字彙	排球
visitor	訪客	字彙	排球	投票
vocabulary	字彙	排球	投票	選舉人;投票人
volleyball	排球	投票	選舉人;投票人	腰
vote	投票	選舉人;投票人	腰	男服務生
voter	選舉人;投票人	腰	男服務生	叫醒
waist	腰	男服務生	叫醒	皮夾
waiter/waitress	男服務生	叫醒	皮夾	瀑布
wake	叫醒	皮夾	瀑布	西瓜
wallet	皮夾	瀑布	西瓜	揮動
waterfall	瀑布	西瓜	揮動	武器
watermelon	西瓜	揮動	武器	娶;嫁
wave	揮動	武器	娶;嫁	工作日
weapon	武器	娶;嫁	工作日	西方的
wed	娶;嫁	工作日	西方的	潮溼的
weekday	工作日	西方的	潮溼的	鯨魚
western	西方的	潮溼的	鯨魚	無論怎麼的
wet	潮溼的	鯨魚	無論怎麼的	旋轉,轉動
whale	鯨魚	無論怎麼的	旋轉,轉動	無論何時
whatever	無論怎麼的	旋轉,轉動	無論何時	無論何處
wheel	旋轉,轉動	無論何時	無論何處	低語,耳語
whenever	無論何時	無論何處	低語,耳語	任何人
wherever 	無論何處	低語,耳語	任何人	加寬;擴大
whisper	低語,耳語	任何人	加寬;擴大	寬度
whoever	任何人	加寬;擴大	寬度	野生的;無法無天的
widen	加寬;擴大	寬度	野生的;無法無天的	願意的,樂意的
width	寬度	野生的;無法無天的	願意的,樂意的	多風的
wild	野生的;無法無天的	願意的,樂意的	多風的	翅膀
willing	願意的,樂意的	多風的	翅膀	贏家
windy	多風的	翅膀	贏家	金屬絲
wing	翅膀	贏家	金屬絲	有智慧的
winner	贏家	金屬絲	有智慧的	在
wire	金屬絲	有智慧的	在	沒有
wise	有智慧的	在	沒有	狼
within	在	沒有	狼	納悶
without	沒有	狼	納悶	很棒的;奇妙的
