bend	折彎;轉彎	並且	打賭	在更遠處
besides	並且	打賭	在更遠處	記入帳
bet	打賭	在更遠處	記入帳	捆;綁
beyond	在更遠處	記入帳	捆;綁	嚴酷的
bill	記入帳	捆;綁	嚴酷的	黑板
bind	捆;綁	嚴酷的	黑板	空白的
bitter	嚴酷的	黑板	空白的	瞎的
blackboard	黑板	空白的	瞎的	流血的
blank	空白的	瞎的	流血的	薄木板
blind	瞎的	流血的	薄木板	烹煮，煮沸
bloody	流血的	薄木板	烹煮，煮沸	轟炸
board 	薄木板	烹煮，煮沸	轟炸	似骨的
boil	烹煮，煮沸	轟炸	似骨的	書架
bomb	轟炸	似骨的	書架	借
bony	似骨的	書架	借	指揮;作威作福
bookcase	書架	借	指揮;作威作福	煩擾
borrow	借	指揮;作威作福	煩擾	㽍子
boss	指揮;作威作福	煩擾	㽍子	弓
bother	煩擾	㽍子	弓	保齡球
bottle	㽍子	弓	保齡球	大腦
bow 	弓	保齡球	大腦	樹枝
bowling	保齡球	大腦	樹枝	印...商標於
brain	大腦	樹枝	印...商標於	磚塊
branch	樹枝	印...商標於	磚塊	提出簡報
brand	印...商標於	磚塊	提出簡報	寛廣的
brick	磚塊	提出簡報	寛廣的	廣播
brief	提出簡報	寛廣的	廣播	早午餐
broad	寛廣的	廣播	早午餐	刷
broadcast	廣播	早午餐	刷	小圓麵包
brunch	早午餐	刷	小圓麵包	捆;大量
brush	刷	小圓麵包	捆;大量	燒;燙傷
bun/roll	小圓麵包	捆;大量	燒;燙傷	爆開;闖入
bundle	捆;大量	燒;燙傷	爆開;闖入	商業;事
burn	燒;燙傷	爆開;闖入	商業;事	扣鈕扣
burst	爆開;闖入	商業;事	扣鈕扣	包心菜
business	商業;事	扣鈕扣	包心菜	發越洋電報
button	扣鈕扣	包心菜	發越洋電報	小餐館;咖啡廳
cabbage	包心菜	發越洋電報	小餐館;咖啡廳	自助餐館
cable	發越洋電報	小餐館;咖啡廳	自助餐館	日曆;月曆;行事曆
café/cafe	小餐館;咖啡廳	自助餐館	日曆;月曆;行事曆	寧靜的
