bullet	子彈	碰,撞	串,束	加重壓於
bump	碰,撞	串,束	加重壓於	夜賊,破門盜竊者
bunch	串,束	加重壓於	夜賊,破門盜竊者	埋葬,安葬
burden 	加重壓於	夜賊,破門盜竊者	埋葬,安葬	灌木
burglar	夜賊,破門盜竊者	埋葬,安葬	灌木	嗡嗡叫
bury	埋葬,安葬	灌木	嗡嗡叫	客艙
bush	灌木	嗡嗡叫	客艙	校園
buzz	嗡嗡叫	客艙	校園	藤條
cabin	客艙	校園	藤條	獨木舟
campus	校園	藤條	獨木舟	峽谷
cane	藤條	獨木舟	峽谷	有...的能力
canoe	獨木舟	峽谷	有...的能力	資本
canyon	峽谷	有...的能力	資本	捕獲;俘虜
capable	有...的能力	資本	捕獲;俘虜	木工,木匠
capital 	資本	捕獲;俘虜	木工,木匠	運輸;運費
capture	捕獲;俘虜	木工,木匠	運輸;運費	投擲
carpenter	木工,木匠	運輸;運費	投擲	隨便的
carriage	運輸;運費	投擲	隨便的	毛毛蟲
cast 	投擲	隨便的	毛毛蟲	牛;牲口,家畜
casual	隨便的	毛毛蟲	牛;牲口,家畜	慶祝
caterpillar	毛毛蟲	牛;牲口,家畜	慶祝	公分
cattle	牛;牲口,家畜	慶祝	公分	陶器的;製陶藝術的
celebrate	慶祝	公分	陶器的;製陶藝術的	腳踏車鏈
centimeter	公分	陶器的;製陶藝術的	腳踏車鏈	對...提出異議
ceramic	陶器的;製陶藝術的	腳踏車鏈	對...提出異議	優勝者,冠軍
chain	腳踏車鏈	對...提出異議	優勝者,冠軍	易變的;不定的
challenge	對...提出異議	優勝者,冠軍	易變的;不定的	在...開水道;傳送
champion	優勝者,冠軍	易變的;不定的	在...開水道;傳送	(書籍的)章,回
changeable	易變的;不定的	在...開水道;傳送	(書籍的)章,回	使陶醉
channel	在...開水道;傳送	(書籍的)章,回	使陶醉	閒談,聊天
chapter	(書籍的)章,回	使陶醉	閒談,聊天	臉頰
charm	使陶醉	閒談,聊天	臉頰	向...歡呼
chat	閒談,聊天	臉頰	向...歡呼	高興的
cheek	臉頰	向...歡呼	高興的	起司
cheer	向...歡呼	高興的	起司	櫻桃
cheerful	高興的	起司	櫻桃	胸
cheese	起司	櫻桃	胸	咀嚼
cherry	櫻桃	胸	咀嚼	幼時
chest	胸	咀嚼	幼時	涼颼颼的
chew	咀嚼	幼時	涼颼颼的	冷颼颼的
