childhood	幼時	涼颼颼的	冷颼颼的	煙囪
chill	涼颼颼的	冷颼颼的	煙囪	削,鑿,鏟
chilly	冷颼颼的	煙囪	削,鑿,鏟	使窒息;哽住
chimney	煙囪	削,鑿,鏟	使窒息;哽住	切碎
chip	削,鑿,鏟	使窒息;哽住	切碎	香煙,紙煙
choke	使窒息;哽住	切碎	香煙,紙煙	馬戲團
chop	切碎	香煙,紙煙	馬戲團	市民的,國民的
cigarette	香煙,紙煙	馬戲團	市民的,國民的	古典的
circus	馬戲團	市民的,國民的	古典的	發出卡嗒(或喀嚓)聲
civil	市民的,國民的	古典的	發出卡嗒(或喀嚓)聲	顧客,客戶
classical	古典的	發出卡嗒(或喀嚓)聲	顧客,客戶	診所,門診所
click	發出卡嗒(或喀嚓)聲	顧客,客戶	診所,門診所	剪;修剪;剪短;剪除
client	顧客,客戶	診所,門診所	剪;修剪;剪短;剪除	線索,跡象,提示
clinic	診所,門診所	剪;修剪;剪短;剪除	線索,跡象,提示	雞尾酒
clip	剪;修剪;剪短;剪除	線索,跡象,提示	雞尾酒	椰子
clue	線索,跡象,提示	雞尾酒	椰子	衣領
cocktail	雞尾酒	椰子	衣領	收集
coconut	椰子	衣領	收集	學院;大學
collar	衣領	收集	學院;大學	殖民地
collection	收集	學院;大學	殖民地	報紙專欄
college	學院;大學	殖民地	報紙專欄	使結合
colony	殖民地	報紙專欄	使結合	安慰
column	報紙專欄	使結合	安慰	逗號
combine	使結合	安慰	逗號	命令;掌握; 指揮;控制
comfort	安慰	逗號	命令;掌握; 指揮;控制	商業的;商務的
comma	逗號	命令;掌握; 指揮;控制	商業的;商務的	委員會
command	命令;掌握; 指揮;控制	商業的;商務的	委員會	傳達;傳遞
commercial	商業的;商務的	委員會	傳達;傳遞	比較,對照
committee	委員會	傳達;傳遞	比較,對照	競爭;對抗
communicate	傳達;傳遞	比較,對照	競爭;對抗	抱怨;抗議;怨言
comparison	比較,對照	競爭;對抗	抱怨;抗議;怨言	複雜的
compete	競爭;對抗	抱怨;抗議;怨言	複雜的	使擔心
complaint	抱怨;抗議;怨言	複雜的	使擔心	音樂會,演奏會
complex	複雜的	使擔心	音樂會,演奏會	推斷出,斷定
concern	使擔心	音樂會,演奏會	推斷出,斷定	結論;推論
concert	音樂會,演奏會	推斷出,斷定	結論;推論	決定;為...的條件
conclude	推斷出,斷定	結論;推論	決定;為...的條件	圓錐體
conclusion	結論;推論	決定;為...的條件	圓錐體	有信心的
condition	決定;為...的條件	圓錐體	有信心的	使迷惑
cone	圓錐體	有信心的	使迷惑	連接,連結
