flea	跳蚤	果肉	浮	聚集;成群地去(或來)
flesh	果肉	浮	聚集;成群地去(或來)	摺疊;對摺
float	浮	聚集;成群地去(或來)	摺疊;對摺	人們
flock	聚集;成群地去(或來)	摺疊;對摺	人們	追隨者;信徒
fold	摺疊;對摺	人們	追隨者;信徒	喜歡的;愛好的
folk	人們	追隨者;信徒	喜歡的;愛好的	額頭
follower	追隨者;信徒	喜歡的;愛好的	額頭	永遠
fond	喜歡的;愛好的	額頭	永遠	向前;向前方;向外
forehead/brow	額頭	永遠	向前;向前方;向外	財產,財富;巨款
forever	永遠	向前;向前方;向外	財產,財富;巨款	建立;建造;鑄造;熔化
forth	向前;向前方;向外	財產,財富;巨款	建立;建造;鑄造;熔化	噴水池
fortune	財產,財富;巨款	建立;建造;鑄造;熔化	噴水池	結冰,凝固;凍結
found	建立;建造;鑄造;熔化	噴水池	結冰,凝固;凍結	頻繁的;屢次的
fountain	噴水池	結冰,凝固;凍結	頻繁的;屢次的	友誼
freeze	結冰,凝固;凍結	頻繁的;屢次的	友誼	挫敗;阻撓
frequent	頻繁的;屢次的	友誼	挫敗;阻撓	油炸
friendship	友誼	挫敗;阻撓	油炸	提供(事業,活動等的)資金
frustrate	挫敗;阻撓	油炸	提供(事業,活動等的)資金	軟毛;毛皮製品
fry	油炸	提供(事業,活動等的)資金	軟毛;毛皮製品	傢俱
fund	提供(事業,活動等的)資金	軟毛;毛皮製品	傢俱	加侖
fur	軟毛;毛皮製品	傢俱	加侖	賭博;打賭
furniture 	傢俱	加侖	賭博;打賭	成群結隊;結夥
gallon	加侖	賭博;打賭	成群結隊;結夥	裂口,缺口
gamble	賭博;打賭	成群結隊;結夥	裂口,缺口	大蒜
gang	成群結隊;結夥	裂口,缺口	大蒜	汽油
gap	裂口,缺口	大蒜	汽油	做手勢
garlic	大蒜	汽油	做手勢	看一下
gasoline/gasolene/gas	汽油	做手勢	看一下	全世界的
gesture	做手勢	看一下	全世界的	驕傲;自豪
glance	看一下	全世界的	驕傲;自豪	發白熱光,灼熱
global	全世界的	驕傲;自豪	發白熱光,灼熱	閒聊
glory	驕傲;自豪	發白熱光,灼熱	閒聊	州長
glow	發白熱光,灼熱	閒聊	州長	(婦女穿的)長禮服;晨衣,睡袍
gossip	閒聊	州長	(婦女穿的)長禮服;晨衣,睡袍	抓
governor	州長	(婦女穿的)長禮服;晨衣,睡袍	抓	逐漸的,逐步的
gown	(婦女穿的)長禮服;晨衣,睡袍	抓	逐漸的,逐步的	畢業
grab	抓	逐漸的,逐步的	畢業	穀物
gradual	逐漸的,逐步的	畢業	穀物	公克
graduate	畢業	穀物	公克	抓牢
grain	穀物	公克	抓牢	蚱蜢
