marvelous	了不起的	數學的	數學	成熟的;到期的
mathematical	數學的	數學	成熟的;到期的	市長
mathematics/math	數學	成熟的;到期的	市長	草地,牧草地
mature	成熟的;到期的	市長	草地,牧草地	意味深長的;有意義的
mayor	市長	草地,牧草地	意味深長的;有意義的	同時
meadow	草地,牧草地	意味深長的;有意義的	同時	獎章,紀念章,勳章
meaningful	意味深長的;有意義的	同時	獎章,紀念章,勳章	醫學的;醫術的;醫療的
meanwhile	同時	獎章,紀念章,勳章	醫學的;醫術的;醫療的	中間;中庸;媒體;工具;傳播媒介
medal	獎章,紀念章,勳章	醫學的;醫術的;醫療的	中間;中庸;媒體;工具;傳播媒介	融化;熔化
medical	醫學的;醫術的;醫療的	中間;中庸;媒體;工具;傳播媒介	融化;熔化	會員身分
medium/media	中間;中庸;媒體;工具;傳播媒介	融化;熔化	會員身分	記住;背熟
melt	融化;熔化	會員身分	記住;背熟	修理,修補
membership	會員身分	記住;背熟	修理,修補	精神的,心理的
memorize	記住;背熟	修理,修補	精神的,心理的	提到
mend	修理,修補	精神的,心理的	提到	商人
mental	精神的,心理的	提到	商人	愉快的,興高采烈的
mention	提到	商人	愉快的,興高采烈的	弄髒,弄亂
merchant	商人	愉快的,興高采烈的	弄髒,弄亂	麥克風
merry	愉快的,興高采烈的	弄髒,弄亂	麥克風	用微波爐烹調
mess	弄髒,弄亂	麥克風	用微波爐烹調	會
microphone/mike	麥克風	用微波爐烹調	會	強大的;強有力的
microwave	用微波爐烹調	會	強大的;強有力的	碾碎
might	會	強大的;強有力的	碾碎	百萬富翁
mighty	強大的;強有力的	碾碎	百萬富翁	礦工
mill	碾碎	百萬富翁	礦工	較小的;較次要的
millionaire	百萬富翁	礦工	較小的;較次要的	少數;少數民族;未成年
miner	礦工	較小的;較次要的	少數;少數民族;未成年	奇蹟
minor	較小的;較次要的	少數;少數民族;未成年	奇蹟	痛苦;不幸;悲慘;窮困
minority	少數;少數民族;未成年	奇蹟	痛苦;不幸;悲慘;窮困	飛彈,導彈
miracle	奇蹟	痛苦;不幸;悲慘;窮困	飛彈,導彈	缺掉的;失蹤的;找不到的
misery	痛苦;不幸;悲慘;窮困	飛彈,導彈	缺掉的;失蹤的;找不到的	使節團;使命,任務
missile	飛彈,導彈	缺掉的;失蹤的;找不到的	使節團;使命,任務	使蒙上薄霧
missing	缺掉的;失蹤的;找不到的	使節團;使命,任務	使蒙上薄霧	混合,混和
mission	使節團;使命,任務	使蒙上薄霧	混合,混和	成群襲擊,圍攻
mist	使蒙上薄霧	混合,混和	成群襲擊,圍攻	移動式的;流動的
mixture	混合,混和	成群襲擊,圍攻	移動式的;流動的	潮濕的,微濕的
mob	成群襲擊,圍攻	移動式的;流動的	潮濕的,微濕的	濕氣
mobile	移動式的;流動的	潮濕的,微濕的	濕氣	修道士;僧侶
moist	潮濕的,微濕的	濕氣	修道士;僧侶	心情,心境,情緒
moisture	濕氣	修道士;僧侶	心情,心境,情緒	拖洗;擦去
