sex	性別;色情;性交;性慾;性感	兩性的;關於性關係的;性慾的	性感的	遮蔽,蔽蔭
sexual	兩性的;關於性關係的;性慾的	性感的	遮蔽,蔽蔭	使變暗;使陰鬱
sexy	性感的	遮蔽,蔽蔭	使變暗;使陰鬱	靠不住的;名聲不好的
shade	遮蔽,蔽蔭	使變暗;使陰鬱	靠不住的;名聲不好的	淺的
shadow	使變暗;使陰鬱	靠不住的;名聲不好的	淺的	羞恥
shady	靠不住的;名聲不好的	淺的	羞恥	洗髮精
shallow	淺的	羞恥	洗髮精	刮
shame	羞恥	洗髮精	刮	牧羊人
shampoo	洗髮精	刮	牧羊人	晴朗的;有光澤的
shave	刮	牧羊人	晴朗的;有光澤的	使變短;縮短
shepherd	牧羊人	晴朗的;有光澤的	使變短;縮短	立刻
shiny	晴朗的;有光澤的	使變短;縮短	立刻	鐵鏟
shorten	使變短;縮短	立刻	鐵鏟	縮短,皺縮
shortly	立刻	鐵鏟	縮短,皺縮	嘆氣,嘆息
shovel	鐵鏟	縮短,皺縮	嘆氣,嘆息	打信號
shrink	縮短,皺縮	嘆氣,嘆息	打信號	有意義的
sigh	嘆氣,嘆息	打信號	有意義的	類似;相似
signal	打信號	有意義的	類似;相似	犯(罪)
significant	有意義的	類似;相似	犯(罪)	誠懇的
similarity	類似;相似	犯(罪)	誠懇的	啜飲
sin	犯(罪)	誠懇的	啜飲	處境,境遇
sincere	誠懇的	啜飲	處境,境遇	溜冰
sip	啜飲	處境,境遇	溜冰	滑雪
situation	處境,境遇	溜冰	滑雪	跳
skate	溜冰	滑雪	跳	摩天樓
ski	滑雪	跳	摩天樓	奴隸般工作;苦幹
skip	跳	摩天樓	奴隸般工作;苦幹	袖子;袖套
skyscraper	摩天樓	奴隸般工作;苦幹	袖子;袖套	切成薄片
slave	奴隸般工作;苦幹	袖子;袖套	切成薄片	容易滑的;不明確的
sleeve	袖子;袖套	切成薄片	容易滑的;不明確的	斜坡
slice	切成薄片	容易滑的;不明確的	斜坡	平滑的
slippery	容易滑的;不明確的	斜坡	平滑的	突然折斷;用快照拍攝
slope	斜坡	平滑的	突然折斷;用快照拍攝	堅固的
smooth	平滑的	突然折斷;用快照拍攝	堅固的	將來有一天
snap	突然折斷;用快照拍攝	堅固的	將來有一天	不知怎麼的
solid	堅固的	將來有一天	不知怎麼的	某一時候;日後,改天
someday	將來有一天	不知怎麼的	某一時候;日後,改天	有點,稍微
somehow	不知怎麼的	某一時候;日後,改天	有點,稍微	疼痛的
sometime	某一時候;日後,改天	有點,稍微	疼痛的	感到悲傷;懊悔;遺憾
somewhat	有點,稍微	疼痛的	感到悲傷;懊悔;遺憾	鍋鏟
