tease	逗弄;取笑;向...強求	專門的,技術性的	技巧;技術	工藝學;工藝
technical	專門的,技術性的	技巧;技術	工藝學;工藝	情緒;脾氣;暴躁
technique	技巧;技術	工藝學;工藝	情緒;脾氣;暴躁	溫度
technology	工藝學;工藝	情緒;脾氣;暴躁	溫度	臨時的;暫時的
temper	情緒;脾氣;暴躁	溫度	臨時的;暫時的	走向;趨向;照料
temperature	溫度	臨時的;暫時的	走向;趨向;照料	溫柔的
temporary	臨時的;暫時的	走向;趨向;照料	溫柔的	領土
tend	走向;趨向;照料	溫柔的	領土	正文,本文
tender	溫柔的	領土	正文,本文	感謝的,感激的
territory	領土	正文,本文	感謝的,感激的	學說;論說
text	正文,本文	感謝的,感激的	學說;論說	渴,口渴
thankful	感謝的,感激的	學說;論說	渴,口渴	線
theory	學說;論說	渴,口渴	線	威脅,恐嚇
thirst	渴,口渴	線	威脅,恐嚇	威脅,恐嚇
thread	線	威脅,恐嚇	威脅,恐嚇	使發癢;逗...笑
threat	威脅,恐嚇	威脅,恐嚇	使發癢;逗...笑	潮汐;潮水
threaten	威脅,恐嚇	使發癢;逗...笑	潮汐;潮水	整潔的
tickle	使發癢;逗...笑	潮汐;潮水	整潔的	緊的
tide	潮汐;潮水	整潔的	緊的	變緊,繃緊
tidy	整潔的	緊的	變緊,繃緊	木材;樹林
tight	緊的	變緊,繃緊	木材;樹林	組織
tighten	變緊,繃緊	木材;樹林	組織	菸草;煙葉
timber	木材;樹林	組織	菸草;煙葉	噸
tissue	組織	菸草;煙葉	噸	烏龜
tobacco	菸草;煙葉	噸	烏龜	拋,扔,投
ton	噸	烏龜	拋,扔,投	旅遊,觀光
tortoise	烏龜	拋,扔,投	旅遊,觀光	旅遊者,觀光者
toss	拋,扔,投	旅遊,觀光	旅遊者,觀光者	拖,拉;牽引
tourism	旅遊,觀光	旅遊者,觀光者	拖,拉;牽引	追蹤;描繪
tourist	旅遊者,觀光者	拖,拉;牽引	追蹤;描繪	商人;交易人
tow	拖,拉;牽引	追蹤;描繪	商人;交易人	拖
trace	追蹤;描繪	商人;交易人	拖	運送,運輸
trader	商人;交易人	拖	運送,運輸	垃圾
trail	拖	運送,運輸	垃圾	旅客;遊客
transport	運送,運輸	垃圾	旅客;遊客	盤子,托盤
trash	垃圾	旅客;遊客	盤子,托盤	發抖;震顫
traveler	旅客;遊客	盤子,托盤	發抖;震顫	趨勢,傾向;時尚
tray	盤子,托盤	發抖;震顫	趨勢,傾向;時尚	部落;種族
tremble	發抖;震顫	趨勢,傾向;時尚	部落;種族	狡猾的
trend	趨勢,傾向;時尚	部落;種族	狡猾的	集合
