drip	滴下	淹沒,浸濕	昏昏欲睡的	喝醉(酒)的;陶醉的,興奮的
drown	淹沒,浸濕	昏昏欲睡的	喝醉(酒)的;陶醉的,興奮的	應支付的;欠款的
drowsy	昏昏欲睡的	喝醉(酒)的;陶醉的,興奮的	應支付的;欠款的	傾倒;拋棄
drunk	喝醉(酒)的;陶醉的,興奮的	應支付的;欠款的	傾倒;拋棄	灰塵
due	應支付的;欠款的	傾倒;拋棄	灰塵	渴望的,急切的
dump	傾倒;拋棄	灰塵	渴望的,急切的	收入,工資
dust	灰塵	渴望的,急切的	收入,工資	發出回聲
eager	渴望的,急切的	收入,工資	發出回聲	編輯;校訂
earnings	收入,工資	發出回聲	編輯;校訂	版本
echo	發出回聲	編輯;校訂	版本	編者;校訂者
edit	編輯;校訂	版本	編者;校訂者	教育
edition	版本	編者;校訂者	教育	教育的
editor	編者;校訂者	教育	教育的	效率高的;有能力的
educate	教育	教育的	效率高的;有能力的	手肘
educational	教育的	效率高的;有能力的	手肘	年長的;上了年紀的
efficient	效率高的;有能力的	手肘	年長的;上了年紀的	選舉
elbow	手肘	年長的;上了年紀的	選舉	電的
elderly	年長的;上了年紀的	選舉	電的	電;電流
election	選舉	電的	電;電流	電子的
electric/electrical	電的	電;電流	電子的	緊急情況
electricity	電;電流	電子的	緊急情況	皇帝
electronic	電子的	緊急情況	皇帝	強調
emergency	緊急情況	皇帝	強調	僱用
emperor	皇帝	強調	僱用	受雇者,雇工,雇員
emphasize	強調	僱用	受雇者,雇工,雇員	雇主,雇用者
employ	僱用	受雇者,雇工,雇員	雇主,雇用者	空的
employee	受雇者,雇工,雇員	雇主,雇用者	空的	使成為可能
employer	雇主,雇用者	空的	使成為可能	精力充沛的
empty	空的	使成為可能	精力充沛的	使訂婚;使忙於
enable	使成為可能	精力充沛的	使訂婚;使忙於	引擎
energetic	精力充沛的	使訂婚;使忙於	引擎	工程師
engage	使訂婚;使忙於	引擎	工程師	快樂的;有樂趣的
engine	引擎	工程師	快樂的;有樂趣的	入口
engineer	工程師	快樂的;有樂趣的	入口	環境的;有關環境(保護)的
enjoyable	快樂的;有樂趣的	入口	環境的;有關環境(保護)的	羨慕;嫉妒
entry	入口	環境的;有關環境(保護)的	羨慕;嫉妒	擦掉,抹去
environmental	環境的;有關環境(保護)的	羨慕;嫉妒	擦掉,抹去	逃跑;逃脫
envy	羨慕;嫉妒	擦掉,抹去	逃跑;逃脫	邪惡的
erase	擦掉,抹去	逃跑;逃脫	邪惡的	優秀;傑出;卓越
escape	逃跑;逃脫	邪惡的	優秀;傑出;卓越	交換;調換;兌換;匯兌
