evil	邪惡的	優秀;傑出;卓越	交換;調換;兌換;匯兌	展覽;展覽會
excellence	優秀;傑出;卓越	交換;調換;兌換;匯兌	展覽;展覽會	存在,實在
exchange	交換;調換;兌換;匯兌	展覽;展覽會	存在,實在	出口
exhibition	展覽;展覽會	存在,實在	出口	期待
existence	存在,實在	出口	期待	費用;支出;消耗
exit	出口	期待	費用;支出;消耗	進行實驗,試驗
expectation	期待	費用;支出;消耗	進行實驗,試驗	使爆炸
expense	費用;支出;消耗	進行實驗,試驗	使爆炸	輸出
experiment	進行實驗,試驗	使爆炸	輸出	表情
explode	使爆炸	輸出	表情	表達的;表情豐富的
export	輸出	表情	表達的;表情豐富的	極端的,極度的
expression	表情	表達的;表情豐富的	極端的,極度的	寓言
expressive	表達的;表情豐富的	極端的,極度的	寓言	因素;要素
extreme	極端的,極度的	寓言	因素;要素	褪色
fable	寓言	因素;要素	褪色	頭暈的;暗淡的
factor	因素;要素	褪色	頭暈的;暗淡的	公平地,公正地
fade	褪色	頭暈的;暗淡的	公平地,公正地	小妖精(似)的;優雅的
faint	頭暈的;暗淡的	公平地,公正地	小妖精(似)的;優雅的	信念;信任,完全信賴
fairly	公平地,公正地	小妖精(似)的;優雅的	信念;信任,完全信賴	假的;冒充的
fairy	小妖精(似)的;優雅的	信念;信任,完全信賴	假的;冒充的	熟悉的;常見的
faith	信念;信任,完全信賴	假的;冒充的	熟悉的;常見的	電扇
fake	假的;冒充的	熟悉的;常見的	電扇	花俏的;特級的
familiar	熟悉的;常見的	電扇	花俏的;特級的	(交通工具的)票價,車(船)費
fan 	電扇	花俏的;特級的	(交通工具的)票價,車(船)費	far的比較級; 更遠的,再往前的
fancy	花俏的;特級的	(交通工具的)票價,車(船)費	far的比較級; 更遠的,再往前的	把...塑造成
fare	(交通工具的)票價,車(船)費	far的比較級; 更遠的,再往前的	把...塑造成	時尚的
farther	far的比較級; 更遠的,再往前的	把...塑造成	時尚的	紮牢;繫緊
fashion	把...塑造成	時尚的	紮牢;繫緊	命運
fashionable	時尚的	紮牢;繫緊	命運	水龍頭
fasten	紮牢;繫緊	命運	水龍頭	傳真傳輸
fate	命運	水龍頭	傳真傳輸	羽毛
faucet/tap 	水龍頭	傳真傳輸	羽毛	以...為特色
fax	傳真傳輸	羽毛	以...為特色	把...歸檔
feather	羽毛	以...為特色	把...歸檔	煙火
feature	以...為特色	把...歸檔	煙火	拳頭
file	把...歸檔	煙火	拳頭	發火焰,燃燒
firework	煙火	拳頭	發火焰,燃燒	給...調味
fist	拳頭	發火焰,燃燒	給...調味	跳蚤
flame	發火焰,燃燒	給...調味	跳蚤	果肉
flavor	給...調味	跳蚤	果肉	浮
