delicate	易碎的;嬌貴的	使高興	令人愉快的,令人高興的	要求,請求
delight	使高興	令人愉快的,令人高興的	要求,請求	示範操作(產品),展示
delightful	令人愉快的,令人高興的	要求,請求	示範操作(產品),展示	實地示範
demand	要求,請求	示範操作(產品),展示	實地示範	密集的,稠密的
demonstrate	示範操作(產品),展示	實地示範	密集的,稠密的	起程,出發;離開,離去
demonstration	實地示範	密集的,稠密的	起程,出發;離開,離去	離開;出發,起程
dense	密集的,稠密的	起程,出發;離開,離去	離開;出發,起程	可靠的;可信任的
depart	起程,出發;離開,離去	離開;出發,起程	可靠的;可信任的	依靠的;依賴的
departure	離開;出發,起程	可靠的;可信任的	依靠的;依賴的	使沮喪
dependable	可靠的;可信任的	依靠的;依賴的	使沮喪	沮喪,意氣消沈
dependent	依靠的;依賴的	使沮喪	沮喪,意氣消沈	應受,該得
depress	使沮喪	沮喪,意氣消沈	應受,該得	極度渴望的
depression	沮喪,意氣消沈	應受,該得	極度渴望的	不管,儘管,任憑
deserve	應受,該得	極度渴望的	不管,儘管,任憑	破壞;毀滅;消滅
desperate	極度渴望的	不管,儘管,任憑	破壞;毀滅;消滅	偵查用的;探測用的
despite	不管,儘管,任憑	破壞;毀滅;消滅	偵查用的;探測用的	堅定;果斷
destruction	破壞;毀滅;消滅	偵查用的;探測用的	堅定;果斷	儀器,裝置
detective	偵查用的;探測用的	堅定;果斷	儀器,裝置	設計;發明
determination	堅定;果斷	儀器,裝置	設計;發明	將...奉獻
device	儀器,裝置	設計;發明	將...奉獻	尿布
devise	設計;發明	將...奉獻	尿布	不同,相異
devote	將...奉獻	尿布	不同,相異	消化
diaper	尿布	不同,相異	消化	數字的
differ	不同,相異	消化	數字的	尊嚴
digestion	消化	數字的	尊嚴	勤勉;勤奮
digital	數字的	尊嚴	勤勉;勤奮	畢業文憑
dignity	尊嚴	勤勉;勤奮	畢業文憑	外交官
diligence	勤勉;勤奮	畢業文憑	外交官	使處於不利地位
diploma	畢業文憑	外交官	使處於不利地位	災害,災難,不幸
diplomat	外交官	使處於不利地位	災害,災難,不幸	懲戒
disadvantage	使處於不利地位	災害,災難,不幸	懲戒	切斷(電話、電源等)
disaster	災害,災難,不幸	懲戒	切斷(電話、電源等)	使洩氣,使沮喪
discipline	懲戒	切斷(電話、電源等)	使洩氣,使沮喪	掩飾,隱瞞
disconnect	切斷(電話、電源等)	使洩氣,使沮喪	掩飾,隱瞞	使作嘔
discourage	使洩氣,使沮喪	掩飾,隱瞞	使作嘔	解散,遣散;解雇;開除
disguise	掩飾,隱瞞	使作嘔	解散,遣散;解雇;開除	使混亂;擾亂
disgust	使作嘔	解散,遣散;解雇;開除	使混亂;擾亂	爭論;爭執
dismiss	解散,遣散;解雇;開除	使混亂;擾亂	爭論;爭執	顯著的
disorder	使混亂;擾亂	爭論;爭執	顯著的	區別;識別
dispute	爭論;爭執	顯著的	區別;識別	卓越的;著名的
