grace	使優美	優美的,雅緻的	親切的;和藹的	畢業典禮
graceful	優美的,雅緻的	親切的;和藹的	畢業典禮	文法
gracious	親切的;和藹的	畢業典禮	文法	文法的;合乎文法的
graduation	畢業典禮	文法	文法的;合乎文法的	葡萄柚
grammar	文法	文法的;合乎文法的	葡萄柚	感謝的,感激的
grammatical	文法的;合乎文法的	葡萄柚	感謝的,感激的	感激之情,感恩,感謝
grapefruit	葡萄柚	感謝的,感激的	感激之情,感恩,感謝	墓穴
grateful	感謝的,感激的	感激之情,感恩,感謝	墓穴	油膩的
gratitude	感激之情,感恩,感謝	墓穴	油膩的	問候,迎接,招呼;賀詞;問候語
grave 	墓穴	油膩的	問候,迎接,招呼;賀詞;問候語	悲痛,悲傷
greasy	油膩的	問候,迎接,招呼;賀詞;問候語	悲痛,悲傷	使悲傷;使苦惱
greeting	問候,迎接,招呼;賀詞;問候語	悲痛,悲傷	使悲傷;使苦惱	磨(碎)
grief	悲痛,悲傷	使悲傷;使苦惱	磨(碎)	保證;擔保
grieve	使悲傷;使苦惱	磨(碎)	保證;擔保	有罪;犯罪;過失
grind	磨(碎)	保證;擔保	有罪;犯罪;過失	有罪的
guarantee	保證;擔保	有罪;犯罪;過失	有罪的	海灣
guilt	有罪;犯罪;過失	有罪的	海灣	習慣性的
guilty	有罪的	海灣	習慣性的	停止;終止
gulf	海灣	習慣性的	停止;終止	書寫;手寫
habitual	習慣性的	停止;終止	書寫;手寫	使變硬
halt	停止;終止	書寫;手寫	使變硬	艱難,困苦
handwriting	書寫;手寫	使變硬	艱難,困苦	金屬器件;硬體
harden	使變硬	艱難,困苦	金屬器件;硬體	口琴
hardship	艱難,困苦	金屬器件;硬體	口琴	和諧;協調
hardware	金屬器件;硬體	口琴	和諧;協調	粗糙的
harmonica 	口琴	和諧;協調	粗糙的	急忙;慌忙;性急
harmony	和諧;協調	粗糙的	急忙;慌忙;性急	催促;加速;趕緊
harsh	粗糙的	急忙;慌忙;性急	催促;加速;趕緊	憎恨,增惡;敵意
haste	急忙;慌忙;性急	催促;加速;趕緊	憎恨,增惡;敵意	頭戴式耳機
hasten	催促;加速;趕緊	憎恨,增惡;敵意	頭戴式耳機	有益於健康的
hatred	憎恨,增惡;敵意	頭戴式耳機	有益於健康的	直昇機
headphone	頭戴式耳機	有益於健康的	直昇機	放牧
healthful	有益於健康的	直昇機	放牧	躊躇,猶豫
helicopter	直昇機	放牧	躊躇,猶豫	非常,很,高度地
herd	放牧	躊躇,猶豫	非常,很,高度地	祖國;家鄉
hesitation	躊躇,猶豫	非常,很,高度地	祖國;家鄉	度蜜月
highly	非常,很,高度地	祖國;家鄉	度蜜月	可尊敬的
homeland	祖國;家鄉	度蜜月	可尊敬的	用鉤鉤住
honeymoon	度蜜月	可尊敬的	用鉤鉤住	抱有希望的
honorable	可尊敬的	用鉤鉤住	抱有希望的	水平線
