misunderstand	誤會;曲解	中等的,適度的	審慎的;適度的	謙遜,虛心
moderate	中等的,適度的	審慎的;適度的	謙遜,虛心	監控;監聽;監測
modest	審慎的;適度的	謙遜,虛心	監控;監聽;監測	每月的
modesty	謙遜,虛心	監控;監聽;監測	每月的	紀念碑,紀念塔,紀念館
monitor	監控;監聽;監測	每月的	紀念碑,紀念塔,紀念館	並且,加之,此外
monthly	每月的	紀念碑,紀念塔,紀念館	並且,加之,此外	一般地,通常
monument	紀念碑,紀念塔,紀念館	並且,加之,此外	一般地,通常	給...動機;刺激
moreover	並且,加之,此外	一般地,通常	給...動機;刺激	刺激;推動
mostly	一般地,通常	給...動機;刺激	刺激;推動	多山的;巨大的
motivate	給...動機;刺激	刺激;推動	多山的;巨大的	刈(草坪等)上的草
motivation	刺激;推動	多山的;巨大的	刈(草坪等)上的草	MTV
mountainous	多山的;巨大的	刈(草坪等)上的草	MTV	多爛泥的;泥濘的
mow	刈(草坪等)上的草	MTV	多爛泥的;泥濘的	複合的;多樣的
MTV/music television	MTV	多爛泥的;泥濘的	複合的;多樣的	謀殺犯,兇手
muddy	多爛泥的;泥濘的	複合的;多樣的	謀殺犯,兇手	私下抱怨,咕噥
multiple	複合的;多樣的	謀殺犯,兇手	私下抱怨,咕噥	小鬍子
murderer	謀殺犯,兇手	私下抱怨,咕噥	小鬍子	相互的;共同的
murmur	私下抱怨,咕噥	小鬍子	相互的;共同的	神祕的;不可思議的
mustache	小鬍子	相互的;共同的	神祕的;不可思議的	即,那就是
mutual	相互的;共同的	神祕的;不可思議的	即,那就是	國籍
mysterious	神祕的;不可思議的	即,那就是	國籍	近視的
namely	即,那就是	國籍	近視的	貧窮的
nationality	國籍	近視的	貧窮的	忽視,忽略
nearsighted	近視的	貧窮的	忽視,忽略	談判,協商
needy	貧窮的	忽視,忽略	談判,協商	然而
neglect	忽視,忽略	談判,協商	然而	惡夢
negotiate	談判,協商	然而	惡夢	胡說;胡鬧
nevertheless/nonetheless	然而	惡夢	胡說;胡鬧	名詞
nightmare	惡夢	胡說;胡鬧	名詞	現今
nonsense	胡說;胡鬧	名詞	現今	原子能的;細胞核的
noun	名詞	現今	原子能的;細胞核的	許多的,很多的
nowadays	現今	原子能的;細胞核的	許多的,很多的	托兒所;苗圃
nuclear	原子能的;細胞核的	許多的,很多的	托兒所;苗圃	尼龍
numerous	許多的,很多的	托兒所;苗圃	尼龍	服從;順從
nursery	托兒所;苗圃	尼龍	服從;順從	服從的,順從的
nylon	尼龍	服從;順從	服從的,順從的	反對;異議
obedience	服從;順從	服從的,順從的	反對;異議	目標
obedient	服從的,順從的	反對;異議	目標	觀察;觀測
objection	反對;異議	目標	觀察;觀測	障礙(物);妨礙
objective	目標	觀察;觀測	障礙(物);妨礙	得到,獲得
