pregnant	懷孕的	介系詞;前置詞	贈送;呈現;介紹,引見	維護;維持;保存;保藏;防腐
preposition	介系詞;前置詞	贈送;呈現;介紹,引見	維護;維持;保存;保藏;防腐	保存,保藏;防腐
presentation	贈送;呈現;介紹,引見	維護;維持;保存;保藏;防腐	保存,保藏;防腐	預防,防止
preservation	維護;維持;保存;保藏;防腐	保存,保藏;防腐	預防,防止	最初的;原始的;基本的
preserve	保存,保藏;防腐	預防,防止	最初的;原始的;基本的	原始的;遠古的;早期的
prevention	預防,防止	最初的;原始的;基本的	原始的;遠古的;早期的	祕密,私下
prime	最初的;原始的;基本的	原始的;遠古的;早期的	祕密,私下	給予...特權
primitive	原始的;遠古的;早期的	祕密,私下	給予...特權	手續，程序
privacy	祕密,私下	給予...特權	手續，程序	進展
privilege	給予...特權	手續，程序	進展	製造;生產
procedure	手續，程序	進展	製造;生產	生產的,生產性的
proceed	進展	製造;生產	生產的,生產性的	職業同行
production	製造;生產	生產的,生產性的	職業同行	職業性的
productive	生產的,生產性的	職業同行	職業性的	教授
profession	職業同行	職業性的	教授	有利的
professional	職業性的	教授	有利的	卓越的,著名的
professor	教授	有利的	卓越的,著名的	有希望的,有前途的
profitable	有利的	卓越的,著名的	有希望的,有前途的	提升,晉級
prominent	卓越的,著名的	有希望的,有前途的	提升,晉級	迅速的
promising	有希望的,有前途的	提升,晉級	迅速的	代名詞
promotion	提升,晉級	迅速的	代名詞	發音;發音法;讀法
prompt	迅速的	代名詞	發音;發音法;讀法	繁榮,昌盛
pronoun	代名詞	發音;發音法;讀法	繁榮,昌盛	興旺,繁榮,昌盛,成功
pronunciation	發音;發音法;讀法	繁榮,昌盛	興旺,繁榮,昌盛,成功	興旺的,繁榮的,昌盛的
prosper	繁榮,昌盛	興旺,繁榮,昌盛,成功	興旺的,繁榮的,昌盛的	蛋白質
prosperity	興旺,繁榮,昌盛,成功	興旺的,繁榮的,昌盛的	蛋白質	抗議,異議
prosperous	興旺的,繁榮的,昌盛的	蛋白質	抗議,異議	諺語,俗語
protein	蛋白質	抗議,異議	諺語,俗語	心理的
protest	抗議,異議	諺語,俗語	心理的	心理學家
proverb	諺語,俗語	心理的	心理學家	心理學
psychological	心理的	心理學家	心理學	出版;發表,宣佈
psychologist	心理學家	心理學	出版;發表,宣佈	名聲
psychology	心理學	出版;發表,宣佈	名聲	出版;發行;刊載
publication	出版;發表,宣佈	名聲	出版;發行;刊載	出版商
publicity	名聲	出版;發行;刊載	出版商	追蹤,追擊
publish	出版;發行;刊載	出版商	追蹤,追擊	顫抖
publisher	出版商	追蹤,追擊	顫抖	被子
pursuit	追蹤,追擊	顫抖	被子	引用;引證;引文;報價
quake	顫抖	被子	引用;引證;引文;報價	發怒,怒斥
quilt	被子	引用;引證;引文;報價	發怒,怒斥	降雨,下雨;降雨量
