classification	分類;分級	將...分類	懸崖,峭壁	使達到頂點(或高潮)
classify	將...分類	懸崖,峭壁	使達到頂點(或高潮)	笨拙的
cliff	懸崖,峭壁	使達到頂點(或高潮)	笨拙的	粗的,粗糙的
climax	使達到頂點(或高潮)	笨拙的	粗的,粗糙的	為...編碼
clumsy	笨拙的	粗的,粗糙的	為...編碼	倒塌
coarse	粗的,粗糙的	為...編碼	倒塌	組合
code	為...編碼	倒塌	組合	喜劇
collapse	倒塌	組合	喜劇	滑稽的
combination	組合	喜劇	滑稽的	指揮官,司令官
comedy	喜劇	滑稽的	指揮官,司令官	評論
comic	滑稽的	指揮官,司令官	評論	商業,貿易,交易
commander	指揮官,司令官	評論	商業,貿易,交易	保證
comment	評論	商業,貿易,交易	保證	溝通
commerce	商業,貿易,交易	保證	溝通	社區
commit	保證	溝通	社區	同伴
communication	溝通	社區	同伴	競爭,角逐
community	社區	同伴	競爭,角逐	競爭的
companion	同伴	競爭,角逐	競爭的	競爭者;對手
competition	競爭,角逐	競爭的	競爭者;對手	使複雜化
competitive	競爭的	競爭者;對手	使複雜化	作(詩,曲等);構(圖)
competitor	競爭者;對手	使複雜化	作(詩,曲等);構(圖)	作曲家
complicate	使複雜化	作(詩,曲等);構(圖)	作曲家	作曲
compose	作(詩,曲等);構(圖)	作曲家	作曲	濃縮;全神貫注
composer	作曲家	作曲	濃縮;全神貫注	專心;濃縮
composition	作曲	濃縮;全神貫注	專心;濃縮	概念,觀念
concentrate	濃縮;全神貫注	專心;濃縮	概念,觀念	闗於
concentration	專心;濃縮	概念,觀念	闗於	具體的
concept	概念,觀念	闗於	具體的	指揮家
concerning	闗於	具體的	指揮家	(正式)會議;討論會,協商會
concrete	具體的	指揮家	(正式)會議;討論會,協商會	坦白,供認,承認
conductor	指揮家	(正式)會議;討論會,協商會	坦白,供認,承認	自信,信心,把握
conference	(正式)會議;討論會,協商會	坦白,供認,承認	自信,信心,把握	限制;使局限
confess	坦白,供認,承認	自信,信心,把握	限制;使局限	困惑;慌亂
confidence	自信,信心,把握	限制;使局限	困惑;慌亂	祝賀;恭禧
confine	限制;使局限	困惑;慌亂	祝賀;恭禧	立法機關;大會
confusion	困惑;慌亂	祝賀;恭禧	立法機關;大會	連接詞;結合;關聯
congratulate	祝賀;恭禧	立法機關;大會	連接詞;結合;關聯	克服;征服
congress	立法機關;大會	連接詞;結合;關聯	克服;征服	良心;道義心
conjunction	連接詞;結合;關聯	克服;征服	良心;道義心	結果,後果
conquer	克服;征服	良心;道義心	結果,後果	隨之發生的
