costume	服裝,裝束	小屋	會議;委員會	櫃枱
cottage	小屋	會議;委員會	櫃枱	英勇的,勇敢的
council	會議;委員會	櫃枱	英勇的,勇敢的	有禮貌的
counter	櫃枱	英勇的,勇敢的	有禮貌的	禮貌
courageous	英勇的,勇敢的	有禮貌的	禮貌	打蛋
courteous	有禮貌的	禮貌	打蛋	工藝,手藝
courtesy	禮貌	打蛋	工藝,手藝	死背
crack	打蛋	工藝,手藝	死背	創造;創作;創立
craft 	工藝,手藝	死背	創造;創作;創立	創造力
cram	死背	創造;創作;創立	創造力	跛子
creation	創造;創作;創立	創造力	跛子	評論家
creativity	創造力	跛子	評論家	緊要的,關鍵性的,危急的
cripple	跛子	評論家	緊要的,關鍵性的,危急的	批評;評論
critic	評論家	緊要的,關鍵性的,危急的	批評;評論	批評;批判;苛求
critical	緊要的,關鍵性的,危急的	批評;評論	批評;批判;苛求	殘酷,殘忍
criticism	批評;評論	批評;批判;苛求	殘酷,殘忍	壓碎,壓壞
criticize	批評;批判;苛求	殘酷,殘忍	壓碎,壓壞	立方體
cruelty	殘酷,殘忍	壓碎,壓壞	立方體	黃瓜,胡瓜
crush	壓碎,壓壞	立方體	黃瓜,胡瓜	給...暗示
cube	立方體	黃瓜,胡瓜	給...暗示	狡猾的,奸詐的
cucumber	黃瓜,胡瓜	給...暗示	狡猾的,奸詐的	好奇心
cue	給...暗示	狡猾的,奸詐的	好奇心	使(頭髮)捲曲
cunning	狡猾的,奸詐的	好奇心	使(頭髮)捲曲	詛咒,咒罵
curiosity	好奇心	使(頭髮)捲曲	詛咒,咒罵	使彎曲;使成曲線,道路轉彎處
curl	使(頭髮)捲曲	詛咒,咒罵	使彎曲;使成曲線,道路轉彎處	坐墊
curse	詛咒,咒罵	使彎曲;使成曲線,道路轉彎處	坐墊	罵...該死,咒罵
curve	使彎曲;使成曲線,道路轉彎處	坐墊	罵...該死,咒罵	有濕氣的;潮濕的
cushion	坐墊	罵...該死,咒罵	有濕氣的;潮濕的	最後限期
damn	罵...該死,咒罵	有濕氣的;潮濕的	最後限期	宣佈,宣告
damp	有濕氣的;潮濕的	最後限期	宣佈,宣告	裝飾,裝潢
deadline	最後限期	宣佈,宣告	裝飾,裝潢	減少
declare	宣佈,宣告	裝飾,裝潢	減少	戰勝,擊敗
decoration	裝飾,裝潢	減少	戰勝,擊敗	防禦;保衛;保護
decrease	減少	戰勝,擊敗	防禦;保衛;保護	防禦,保衛,防護
defeat	戰勝,擊敗	防禦;保衛;保護	防禦,保衛,防護	可防禦的;可辯護的
defend	防禦;保衛;保護	防禦,保衛,防護	可防禦的;可辯護的	防禦的
defense	防禦,保衛,防護	可防禦的;可辯護的	防禦的	明確的,確切的
defensible	可防禦的;可辯護的	防禦的	明確的,確切的	易碎的;嬌貴的
defensive	防禦的	明確的,確切的	易碎的;嬌貴的	使高興
definite	明確的,確切的	易碎的;嬌貴的	使高興	令人愉快的,令人高興的
