hi-fi/high fidelity	高傳真的音響裝置	劫持	發出嘶嘶聲;發出噓聲	(嗓音)嘶啞的
hijack	劫持	發出嘶嘶聲;發出噓聲	(嗓音)嘶啞的	曲棍球
hiss	發出嘶嘶聲;發出噓聲	(嗓音)嘶啞的	曲棍球	同性戀的
hoarse	(嗓音)嘶啞的	曲棍球	同性戀的	按喇叭
hockey	曲棍球	同性戀的	按喇叭	引擎蓋
homosexual	同性戀的	按喇叭	引擎蓋	蹄
honk	按喇叭	引擎蓋	蹄	水平的
hood	引擎蓋	蹄	水平的	人質;抵押品
hoof	蹄	水平的	人質;抵押品	敵方的;懷敵意的
horizontal	水平的	人質;抵押品	敵方的;懷敵意的	(用獵狗等)追獵;緊追
hostage	人質;抵押品	敵方的;懷敵意的	(用獵狗等)追獵;緊追	房屋,住宅
hostile	敵方的;懷敵意的	(用獵狗等)追獵;緊追	房屋,住宅	盤旋;徘徊
hound	(用獵狗等)追獵;緊追	房屋,住宅	盤旋;徘徊	嗥叫;怒吼;大哭;大笑
housing	房屋,住宅	盤旋;徘徊	嗥叫;怒吼;大哭;大笑	猛力投擲
hover	盤旋;徘徊	嗥叫;怒吼;大哭;大笑	猛力投擲	唱聖歌;唱讚美詩
howl	嗥叫;怒吼;大哭;大笑	猛力投擲	唱聖歌;唱讚美詩	白癡;笨蛋
hurl	猛力投擲	唱聖歌;唱讚美詩	白癡;笨蛋	巨大的;廣大的
hymn	唱聖歌;唱讚美詩	白癡;笨蛋	巨大的;廣大的	帝國的
idiot	白癡;笨蛋	巨大的;廣大的	帝國的	徵(稅);加(負擔等)於
immense	巨大的;廣大的	帝國的	徵(稅);加(負擔等)於	衝動;推動力
imperial	帝國的	徵(稅);加(負擔等)於	衝動;推動力	激怒;敬香
impose	徵(稅);加(負擔等)於	衝動;推動力	激怒;敬香	編索引
impulse	衝動;推動力	激怒;敬香	編索引	漠不關心;無關緊要
incense	激怒;敬香	編索引	漠不關心;無關緊要	不感興趣的;中立的;無關緊要的
index	編索引	漠不關心;無關緊要	不感興趣的;中立的;無關緊要的	憤怒的;憤慨的
indifference	漠不關心;無關緊要	不感興趣的;中立的;無關緊要的	憤怒的;憤慨的	必不可少的;必需的
indifferent	不感興趣的;中立的;無關緊要的	憤怒的;憤慨的	必不可少的;必需的	導致;誘導;歸納出
indignant	憤怒的;憤慨的	必不可少的;必需的	導致;誘導;歸納出	沈迷於;滿足(慾望等);縱容
indispensable	必不可少的;必需的	導致;誘導;歸納出	沈迷於;滿足(慾望等);縱容	無限的
induce	導致;誘導;歸納出	沈迷於;滿足(慾望等);縱容	無限的	繼承(傳統,遺產等)
indulge	沈迷於;滿足(慾望等);縱容	無限的	繼承(傳統,遺產等)	新加入的
infinite	無限的	繼承(傳統,遺產等)	新加入的	內地的;內陸的
inherit	繼承(傳統,遺產等)	新加入的	內地的;內陸的	無數的
initiate	新加入的	內地的;內陸的	無數的	訊問;查問;調查
inland	內地的;內陸的	無數的	訊問;查問;調查	創立;設立;開始
innumerable	無數的	訊問;查問;調查	創立;設立;開始	投保;確保
inquire	訊問;查問;調查	創立;設立;開始	投保;確保	專注的;熱切的;堅決要做的
institute	創立;設立;開始	投保;確保	專注的;熱切的;堅決要做的	干涉,干預;擾亂
insure	投保;確保	專注的;熱切的;堅決要做的	干涉,干預;擾亂	內的;內部的
intent	專注的;熱切的;堅決要做的	干涉,干預;擾亂	內的;內部的	解釋;闡明
