nasty	齷齪的;卑鄙的;難處理的	航行於;飛行於;操縱;導航	新聞廣播	一點點地咬
navigate	航行於;飛行於;操縱;導航	新聞廣播	一點點地咬	鍍鎳於
newscast	新聞廣播	一點點地咬	鍍鎳於	夜鶯
nibble	一點點地咬	鍍鎳於	夜鶯	提名;任命
nickel	鍍鎳於	夜鶯	提名;任命	然而
nightingale	夜鶯	提名;任命	然而	非暴力的
nominate	提名;任命	然而	非暴力的	鼻孔
nonetheless	然而	非暴力的	鼻孔	值得注意的;顯著的
nonviolent	非暴力的	鼻孔	值得注意的;顯著的	顯而易見的;顯著的
nostril	鼻孔	值得注意的;顯著的	顯而易見的;顯著的	通知;公佈
notable	值得注意的;顯著的	顯而易見的;顯著的	通知;公佈	概念;想法;打算
noticeable	顯而易見的;顯著的	通知;公佈	概念;想法;打算	新手;初學者
notify	通知;公佈	概念;想法;打算	新手;初學者	任何地方都不
notion	概念;想法;打算	新手;初學者	任何地方都不	(原子)核;細胞核;核心
novice	新手;初學者	任何地方都不	(原子)核;細胞核;核心	裸的;與生俱有的
nowhere	任何地方都不	(原子)核;細胞核;核心	裸的;與生俱有的	䊢
nucleus	(原子)核;細胞核;核心	裸的;與生俱有的	䊢	(沙漠中)的綠洲
nude	裸的;與生俱有的	䊢	(沙漠中)的綠洲	誓言;宣誓
oar	䊢	(沙漠中)的綠洲	誓言;宣誓	燕麥片;燕麥粥
oasis	(沙漠中)的綠洲	誓言;宣誓	燕麥片;燕麥粥	橢圓形的
oath	誓言;宣誓	燕麥片;燕麥粥	橢圓形的	觀察員;奉行者
oatmeal	燕麥片;燕麥粥	橢圓形的	觀察員;奉行者	頑固的;頑強的
oblong	橢圓形的	觀察員;奉行者	頑固的;頑強的	發生;出現;事件
observer	觀察員;奉行者	頑固的;頑強的	發生;出現;事件	章魚
obstinate	頑固的;頑強的	發生;出現;事件	章魚	機會;可能性;投注賠率;不和
occurrence	發生;出現;事件	章魚	機會;可能性;投注賠率;不和	氣味
octopus	章魚	機會;可能性;投注賠率;不和	氣味	橄欖
odds	機會;可能性;投注賠率;不和	氣味	橄欖	對手;敵手,反對者
odor	氣味	橄欖	對手;敵手,反對者	樂觀;樂觀主義
olive	橄欖	對手;敵手,反對者	樂觀;樂觀主義	果樹園;果樹林
opponent	對手;敵手,反對者	樂觀;樂觀主義	果樹園;果樹林	組織者;萬用記事本
optimism	樂觀;樂觀主義	果樹園;果樹林	組織者;萬用記事本	使...朝東;定方位;使熟悉情況
orchard	果樹園;果樹林	組織者;萬用記事本	使...朝東;定方位;使熟悉情況	(珍珠等)光輝奪目的;優質的
organizer	組織者;萬用記事本	使...朝東;定方位;使熟悉情況	(珍珠等)光輝奪目的;優質的	裝飾;美化
orient	使...朝東;定方位;使熟悉情況	(珍珠等)光輝奪目的;優質的	裝飾;美化	孤兒院;孤兒身分
oriental	(珍珠等)光輝奪目的;優質的	裝飾;美化	孤兒院;孤兒身分	駝鳥
ornament	裝飾;美化	孤兒院;孤兒身分	駝鳥	盎司,英兩
orphanage	孤兒院;孤兒身分	駝鳥	盎司,英兩	勝過;超越
ostrich 	駝鳥	盎司,英兩	勝過;超越	外向的
ounce	盎司,英兩	勝過;超越	外向的	生產;使出;輸出
