peg	用木釘釘	穿過;透過;識破;滲透入	察覺;感知;意識到	(鳥)飛落;棲息;(在較高處)暫歇
penetrate	穿過;透過;識破;滲透入	察覺;感知;意識到	(鳥)飛落;棲息;(在較高處)暫歇	演出者;演奏者;表演者
perceive	察覺;感知;意識到	(鳥)飛落;棲息;(在較高處)暫歇	演出者;演奏者;表演者	使有危險;危及
perch	(鳥)飛落;棲息;(在較高處)暫歇	演出者;演奏者;表演者	使有危險;危及	死亡
performer	演出者;演奏者;表演者	使有危險;危及	死亡	可允許的
peril	使有危險;危及	死亡	可允許的	堅持;固執
perish	死亡	可允許的	堅持;固執	全體職員
permissible	可允許的	堅持;固執	全體職員	悲觀;悲觀主義
persist	堅持;固執	全體職員	悲觀;悲觀主義	打電話
personnel	全體職員	悲觀;悲觀主義	打電話	防波堤
pessimism	悲觀;悲觀主義	打電話	防波堤	香客,朝聖者
phone/mobile phone	打電話	防波堤	香客,朝聖者	柱子;棟樑
pier	防波堤	香客,朝聖者	柱子;棟樑	丘疹;面皰
pilgrim	香客,朝聖者	柱子;棟樑	丘疹;面皰	擰
pillar	柱子;棟樑	丘疹;面皰	擰	小便
pimple	丘疹;面皰	擰	小便	用手槍射擊
pinch	擰	小便	用手槍射擊	瘟疫;天災;禍患
piss	小便	用手槍射擊	瘟疫;天災;禍患	大農園;造林地
pistol	用手槍射擊	瘟疫;天災;禍患	大農園;造林地	劇作家
plague	瘟疫;天災;禍患	大農園;造林地	劇作家	請求;懇求
plantation	大農園;造林地	劇作家	請求;懇求	為(案件)辯護;懇求
playwright	劇作家	請求;懇求	為(案件)辯護;懇求	保證給予;許諾;發誓
plea	請求;懇求	為(案件)辯護;懇求	保證給予;許諾;發誓	犁;耕;開(路);破(浪)前進
plead	為(案件)辯護;懇求	保證給予;許諾;發誓	犁;耕;開(路);破(浪)前進	採;拔...的毛;扯
pledge	保證給予;許諾;發誓	犁;耕;開(路);破(浪)前進	採;拔...的毛;扯	投入;將...插入;急降
plow	犁;耕;開(路);破(浪)前進	採;拔...的毛;扯	投入;將...插入;急降	錢包;皮夾子;袖珍本
pluck	採;拔...的毛;扯	投入;將...插入;急降	錢包;皮夾子;袖珍本	詩的;韻文的
plunge	投入;將...插入;急降	錢包;皮夾子;袖珍本	詩的;韻文的	戳
pocketbook	錢包;皮夾子;袖珍本	詩的;韻文的	戳	極地的
poetic	詩的;韻文的	戳	極地的	門廊
poke	戳	極地的	門廊	潛在的,可能的
polar	極地的	門廊	潛在的,可能的	家禽
porch	門廊	潛在的,可能的	家禽	大草原
potential	潛在的,可能的	家禽	大草原	佈道;說教
poultry	家禽	大草原	佈道;說教	謹慎;預防措施
prairie	大草原	佈道;說教	謹慎;預防措施	偏愛;優先(權)
preach	佈道;說教	謹慎;預防措施	偏愛;優先(權)	史前的;舊式的
precaution	謹慎;預防措施	偏愛;優先(權)	史前的;舊式的	勝過;優勝;流行
preference	偏愛;優先(權)	史前的;舊式的	勝過;優勝;流行	試演;試映
prehistoric	史前的;舊式的	勝過;優勝;流行	試演;試映	捕食;掠奪
