prevail	勝過;優勝;流行	試演;試映	捕食;掠奪	無價的;稀世之珍的
preview	試演;試映	捕食;掠奪	無價的;稀世之珍的	刺(穿);扎(穿);使內心極度痛苦
prey	捕食;掠奪	無價的;稀世之珍的	刺(穿);扎(穿);使內心極度痛苦	在前面地
priceless	無價的;稀世之珍的	刺(穿);扎(穿);使內心極度痛苦	在前面地	在先;重點;優先權
prick	刺(穿);扎(穿);使內心極度痛苦	在前面地	在先;重點;優先權	一(長)列;一(長)排;隊伍
prior	在前面地	在先;重點;優先權	一(長)列;一(長)排;隊伍	畫側面像;描出輪廓;寫傳略
priority	在先;重點;優先權	一(長)列;一(長)排;隊伍	畫側面像;描出輪廓;寫傳略	延長;拉長;拖延
procession	一(長)列;一(長)排;隊伍	畫側面像;描出輪廓;寫傳略	延長;拉長;拖延	支撐;維持;架;擱
profile	畫側面像;描出輪廓;寫傳略	延長;拉長;拖延	支撐;維持;架;擱	先知
prolong	延長;拉長;拖延	支撐;維持;架;擱	先知	使成比例;使平衡;分攤
prop	支撐;維持;架;擱	先知	使成比例;使平衡;分攤	前景
prophet	先知	使成比例;使平衡;分攤	前景	省
proportion	使成比例;使平衡;分攤	前景	省	修剪（樹枝）
prospect	前景	省	修剪（樹枝）	宣傳
province	省	修剪（樹枝）	宣傳	喘氣
prune 	修剪（樹枝）	宣傳	喘氣	跳動
publicize	宣傳	喘氣	跳動	買,購買
puff	喘氣	跳動	買,購買	金字塔
pulse	跳動	買,購買	金字塔	(鴨)呱呱叫
purchase	買,購買	金字塔	(鴨)呱呱叫	使具有資格
pyramid	金字塔	(鴨)呱呱叫	使具有資格	品脫
quack	(鴨)呱呱叫	使具有資格	品脫	追求;探索
qualify	使具有資格	品脫	追求;探索	顫抖;抖動(翅膀等)
quart	品脫	追求;探索	顫抖;抖動(翅膀等)	架子
quest	追求;探索	顫抖;抖動(翅膀等)	架子	小蘿蔔
quiver	顫抖;抖動(翅膀等)	架子	小蘿蔔	半徑
rack 	架子	小蘿蔔	半徑	破爛的;不整潔的;參差不齊的
radish	小蘿蔔	半徑	破爛的;不整潔的;參差不齊的	鐵軌
radius	半徑	破爛的;不整潔的;參差不齊的	鐵軌	召集;團結;重新振作  集會
ragged	破爛的;不整潔的;參差不齊的	鐵軌	召集;團結;重新振作  集會	經營牧場(或農場)
rail	鐵軌	召集;團結;重新振作  集會	經營牧場(或農場)	無賴;淘氣鬼
rally	召集;團結;重新振作  集會	經營牧場(或農場)	無賴;淘氣鬼	比率;比例
ranch	經營牧場(或農場)	無賴;淘氣鬼	比率;比例	使發出咯咯聲;使驚惶失措
rascal	無賴;淘氣鬼	比率;比例	使發出咯咯聲;使驚惶失措	王國;國土;領土
ratio	比率;比例	使發出咯咯聲;使驚惶失措	王國;國土;領土	收割;收穫
rattle	使發出咯咯聲;使驚惶失措	王國;國土;領土	收割;收穫	舉起
realm	王國;國土;領土	收割;收穫	舉起	不在乎的;魯莽的
reap	收割;收穫	舉起	不在乎的;魯莽的	認為;把...看作;覺得;測量
rear	舉起	不在乎的;魯莽的	認為;把...看作;覺得;測量	推薦,介紹
reckless	不在乎的;魯莽的	認為;把...看作;覺得;測量	推薦,介紹	礁;暗礁
