applaud	向...鼓掌;稱讚	鼓掌歡迎,喝采	易於...的	建築師
applause	鼓掌歡迎,喝采	易於...的	建築師	建築學
apt	易於...的	建築師	建築學	體育場;競技場
architect	建築師	建築學	體育場;競技場	穿盔甲(或加裝甲);提供防禦
architecture	建築學	體育場;競技場	穿盔甲(或加裝甲);提供防禦	登高;上升;
arena	體育場;競技場	穿盔甲(或加裝甲);提供防禦	登高;上升;	驢子;笨蛋;太自負的人
armor	穿盔甲(或加裝甲);提供防禦	登高;上升;	驢子;笨蛋;太自負的人	攻擊;抨擊;施暴
ascend	登高;上升;	驢子;笨蛋;太自負的人	攻擊;抨擊;施暴	財產,資產
ass	驢子;笨蛋;太自負的人	攻擊;抨擊;施暴	財產,資產	使吃驚,使驚訝
assault	攻擊;抨擊;施暴	財產,資產	使吃驚,使驚訝	迷路的;離開正道的
asset	財產,資產	使吃驚,使驚訝	迷路的;離開正道的	太空人,宇航員
astonish	使吃驚,使驚訝	迷路的;離開正道的	太空人,宇航員	天文學家
astray	迷路的;離開正道的	太空人,宇航員	天文學家	天文學
astronaut	太空人,宇航員	天文學家	天文學	出席
astronomer	天文學家	天文學	出席	會堂;禮堂
astronomy	天文學	出席	會堂;禮堂	輔助者;助動詞
attendance	出席	會堂;禮堂	輔助者;助動詞	使敬畏;使畏怯
auditorium	會堂;禮堂	輔助者;助動詞	使敬畏;使畏怯	片刻
auxiliary	輔助者;助動詞	使敬畏;使畏怯	片刻	單身漢
awe	使敬畏;使畏怯	片刻	單身漢	脊柱;支柱;骨幹
awhile	片刻	單身漢	脊柱;支柱;骨幹	徽章;證章
bachelor	單身漢	脊柱;支柱;骨幹	徽章;證章	投票;投票表決
backbone	脊柱;支柱;骨幹	徽章;證章	投票;投票表決	禁止;取締
badge	徽章;證章	投票;投票表決	禁止;取締	強盜;土匪
ballot	投票;投票表決	禁止;取締	強盜;土匪	旗幟;橫幅;大標題
ban	禁止;取締	強盜;土匪	旗幟;橫幅;大標題	宴請
bandit	強盜;土匪	旗幟;橫幅;大標題	宴請	野蠻人
banner	旗幟;橫幅;大標題	宴請	野蠻人	理髮店
banquet	宴請	野蠻人	理髮店	赤腳的
barbarian	野蠻人	理髮店	赤腳的	貧瘠的;荒蕪的;不妊的
barbershop	理髮店	赤腳的	貧瘠的;荒蕪的;不妊的	低沈的;男低音的
barefoot	赤腳的	貧瘠的;荒蕪的;不妊的	低沈的;男低音的	一批;一群;一爐;一團
barren	貧瘠的;荒蕪的;不妊的	低沈的;男低音的	一批;一群;一爐;一團	打擊手
bass	低沈的;男低音的	一批;一群;一爐;一團	打擊手	(中東的)市場;商店街;義賣
batch	一批;一群;一爐;一團	打擊手	(中東的)市場;商店街;義賣	美化
batter	打擊手	(中東的)市場;商店街;義賣	美化	事先
bazaar	(中東的)市場;商店街;義賣	美化	事先	代表
beautify	美化	事先	代表	財產;攜帶物品
beforehand	事先	代表	財產;攜帶物品	心愛的
behalf	代表	財產;攜帶物品	心愛的	有益的;有利的
