reckon	認為;把...看作;覺得;測量	推薦,介紹	礁;暗礁	捲;繞
recommend	推薦,介紹	礁;暗礁	捲;繞	裁判
reef	礁;暗礁	捲;繞	裁判	躲避;避難;避難所
reel	捲;繞	裁判	躲避;避難;避難所	駁斥;反駁
referee/umpire	裁判	躲避;避難;避難所	駁斥;反駁	君臨;統治
refuge/sanctuary	躲避;避難;避難所	駁斥;反駁	君臨;統治	欣喜;慶祝
refute	駁斥;反駁	君臨;統治	欣喜;慶祝	遺物;遺風;遺跡
reign	君臨;統治	欣喜;慶祝	遺物;遺風;遺跡	提醒者,提醒物;催函
rejoice 	欣喜;慶祝	遺物;遺風;遺跡	提醒者,提醒物;催函	償還;報答
relic	遺物;遺風;遺跡	提醒者,提醒物;催函	償還;報答	繁殖;複製
reminder	提醒者,提醒物;催函	償還;報答	繁殖;複製	爬行動物(似)的
repay	償還;報答	繁殖;複製	爬行動物(似)的	共和政體的
reproduce	繁殖;複製	爬行動物(似)的	共和政體的	憤慨;怨恨
reptile	爬行動物(似)的	共和政體的	憤慨;怨恨	居住;駐在
republican	共和政體的	憤慨;怨恨	居住;駐在	住所;住宅
resent	憤慨;怨恨	居住;駐在	住所;住宅	居住的,定居的;常駐的
reside	居住;駐在	住所;住宅	居住的,定居的;常駐的	訴諸;憑藉
residence	住所;住宅	居住的,定居的;常駐的	訴諸;憑藉	抑制;約束
resident	居住的,定居的;常駐的	訴諸;憑藉	抑制;約束	重新開始;繼續;恢復
resort	訴諸;憑藉	抑制;約束	重新開始;繼續;恢復	反駁;回嘴
restrain	抑制;約束	重新開始;繼續;恢復	反駁;回嘴	顛倒的;相反的;反向的
resume	重新開始;繼續;恢復	反駁;回嘴	顛倒的;相反的;反向的	復甦;恢復生機;使甦醒
retort	反駁;回嘴	顛倒的;相反的;反向的	復甦;恢復生機;使甦醒	反叛;起義;使反感
reverse	顛倒的;相反的;反向的	復甦;恢復生機;使甦醒	反叛;起義;使反感	旋轉;自轉;以...為中心
revive	復甦;恢復生機;使甦醒	反叛;起義;使反感	旋轉;自轉;以...為中心	犀牛
revolt	反叛;起義;使反感	旋轉;自轉;以...為中心	犀牛	豬肋骨
revolve	旋轉;自轉;以...為中心	犀牛	豬肋骨	山脊
rhinoceros/rhino	犀牛	豬肋骨	山脊	可笑的,荒謬的;滑稽的
rib	豬肋骨	山脊	可笑的,荒謬的;滑稽的	洗劫,劫掠
ridge	山脊	可笑的,荒謬的;滑稽的	洗劫,劫掠	堅硬的
ridiculous	可笑的,荒謬的;滑稽的	洗劫,劫掠	堅硬的	邊緣
rifle	洗劫,劫掠	堅硬的	邊緣	撕;扯
rigid	堅硬的	邊緣	撕;扯	起漣漪;(頭髮等)呈波狀
rim	邊緣	撕;扯	起漣漪;(頭髮等)呈波狀	競爭
rip	撕;扯	起漣漪;(頭髮等)呈波狀	競爭	漫步
ripple	起漣漪;(頭髮等)呈波狀	競爭	漫步	知更鳥
rival	競爭	漫步	知更鳥	強健的;健全的;結實的
roam	漫步	知更鳥	強健的;健全的;結實的	棒,桿,竿
robin	知更鳥	強健的;健全的;結實的	棒,桿,竿	垃圾;廢物
robust	強健的;健全的;結實的	棒,桿,竿	垃圾;廢物	高低不平的;粗糙的;粗線條的
