rod	棒,桿,竿	垃圾;廢物	高低不平的;粗糙的;粗線條的	(雷等)隆隆響;(車輛)轆轆行駛
rubbish	垃圾;廢物	高低不平的;粗糙的;粗線條的	(雷等)隆隆響;(車輛)轆轆行駛	(樹葉;紙等)沙沙作響;使沙沙作響
rugged	高低不平的;粗糙的;粗線條的	(雷等)隆隆響;(車輛)轆轆行駛	(樹葉;紙等)沙沙作響;使沙沙作響	神聖的
rumble	(雷等)隆隆響;(車輛)轆轆行駛	(樹葉;紙等)沙沙作響;使沙沙作響	神聖的	腳踏車坐墊
rustle	(樹葉;紙等)沙沙作響;使沙沙作響	神聖的	腳踏車坐墊	使成為聖徒
sacred	神聖的	腳踏車坐墊	使成為聖徒	鮭魚
saddle	腳踏車坐墊	使成為聖徒	鮭魚	向...行禮;向...致敬
saint	使成為聖徒	鮭魚	向...行禮;向...致敬	涼鞋
salmon	鮭魚	向...行禮;向...致敬	涼鞋	野性的
salute	向...行禮;向...致敬	涼鞋	野性的	細看;審視
sandal	涼鞋	野性的	細看;審視	醜聞;醜事
savage	野性的	細看;審視	醜聞;醜事	結疤
scan	細看;審視	醜聞;醜事	結疤	聞
scandal	醜聞;醜事	結疤	聞	策劃,密謀
scar	結疤	聞	策劃,密謀	輕蔑;藐視
scent	聞	策劃,密謀	輕蔑;藐視	攀爬;雜亂蔓延;爭奪
scheme	策劃,密謀	輕蔑;藐視	攀爬;雜亂蔓延;爭奪	將...作為廢物;將...拆毀
scorn	輕蔑;藐視	攀爬;雜亂蔓延;爭奪	將...作為廢物;將...拆毀	刮
scramble	攀爬;雜亂蔓延;爭奪	將...作為廢物;將...拆毀	刮	使成卷形;用渦卷飾裝飾
scrap	將...作為廢物;將...拆毀	刮	使成卷形;用渦卷飾裝飾	雕刻家
scrape	刮	使成卷形;用渦卷飾裝飾	雕刻家	安全的牢固的
scroll	使成卷形;用渦卷飾裝飾	雕刻家	安全的牢固的	分割;切成片
sculptor	雕刻家	安全的牢固的	分割;切成片	感覺;知覺;轟動
secure	安全的牢固的	分割;切成片	感覺;知覺;轟動	敏感性;感受性
segment	分割;切成片	感覺;知覺;轟動	敏感性;感受性	感情;情緒;感傷
sensation	感覺;知覺;轟動	敏感性;感受性	感情;情緒;感傷	中士;警官
sensitivity	敏感性;感受性	感情;情緒;感傷	中士;警官	連續;系列
sentiment	感情;情緒;感傷	中士;警官	連續;系列	佈道;說教
sergeant	中士;警官	連續;系列	佈道;說教	侍者;伺服器
series	連續;系列	佈道;說教	侍者;伺服器	安裝;設定;鑲嵌;背景
sermon	佈道;說教	侍者;伺服器	安裝;設定;鑲嵌;背景	破爛的;破舊的;邋遢的
server	侍者;伺服器	安裝;設定;鑲嵌;背景	破爛的;破舊的;邋遢的	削尖,磨快
setting	安裝;設定;鑲嵌;背景	破爛的;破舊的;邋遢的	削尖,磨快	粉碎;砸碎
shabby	破爛的;破舊的;邋遢的	削尖,磨快	粉碎;砸碎	警長
sharpen	削尖,磨快	粉碎;砸碎	警長	保護;庇護;掩蓋
shatter	粉碎;砸碎	警長	保護;庇護;掩蓋	發抖;打顫
sheriff	警長	保護;庇護;掩蓋	發抖;打顫	缺少,不足,匱乏
shield	保護;庇護;掩蓋	發抖;打顫	缺少,不足,匱乏	缺點,短處
shiver	發抖;打顫	缺少,不足,匱乏	缺點,短處	推;撞;亂塞
shortage	缺少,不足,匱乏	缺點,短處	推;撞;亂塞	切成條狀;用碎紙機撕毀(文件)
