shortcoming	缺點,短處	推;撞;亂塞	切成條狀;用碎紙機撕毀(文件)	尖叫;發出尖聲
shove	推;撞;亂塞	切成條狀;用碎紙機撕毀(文件)	尖叫;發出尖聲	聖壇;神殿
shred	切成條狀;用碎紙機撕毀(文件)	尖叫;發出尖聲	聖壇;神殿	矮樹;灌木
shriek	尖叫;發出尖聲	聖壇;神殿	矮樹;灌木	發抖;戰慄
shrine	聖壇;神殿	矮樹;灌木	發抖;戰慄	為...裝遮板(或快門等);關(店)
shrub	矮樹;灌木	發抖;戰慄	為...裝遮板(或快門等);關(店)	蠶
shudder	發抖;戰慄	為...裝遮板(或快門等);關(店)	蠶	煨;燉;(危機等)即將爆發
shutter	為...裝遮板(或快門等);關(店)	蠶	煨;燉;(危機等)即將爆發	骨骼;骨瘦如柴的人(或動物);概略
silkworm	蠶	煨;燉;(危機等)即將爆發	骨骼;骨瘦如柴的人(或動物);概略	頭骨
simmer	煨;燉;(危機等)即將爆發	骨骼;骨瘦如柴的人(或動物);概略	頭骨	猛地關上;砰地放下;打成滿貫
skeleton	骨骼;骨瘦如柴的人(或動物);概略	頭骨	猛地關上;砰地放下;打成滿貫	摑...耳光;侮辱
skull	頭骨	猛地關上;砰地放下;打成滿貫	摑...耳光;侮辱	屠宰;屠殺
slam	猛地關上;砰地放下;打成滿貫	摑...耳光;侮辱	屠宰;屠殺	殺死;殺害
slap	摑...耳光;侮辱	屠宰;屠殺	殺死;殺害	懶散的;草率的
slaughter	屠宰;屠殺	殺死;殺害	懶散的;草率的	(沈重地)倒下;(經濟)衰落
slay	殺死;殺害	懶散的;草率的	(沈重地)倒下;(經濟)衰落	狡猾的
sloppy	懶散的;草率的	(沈重地)倒下;(經濟)衰落	狡猾的	粉碎;瓦解;殺球
slump	(沈重地)倒下;(經濟)衰落	狡猾的	粉碎;瓦解;殺球	吠;咆哮;纏結
sly	狡猾的	粉碎;瓦解;殺球	吠;咆哮;纏結	奪走;抓住
smash	粉碎;瓦解;殺球	吠;咆哮;纏結	奪走;抓住	偷偷地走,溜
snarl	吠;咆哮;纏結	奪走;抓住	偷偷地走,溜	運動鞋
snatch	奪走;抓住	偷偷地走,溜	運動鞋	嗅;用力吸;抽鼻涕
sneak	偷偷地走,溜	運動鞋	嗅;用力吸;抽鼻涕	打鼾
sneaker	運動鞋	嗅;用力吸;抽鼻涕	打鼾	噴鼻息;輕蔑(或憤怒)地哼
sniff	嗅;用力吸;抽鼻涕	打鼾	噴鼻息;輕蔑(或憤怒)地哼	浸泡;使濕透
snore	打鼾	噴鼻息;輕蔑(或憤怒)地哼	浸泡;使濕透	清醒的;沒喝醉的;嚴肅的
snort	噴鼻息;輕蔑(或憤怒)地哼	浸泡;使濕透	清醒的;沒喝醉的;嚴肅的	使變柔軟
soak	浸泡;使濕透	清醒的;沒喝醉的;嚴肅的	使變柔軟	唯一
sober	清醒的;沒喝醉的;嚴肅的	使變柔軟	唯一	嚴肅的;莊嚴的;鄭重的
soften	使變柔軟	唯一	嚴肅的;莊嚴的;鄭重的	單獨的;唯一的;隱居的
sole 	唯一	嚴肅的;莊嚴的;鄭重的	單獨的;唯一的;隱居的	單獨地; 單獨表演;單飛
solemn	嚴肅的;莊嚴的;鄭重的	單獨的;唯一的;隱居的	單獨地; 單獨表演;單飛	最高統治者的;具有獨立主權的
solitary	單獨的;唯一的;隱居的	單獨地; 單獨表演;單飛	最高統治者的;具有獨立主權的	播(種)
solo	單獨地; 單獨表演;單飛	最高統治者的;具有獨立主權的	播(種)	太空船,航天器
sovereign	最高統治者的;具有獨立主權的	播(種)	太空船,航天器	專家;專科醫生
sow	播(種)	太空船,航天器	專家;專科醫生	樣品;標本
spacecraft/spaceship	太空船,航天器	專家;專科醫生	樣品;標本	景象;奇觀;壯觀
specialist	專家;專科醫生	樣品;標本	景象;奇觀;壯觀	旁觀者;目擊者
specimen	樣品;標本	景象;奇觀;壯觀	旁觀者;目擊者	脊柱;書脊;骨氣
spectacle	景象;奇觀;壯觀	旁觀者;目擊者	脊柱;書脊;骨氣	光輝;壯觀;輝煌
