tyrant	暴君	仲裁	大學生;大學肄業生	劃線於...之下;強調
umpire	仲裁	大學生;大學肄業生	劃線於...之下;強調	下面的;底層的
undergraduate	大學生;大學肄業生	劃線於...之下;強調	下面的;底層的	可理解的;能懂的
underline	劃線於...之下;強調	下面的;底層的	可理解的;能懂的	毫無疑問地;肯定地
underneath	下面的;底層的	可理解的;能懂的	毫無疑問地;肯定地	使...合乎時代;更新
understandable	可理解的;能懂的	毫無疑問地;肯定地	使...合乎時代;更新	直立的
undoubtedly	毫無疑問地;肯定地	使...合乎時代;更新	直立的	向上的;升高的
update	使...合乎時代;更新	直立的	向上的;升高的	向上的;升高的
upright	直立的	向上的;升高的	向上的;升高的	發出(聲音等);說;講
upward	向上的;升高的	向上的;升高的	發出(聲音等);說;講	空;空白;空房
upward	向上的;升高的	發出(聲音等);說;講	空;空白;空房	吸塵
utter	發出(聲音等);說;講	空;空白;空房	吸塵	模糊不清的
vacancy	空;空白;空房	吸塵	模糊不清的	自負;虛榮;梳妝臺
vacuum	吸塵	模糊不清的	自負;虛榮;梳妝臺	水汽
vague	模糊不清的	自負;虛榮;梳妝臺	水汽	植被;草木
vanity	自負;虛榮;梳妝臺	水汽	植被;草木	用帷幕分隔;掩飾;戴面紗
vapor	水汽	植被;草木	用帷幕分隔;掩飾;戴面紗	血管
vegetation	植被;草木	用帷幕分隔;掩飾;戴面紗	血管	天鵝絨製的;柔軟光滑的
veil	用帷幕分隔;掩飾;戴面紗	血管	天鵝絨製的;柔軟光滑的	冒險;大膽行事
vein	血管	天鵝絨製的;柔軟光滑的	冒險;大膽行事	言辭上的;動詞的
velvet	天鵝絨製的;柔軟光滑的	冒險;大膽行事	言辭上的;動詞的	相對於～
venture	冒險;大膽行事	言辭上的;動詞的	相對於～	垂直的
verbal	言辭上的;動詞的	相對於～	垂直的	否決;反對
versus	相對於～	垂直的	否決;反對	經由
vertical	垂直的	否決;反對	經由	顫動;振動;震動
veto	否決;反對	經由	顫動;振動;震動	將(節目)錄到帶子上
via 	經由	顫動;振動;震動	將(節目)錄到帶子上	觀看者;觀眾
vibrate	顫動;振動;震動	將(節目)錄到帶子上	觀看者;觀眾	vigor
videotape	將(節目)錄到帶子上	觀看者;觀眾	vigor	精力充沛的
viewer	觀看者;觀眾	vigor	精力充沛的	壞人;反派角色
vigor	vigor	精力充沛的	壞人;反派角色	藤;藤蔓;葡萄樹
vigorous	精力充沛的	壞人;反派角色	藤;藤蔓;葡萄樹	小提琴手
villain	壞人;反派角色	藤;藤蔓;葡萄樹	小提琴手	簽證
vine	藤;藤蔓;葡萄樹	小提琴手	簽證	發誓要;鄭重宣告
violinist	小提琴手	簽證	發誓要;鄭重宣告	涉水而行;艱難地前進
visa	簽證	發誓要;鄭重宣告	涉水而行;艱難地前進	慟哭;(警笛等)尖嘯;哀訴
vow	發誓要;鄭重宣告	涉水而行;艱難地前進	慟哭;(警笛等)尖嘯;哀訴	病房
wade	涉水而行;艱難地前進	慟哭;(警笛等)尖嘯;哀訴	病房	(特定種類的)陶器;貨物
wail	慟哭;(警笛等)尖嘯;哀訴	病房	(特定種類的)陶器;貨物	把...存入倉庫
ward 	病房	(特定種類的)陶器;貨物	把...存入倉庫	武士;戰士;勇士
