broth	清湯	兄弟關係	瀏覽	使受瘀傷;碰傷(水果);挫傷(感情)
brotherhood	兄弟關係	瀏覽	使受瘀傷;碰傷(水果);挫傷(感情)	膨脹;凸起;裝滿
browse	瀏覽	使受瘀傷;碰傷(水果);挫傷(感情)	膨脹;凸起;裝滿	體積;容積;大塊;大多數
bruise	使受瘀傷;碰傷(水果);挫傷(感情)	膨脹;凸起;裝滿	體積;容積;大塊;大多數	脅迫;欺侮
bulge 	膨脹;凸起;裝滿	體積;容積;大塊;大多數	脅迫;欺侮	事務處
bulk	體積;容積;大塊;大多數	脅迫;欺侮	事務處	屠宰(牲口)
bully	脅迫;欺侮	事務處	屠宰(牲口)	仙人掌
bureau	事務處	屠宰(牲口)	仙人掌	小牛
butcher	屠宰(牲口)	仙人掌	小牛	書法
cactus	仙人掌	小牛	書法	運河;河渠
calf 	小牛	書法	運河;河渠	開砲;砲轟
calligraphy	書法	運河;河渠	開砲;砲轟	碳;複寫紙
canal	運河;河渠	開砲;砲轟	碳;複寫紙	硬紙板;卡紙板
cannon	開砲;砲轟	碳;複寫紙	硬紙板;卡紙板	無憂無慮的;輕鬆愉快的
carbon	碳;複寫紙	硬紙板;卡紙板	無憂無慮的;輕鬆愉快的	照顧者;管理人
cardboard	硬紙板;卡紙板	無憂無慮的;輕鬆愉快的	照顧者;管理人	康乃韾
carefree	無憂無慮的;輕鬆愉快的	照顧者;管理人	康乃韾	狂歡節;嘉年華會
caretaker	照顧者;管理人	康乃韾	狂歡節;嘉年華會	鯉魚
carnation	康乃韾	狂歡節;嘉年華會	鯉魚	紙盒;紙板箱
carnival	狂歡節;嘉年華會	鯉魚	紙盒;紙板箱	種類;類別
carp	鯉魚	紙盒;紙板箱	種類;類別	大教堂
carton	紙盒;紙板箱	種類;類別	大教堂	警告;使小心
category	種類;類別	大教堂	警告;使小心	謹慎的
cathedral	大教堂	警告;使小心	謹慎的	名人;名流
caution	警告;使小心	謹慎的	名人;名流	芹菜
cautious	謹慎的	名人;名流	芹菜	手機,大哥大
celebrity	名人;名流	芹菜	手機,大哥大	地窖
celery	芹菜	手機,大哥大	地窖	大提琴
cell-phone/cellphone/cellular	手機,大哥大	地窖	大提琴	攝氏
cellar	地窖	大提琴	攝氏	儀式,典禮
cello	大提琴	攝氏	儀式,典禮	發證書給;用證書批准
Celsius/Centigrade/	攝氏	儀式,典禮	發證書給;用證書批准	主席(沒有性別歧視的字眼)
ceremony	儀式,典禮	發證書給;用證書批准	主席(沒有性別歧視的字眼)	女主席;女議長
certificate	發證書給;用證書批准	主席(沒有性別歧視的字眼)	女主席;女議長	反覆地唱(或說);吟誦
chairperson/chair/chairman/	主席(沒有性別歧視的字眼)	女主席;女議長	反覆地唱(或說);吟誦	喋喋不休;吱吱叫
chairwoman	女主席;女議長	反覆地唱(或說);吟誦	喋喋不休;吱吱叫	辦理投宿(或登機)手續;報到
chant	反覆地唱(或說);吟誦	喋喋不休;吱吱叫	辦理投宿(或登機)手續;報到	檢查;調查;付款退租;下班離開
chatter	喋喋不休;吱吱叫	辦理投宿(或登機)手續;報到	檢查;調查;付款退租;下班離開	支票簿
check-in	辦理投宿(或登機)手續;報到	檢查;調查;付款退租;下班離開	支票簿	檢查;體檢
check-out	檢查;調查;付款退租;下班離開	支票簿	檢查;體檢	(餐館等的)主廚;大師傅
