checkbook	支票簿	檢查;體檢	(餐館等的)主廚;大師傅	化學家
checkup	檢查;體檢	(餐館等的)主廚;大師傅	化學家	栗子
chef	(餐館等的)主廚;大師傅	化學家	栗子	紅番椒
chemist	化學家	栗子	紅番椒	黑猩猩
chestnut	栗子	紅番椒	黑猩猩	(教堂的)唱詩班;合唱團
chili	紅番椒	黑猩猩	(教堂的)唱詩班;合唱團	(樂器的)弦;心弦;弦桿;和音
chimpanzee	黑猩猩	(教堂的)唱詩班;合唱團	(樂器的)弦;心弦;弦桿;和音	圓胖的
choir	(教堂的)唱詩班;合唱團	(樂器的)弦;心弦;弦桿;和音	圓胖的	環道;一圈;巡迴路線;電路
chord	(樂器的)弦;心弦;弦桿;和音	圓胖的	環道;一圈;巡迴路線;電路	引用;舉出;表揚
chubby	圓胖的	環道;一圈;巡迴路線;電路	引用;舉出;表揚	城市的;市民的
circuit	環道;一圈;巡迴路線;電路	引用;舉出;表揚	城市的;市民的	蛤蜊
cite	引用;舉出;表揚	城市的;市民的	蛤蜊	氏族;部落;家族
civic	城市的;市民的	蛤蜊	氏族;部落;家族	扣住;鉤住;緊抱;緊握
clam	蛤蜊	氏族;部落;家族	扣住;鉤住;緊抱;緊握	(文件的)條款;子句
clan	氏族;部落;家族	扣住;鉤住;緊抱;緊握	(文件的)條款;子句	黏著;依附;墨守
clasp	扣住;鉤住;緊抱;緊握	(文件的)條款;子句	黏著;依附;墨守	順時針方向的;右旋的
clause	(文件的)條款;子句	黏著;依附;墨守	順時針方向的;右旋的	苜蓿
cling	黏著;依附;墨守	順時針方向的;右旋的	苜蓿	使成簇(或群);叢生
clockwise	順時針方向的;右旋的	苜蓿	使成簇(或群);叢生	抓住
clover	苜蓿	使成簇(或群);叢生	抓住	海岸線
cluster	使成簇(或群);叢生	抓住	海岸線	緊緊包住;使(自己)孤立
clutch	抓住	海岸線	緊緊包住;使(自己)孤立	捲;盤繞;捲成圈
coastline	海岸線	緊緊包住;使(自己)孤立	捲;盤繞;捲成圈	同事,同僚
cocoon	緊緊包住;使(自己)孤立	捲;盤繞;捲成圈	同事,同僚	陸軍上校
coil	捲;盤繞;捲成圈	同事,同僚	陸軍上校	殖民地的;殖民的
colleague	同事,同僚	陸軍上校	殖民地的;殖民的	戰鬥;搏鬥;反對
colonel	陸軍上校	殖民地的;殖民的	戰鬥;搏鬥;反對	喜劇演員
colonial	殖民地的;殖民的	戰鬥;搏鬥;反對	喜劇演員	彗星
combat	戰鬥;搏鬥;反對	喜劇演員	彗星	評論家,名嘴
comedian	喜劇演員	彗星	評論家,名嘴	委任,委託
comet	彗星	評論家,名嘴	委任,委託	商品;日用品
commentator	評論家,名嘴	委任,委託	商品;日用品	平凡的
commission	委任,委託	商品;日用品	平凡的	共產主義
commodity	商品;日用品	平凡的	共產主義	共產主義的
commonplace	平凡的	共產主義	共產主義的	通勤
communism	共產主義	共產主義的	通勤	通勤者
communist	共產主義的	通勤	通勤者	簡短的
commute	通勤	通勤者	簡短的	圖謀
commuter	通勤者	簡短的	圖謀	憐憫;同情
compact	簡短的	圖謀	憐憫;同情	有同情心的;慈悲的
