brute	畜生的;畜生般的;殘忍的	扣住;垮掉;讓步	體積大的;笨重的	官僚
buckle	扣住;垮掉;讓步	體積大的;笨重的	官僚	埋葬;葬禮;墓地
bulky	體積大的;笨重的	官僚	埋葬;葬禮;墓地	(電腦)位元組
bureaucracy	官僚	埋葬;葬禮;墓地	(電腦)位元組	咖啡因
burial	埋葬;葬禮;墓地	(電腦)位元組	咖啡因	鈣
byte	(電腦)位元組	咖啡因	鈣	用帆布覆蓋;用帆布裝備
caffeine	咖啡因	鈣	用帆布覆蓋;用帆布裝備	能力;性能
calcium	鈣	用帆布覆蓋;用帆布裝備	能力;性能	小盒;膠囊;太空艙
canvas	用帆布覆蓋;用帆布裝備	能力;性能	小盒;膠囊;太空艙	加標題於
capability	能力;性能	小盒;膠囊;太空艙	加標題於	被俘的;被迷住的
capsule	小盒;膠囊;太空艙	加標題於	被俘的;被迷住的	囚禁;束縛
caption	加標題於	被俘的;被迷住的	囚禁;束縛	碳水化合物;含醣食物
captive	被俘的;被迷住的	囚禁;束縛	碳水化合物;含醣食物	愛撫;撫摸;寵愛
captivity	囚禁;束縛	碳水化合物;含醣食物	愛撫;撫摸;寵愛	(耶誕)頌歌;讚美詩
carbohydrate	碳水化合物;含醣食物	愛撫;撫摸;寵愛	(耶誕)頌歌;讚美詩	收銀員
caress	愛撫;撫摸;寵愛	(耶誕)頌歌;讚美詩	收銀員	傷亡人員
carol	(耶誕)頌歌;讚美詩	收銀員	傷亡人員	大災難;慘敗
cashier	收銀員	傷亡人員	大災難;慘敗	承辦宴席;迎合
casualty	傷亡人員	大災難;慘敗	承辦宴席;迎合	騎兵;騎兵部隊
catastrophe	大災難;慘敗	承辦宴席;迎合	騎兵;騎兵部隊	孔洞
cater	承辦宴席;迎合	騎兵;騎兵部隊	孔洞	公墓;墓地
cavalry	騎兵;騎兵部隊	孔洞	公墓;墓地	確實;必然
cavity	孔洞	公墓;墓地	確實;必然	證明;保證;發證書(或執照等)
cemetery	公墓;墓地	確實;必然	證明;保證;發證書(或執照等)	香檳
certainty	確實;必然	證明;保證;發證書(或執照等)	香檳	混亂;雜亂的一團
certify	證明;保證;發證書(或執照等)	香檳	混亂;雜亂的一團	描繪...的特性;具有...的特徵
champagne	香檳	混亂;雜亂的一團	描繪...的特性;具有...的特徵	木炭
chaos	混亂;雜亂的一團	描繪...的特性;具有...的特徵	木炭	駕馭(戰車或馬車)
characterize	描繪...的特性;具有...的特徵	木炭	駕馭(戰車或馬車)	慈善的;寬容的
charcoal	木炭	駕馭(戰車或馬車)	慈善的;寬容的	膽固醇
chariot	駕馭(戰車或馬車)	慈善的;寬容的	膽固醇	(病)慢性的;(人)久病的;長期的
charitable	慈善的;寬容的	膽固醇	(病)慢性的;(人)久病的;長期的	咯咯地笑;暗自發笑
cholesterol	膽固醇	(病)慢性的;(人)久病的;長期的	咯咯地笑;暗自發笑	(肉、木材等的)大塊;厚片
chronic	(病)慢性的;(人)久病的;長期的	咯咯地笑;暗自發笑	(肉、木材等的)大塊;厚片	使文明,使開化
chuckle	咯咯地笑;暗自發笑	(肉、木材等的)大塊;厚片	使文明,使開化	鉗緊;夾住;強行實施;取締
chunk	(肉、木材等的)大塊;厚片	使文明,使開化	鉗緊;夾住;強行實施;取締	(思想、文體等的)清楚;明晰
civilize	使文明,使開化	鉗緊;夾住;強行實施;取締	(思想、文體等的)清楚;明晰	清洗;淨化
clamp	鉗緊;夾住;強行實施;取締	(思想、文體等的)清楚;明晰	清洗;淨化	清掃;出空;清倉大拍賣
clarity	(思想、文體等的)清楚;明晰	清洗;淨化	清掃;出空;清倉大拍賣	緊握
cleanse	清洗;淨化	清掃;出空;清倉大拍賣	緊握	臨床的;診所的
