clearance	清掃;出空;清倉大拍賣	緊握	臨床的;診所的	複製
clench	緊握	臨床的;診所的	複製	關閉
clinical	臨床的;診所的	複製	關閉	棺材;靈柩
clone	複製	關閉	棺材;靈柩	一致的;條理清楚的;連貫的
closure	關閉	棺材;靈柩	一致的;條理清楚的;連貫的	同時發生;巧合;一致
coffin	棺材;靈柩	一致的;條理清楚的;連貫的	同時發生;巧合;一致	巧合
coherent	一致的;條理清楚的;連貫的	同時發生;巧合;一致	巧合	集體的;共同的
coincide	同時發生;巧合;一致	巧合	集體的;共同的	收集者;收藏家
coincidence	巧合	集體的;共同的	收集者;收藏家	相撞;衝突;抵觸
collective	集體的;共同的	收集者;收藏家	相撞;衝突;抵觸	相撞;衝突;抵觸
collector	收集者;收藏家	相撞;衝突;抵觸	相撞;衝突;抵觸	口語的;會話的
collide	相撞;衝突;抵觸	相撞;衝突;抵觸	口語的;會話的	專欄作家
collision	相撞;衝突;抵觸	口語的;會話的	專欄作家	慶祝;紀念
colloquial	口語的;會話的	專欄作家	慶祝;紀念	開始
columnist	專欄作家	慶祝;紀念	開始	評論;註釋
commemorate	慶祝;紀念	開始	評論;註釋	保證
commence	開始	評論;註釋	保證	交際的
commentary	評論;註釋	保證	交際的	友誼
commitment	保證	交際的	友誼	可比較的;比得上的
communicative	交際的	友誼	可比較的;比得上的	比較的;相對的
companionship	友誼	可比較的;比得上的	比較的;相對的	相容的
comparable	可比較的;比得上的	比較的;相對的	相容的	補償;賠償;酬報
comparative	比較的;相對的	相容的	補償;賠償;酬報	補償;賠償
compatible	相容的	補償;賠償;酬報	補償;賠償	能力;勝任;稱職
compensate	補償;賠償;酬報	補償;賠償	能力;勝任;稱職	有能力的;能幹的;能勝任的
compensation	補償;賠償	能力;勝任;稱職	有能力的;能幹的;能勝任的	匯編;收集(資料等);編譯(程式)
competence	能力;勝任;稱職	有能力的;能幹的;能勝任的	匯編;收集(資料等);編譯(程式)	補充;補足;與...相配
competent	有能力的;能幹的;能勝任的	匯編;收集(資料等);編譯(程式)	補充;補足;與...相配	膚色
compile	匯編;收集(資料等);編譯(程式)	補充;補足;與...相配	膚色	複雜(性);錯綜(性)
complement	補充;補足;與...相配	膚色	複雜(性);錯綜(性)	複雜(化);併發症;(新出現的)困難
complexion	膚色	複雜(性);錯綜(性)	複雜(化);併發症;(新出現的)困難	組成的;構成的
complexity	複雜(性);錯綜(性)	複雜(化);併發症;(新出現的)困難	組成的;構成的	綜合的
complication	複雜(化);併發症;(新出現的)困難	組成的;構成的	綜合的	包括;由...組成
component	組成的;構成的	綜合的	包括;由...組成	(勉強)承認;讓步;承認失敗
comprehensive	綜合的	包括;由...組成	(勉強)承認;讓步;承認失敗	自滿
comprise	包括;由...組成	(勉強)承認;讓步;承認失敗	自滿	概念;創始
concede	(勉強)承認;讓步;承認失敗	自滿	概念;創始	讓步;讓予物
conceit	自滿	概念;創始	讓步;讓予物	簡短的
conception	概念;創始	讓步;讓予物	簡短的	濃縮;縮短;凝結
concession	讓步;讓予物	簡短的	濃縮;縮短;凝結	授予(學位等);給予;協商
