assistant	助手	生物;有機體	發言人	女發言人
organism	生物;有機體	發言人	女發言人	縮寫
spokesperson/spokesman/	發言人	女發言人	縮寫	縮寫
spokeswoman	女發言人	縮寫	縮寫	不正常的
abbreviate	縮寫	縮寫	不正常的	土著的;土著居民的
abbreviation	縮寫	不正常的	土著的;土著居民的	土著居民
abnormal	不正常的	土著的;土著居民的	土著居民	富足
aboriginal	土著的;土著居民的	土著居民	富足	心不在焉的
aborigine	土著居民	富足	心不在焉的	抽象
abound	富足	心不在焉的	抽象	一致;符合
absentminded	心不在焉的	抽象	豐富;充足	濫用;虐待
abstraction	抽象	豐富;充足	濫用;虐待	加快;增長
abundance	豐富;充足	濫用;虐待	加快;增長	加速;促進
abuse	濫用;虐待	加快;增長	加速;促進	可接近的，可利用的
accelerate	加快;增長	加速;促進	可接近的，可利用的	附件
acceleration	加速;促進	可接近的，可利用的	附件	能容納;能提供...膳宿;給...方便
accessible	可接近的，可利用的	附件	能容納;能提供...膳宿;給...方便	適應;方便設施;住處
accessory	附件	能容納;能提供...膳宿;給...方便	適應;方便設施;住處	一致;符合
accommodate	能容納;能提供...膳宿;給...方便	適應;方便設施;住處	一致;符合	一致;和諧;符合
accommodation	適應;方便設施;住處	一致;符合	一致;和諧;符合	照著;相應地
accord	一致;符合	一致;和諧;符合	照著;相應地	應負責任的;可說明的
accordance	一致;和諧;符合	照著;相應地	應負責任的;可說明的	會計;會計學
accordingly	照著;相應地	應負責任的;可說明的	會計;會計學	累積;積聚
accountable	應負責任的;可說明的	會計;會計學	累積;積聚	累積;積聚
accounting	會計;會計學	累積;積聚	累積;積聚	指控;指責
accumulate	累積;積聚	累積;積聚	指控;指責	收購;取得
accumulation	累積;積聚	指控;指責	收購;取得	激進主義份子;行動主義者
accusation	指控;指責	收購;取得	激進主義份子;行動主義者	尖銳的
acquisition	收購;取得	激進主義份子;行動主義者	尖銳的	適應;改寫
activist	激進主義份子;行動主義者	尖銳的	適應;改寫	使沈溺;使成癮
acute	尖銳的	適應;改寫	使沈溺;使成癮	沈溺;上癮
adaptation	適應;改寫	使沈溺;使成癮	沈溺;上癮	管理;給予;執行
addict	使沈溺;使成癮	沈溺;上癮	管理;給予;執行	管理;經營;管理部門
addiction	沈溺;上癮	管理;給予;執行	管理;經營;管理部門	管理的;行政的
administer/administrate	管理;給予;執行	管理;經營;管理部門	管理的;行政的	管理人;行政官員
administration	管理;經營;管理部門	管理的;行政的	管理人;行政官員	擁護;提倡
administrative	管理的;行政的	管理人;行政官員	擁護;提倡	充滿深情的;溫柔親切的
administrator	管理人;行政官員	擁護;提倡	充滿深情的;溫柔親切的	斷言;申明;堅稱
advocate	擁護;提倡	充滿深情的;溫柔親切的	斷言;申明;堅稱	侵略;侵犯行為
affectionate	充滿深情的;溫柔親切的	斷言;申明;堅稱	侵略;侵犯行為	含酒精的
