humanitarian	人道主義的;博愛的	羞辱;使丟臉	彎腰	跨(欄);克服(困難)
humiliate	羞辱;使丟臉	彎腰	跨(欄);克服(困難)	衛生;衛生學;保健法
hunch	彎腰	跨(欄);克服(困難)	衛生;衛生學;保健法	偽善;虛偽
hurdle	跨(欄);克服(困難)	衛生;衛生學;保健法	偽善;虛偽	偽善者;偽君子
hygiene	衛生;衛生學;保健法	偽善;虛偽	偽善者;偽君子	歇斯底里的;極可笑的
hypocrisy	偽善;虛偽	偽善者;偽君子	歇斯底里的;極可笑的	照亮;用燈裝飾;啟發
hypocrite	偽善者;偽君子	歇斯底里的;極可笑的	照亮;用燈裝飾;啟發	錯覺;假象;幻想
hysterical	歇斯底里的;極可笑的	照亮;用燈裝飾;啟發	錯覺;假象;幻想	免疫的;免於...的
illuminate	照亮;用燈裝飾;啟發	錯覺;假象;幻想	免疫的;免於...的	必要的;命令式的;祈使法的
illusion	錯覺;假象;幻想	免疫的;免於...的	必要的;命令式的;祈使法的	履行;實施;執行
immune	免疫的;免於...的	必要的;命令式的;祈使法的	履行;實施;執行	含意;言外之意;暗示
imperative	必要的;命令式的;祈使法的	履行;實施;執行	含意;言外之意;暗示	不言明的;含蓄的
implement	履行;實施;執行	含意;言外之意;暗示	不言明的;含蓄的	壯觀的;氣勢宏偉的;莊嚴的
implication	含意;言外之意;暗示	不言明的;含蓄的	壯觀的;氣勢宏偉的;莊嚴的	監禁;束縛
implicit	不言明的;含蓄的	壯觀的;氣勢宏偉的;莊嚴的	監禁;束縛	刺激的;鼓勵的,獎勵的
imposing	壯觀的;氣勢宏偉的;莊嚴的	監禁;束縛	刺激的;鼓勵的,獎勵的	易發生的;附帶的
imprison	監禁;束縛	刺激的;鼓勵的,獎勵的	易發生的;附帶的	傾斜;屈身;有意
incentive	刺激的;鼓勵的,獎勵的	易發生的;附帶的	傾斜;屈身;有意	包含的;包括在內的
incidental	易發生的;附帶的	傾斜;屈身;有意	包含的;包括在內的	憤怒;憤慨;義憤
incline	傾斜;屈身;有意	包含的;包括在內的	憤怒;憤慨;義憤	不可避免的
inclusive	包含的;包括在內的	憤怒;憤慨;義憤	不可避免的	傳染的;有感染力的
indignation	憤怒;憤慨;義憤	不可避免的	傳染的;有感染力的	推斷,推論
inevitable	不可避免的	傳染的;有感染力的	推斷,推論	推論,推斷
infectious	傳染的;有感染力的	推斷,推論	推論,推斷	心靈手巧的;足智多謀的
infer	推斷,推論	推論,推斷	心靈手巧的;足智多謀的	心靈手巧;獨創性;足智多謀
inference	推論,推斷	心靈手巧的;足智多謀的	心靈手巧;獨創性;足智多謀	居住於;棲息於
ingenious	心靈手巧的;足智多謀的	心靈手巧;獨創性;足智多謀	居住於;棲息於	居民,居住者
ingenuity	心靈手巧;獨創性;足智多謀	居住於;棲息於	居民,居住者	固有的;與生俱來的
inhabit	居住於;棲息於	居民,居住者	固有的;與生俱來的	開始的;初步的;創始的
inhabitant	居民,居住者	固有的;與生俱來的	開始的;初步的;創始的	注射(藥液等)
inherent	固有的;與生俱來的	開始的;初步的;創始的	注射(藥液等)	注射
initiative	開始的;初步的;創始的	注射(藥液等)	注射	非正義;不公正
inject	注射(藥液等)	注射	非正義;不公正	革新;創新;新事物
injection	注射	非正義;不公正	革新;創新;新事物	創新的
injustice	非正義;不公正	革新;創新;新事物	創新的	詢問,打聽;質詢
innovation	革新;創新;新事物	創新的	詢問,打聽;質詢	洞察力;洞悉
innovative	創新的	詢問,打聽;質詢	洞察力;洞悉	堅持
inquiry	詢問,打聽;質詢	洞察力;洞悉	堅持	設施;安裝
insight	洞察力;洞悉	堅持	設施;安裝	安置
insistence	堅持	設施;安裝	安置	機構
