stature	身高;高度	汽船	刺激;激勵;使興奮;促使	刺激;興奮;激勵
steamer	汽船	刺激;激勵;使興奮;促使	刺激;興奮;激勵	刺激;刺激品;興奮劑
stimulate	刺激;激勵;使興奮;促使	刺激;興奮;激勵	刺激;刺激品;興奮劑	給(商店)辦貨;貯存
stimulation	刺激;興奮;激勵	刺激;刺激品;興奮劑	給(商店)辦貨;貯存	勒死;扼住;悶住
stimulus	刺激;刺激品;興奮劑	給(商店)辦貨;貯存	勒死;扼住;悶住	戰略的
stock	給(商店)辦貨;貯存	勒死;扼住;悶住	戰略的	表演絕技;妨礙
strangle	勒死;扼住;悶住	戰略的	表演絕技;妨礙	主觀的;個人的;主詞的
strategic	戰略的	表演絕技;妨礙	主觀的;個人的;主詞的	下級的;次要的;從屬的
stunt	表演絕技;妨礙	主觀的;個人的;主詞的	下級的;次要的;從屬的	訂閱;認捐;簽名
subjective	主觀的;個人的;主詞的	下級的;次要的;從屬的	訂閱;認捐;簽名	訂閱費;會費;捐款;署名
subordinate	下級的;次要的;從屬的	訂閱;認捐;簽名	訂閱費;會費;捐款;署名	接著發生的
subscribe	訂閱;認捐;簽名	訂閱費;會費;捐款;署名	接著發生的	代替;代替物
subscription	訂閱費;會費;捐款;署名	接著發生的	代替;代替物	微妙的;難捉摸的
subsequent	接著發生的	代替;代替物	微妙的;難捉摸的	郊區的
substitution	代替;代替物	微妙的;難捉摸的	郊區的	連續;一連串;繼承權
subtle	微妙的;難捉摸的	郊區的	連續;一連串;繼承權	連續的;後繼的;繼承的
suburban	郊區的	連續;一連串;繼承權	連續的;後繼的;繼承的	繼任者;繼承人
succession	連續;一連串;繼承權	連續的;後繼的;繼承的	繼任者;繼承人	使窒息;扼制
successive	連續的;後繼的;繼承的	繼任者;繼承人	使窒息;扼制	套房;系列
successor	繼任者;繼承人	使窒息;扼制	套房;系列	宏偉的;華麗的; 上乘的,一流的
suffocate	使窒息;扼制	套房;系列	宏偉的;華麗的; 上乘的,一流的	上級
suite	套房;系列	宏偉的;華麗的; 上乘的,一流的	上級	超音波的;超音速的
superb	宏偉的;華麗的; 上乘的,一流的	上級	超音波的;超音速的	迷信的
superiority	上級	超音波的;超音速的	迷信的	管理;監督
supersonic	超音波的;超音速的	迷信的	管理;監督	增補;為...補編附錄
superstitious	迷信的	管理;監督	增補;為...補編附錄	勝過;大於;多於
supervision	管理;監督	增補;為...補編附錄	勝過;大於;多於	過剩的;剩餘的
supplement	增補;為...補編附錄	勝過;大於;多於	過剩的;剩餘的	掛慮;懸疑;暫時停止
surpass	勝過;大於;多於	過剩的;剩餘的	掛慮;懸疑;暫時停止	暫停;中止;停職
surplus	過剩的;剩餘的	掛慮;懸疑;暫時停止	暫停;中止;停職	交換;以...作交換
suspense	掛慮;懸疑;暫時停止	暫停;中止;停職	交換;以...作交換	象徵的;符號的
suspension	暫停;中止;停職	交換;以...作交換	象徵的;符號的	象徵,標誌
swap	交換;以...作交換	象徵的;符號的	象徵,標誌	對稱(性)
symbolic	象徵的;符號的	象徵,標誌	對稱(性)	症狀,徵候
symbolize	象徵,標誌	對稱(性)	症狀,徵候	同義字;同物異名
symmetry	對稱(性)	症狀,徵候	同義字;同物異名	合成的
symptom	症狀,徵候	同義字;同物異名	合成的	老練;機智;得體
synonym	同義字;同物異名	合成的	老練;機智;得體	戰術;策略;手法
synthetic	合成的	老練;機智;得體	戰術;策略;手法	關稅;稅率
tact	老練;機智;得體	戰術;策略;手法	關稅;稅率	冗長乏味的;使人厭煩的
