tremor	震顫;顫抖	擅自進入;侵入	扣扳機開(槍);發射;觸發	勝利的;得意洋洋的
trespass	擅自進入;侵入	扣扳機開(槍);發射;觸發	勝利的;得意洋洋的	瑣細的
trigger	扣扳機開(槍);發射;觸發	勝利的;得意洋洋的	瑣細的	戰利品
triumphant	勝利的;得意洋洋的	瑣細的	戰利品	熱帶
trivial	瑣細的	戰利品	熱帶	逃學的
trophy	戰利品	熱帶	逃學的	停戰
tropic	熱帶	逃學的	停戰	結核病
truant	逃學的	停戰	結核病	腫瘤
truce	停戰	結核病	腫瘤	騷動
tuberculosis	結核病	腫瘤	騷動	薄暮
tumor	腫瘤	騷動	薄暮	暴政
turmoil	騷動	薄暮	暴政	潰瘍
twilight	薄暮	暴政	潰瘍	最後的
tyranny	暴政	潰瘍	最後的	全體一致的
ulcer	潰瘍	最後的	全體一致的	揭露
ultimate	最後的	全體一致的	揭露	低估
unanimous	全體一致的	揭露	低估	經歷;接受(治療、檢查等)
uncover	揭露	低估	經歷;接受(治療、檢查等)	侵蝕...的基礎;暗中破壞
underestimate	低估	經歷;接受(治療、檢查等)	侵蝕...的基礎;暗中破壞	著手做;進行
undergo	經歷;接受(治療、檢查等)	侵蝕...的基礎;暗中破壞	著手做;進行	解開;脫去(衣服等);取消
undermine	侵蝕...的基礎;暗中破壞	著手做;進行	解開;脫去(衣服等);取消	失業;失業狀態
undertake	著手做;進行	解開;脫去(衣服等);取消	失業;失業狀態	展開;呈現
undo	解開;脫去(衣服等);取消	失業;失業狀態	展開;呈現	統一;聯合;使一致
unemployment	失業;失業狀態	展開;呈現	統一;聯合;使一致	開鎖;開啟
unfold	展開;呈現	統一;聯合;使一致	開鎖;開啟	打開包裹(或行李等)
unify	統一;聯合;使一致	開鎖;開啟	打開包裹(或行李等)	養育;教養
unlock	開鎖;開啟	打開包裹(或行李等)	養育;教養	上坡; 使升級
unpack	打開包裹(或行李等)	養育;教養	上坡; 使升級	舉起;支撐;維護
upbringing	養育;教養	上坡; 使升級	舉起;支撐;維護	鈾
upgrade	上坡; 使升級	舉起;支撐;維護	鈾	緊急;迫切;急事
uphold	舉起;支撐;維護	鈾	緊急;迫切;急事	尿
uranium	鈾	緊急;迫切;急事	尿	引領;迎接;當引座員
urgency	緊急;迫切;急事	尿	引領;迎接;當引座員	器皿;用具
urine	尿	引領;迎接;當引座員	器皿;用具	效用;公用事業
usher	引領;迎接;當引座員	器皿;用具	效用;公用事業	利用
utensil	器皿;用具	效用;公用事業	利用	最大的;最遠的;極度的
utility	效用;公用事業	利用	最大的;最遠的;極度的	疫苗
utilize	利用	最大的;最遠的;極度的	疫苗	勇敢的;英勇的
utmost	最大的;最遠的;極度的	疫苗	勇敢的;英勇的	有根據的;有效的
vaccine	疫苗	勇敢的;英勇的	有根據的;有效的	確實;有效性
