concise	簡短的	濃縮;縮短;凝結	授予(學位等);給予;協商	祕密的;機密的
condense	濃縮;縮短;凝結	授予(學位等);給予;協商	祕密的;機密的	遵照;符合;使一致
confer	授予(學位等);給予;協商	祕密的;機密的	遵照;符合;使一致	對抗
confidential	祕密的;機密的	遵照;符合;使一致	對抗	美國眾議院議員
conform	遵照;符合;使一致	對抗	美國眾議院議員	征服;克服;佔領
confrontation	對抗	美國眾議院議員	征服;克服;佔領	憑良心的;誠實的;認真的
congressman/congresswoman	美國眾議院議員	征服;克服;佔領	憑良心的;誠實的;認真的	一致;合意;輿論
conquest	征服;克服;佔領	憑良心的;誠實的;認真的	一致;合意;輿論	保存;(對自然資源的)保護
conscientious	憑良心的;誠實的;認真的	一致;合意;輿論	保存;(對自然資源的)保護	安慰;慰藉
consensus	一致;合意;輿論	保存;(對自然資源的)保護	安慰;慰藉	陰謀;謀叛;共謀
conservation	保存;(對自然資源的)保護	安慰;慰藉	陰謀;謀叛;共謀	構成(全體)的
consolation	安慰;慰藉	陰謀;謀叛;共謀	構成(全體)的	諮詢;商議
conspiracy	陰謀;謀叛;共謀	構成(全體)的	諮詢;商議	消耗;用盡;消耗量
constituent	構成(全體)的	諮詢;商議	消耗;用盡;消耗量	凝視;沈思;冥想
consultation	諮詢;商議	消耗;用盡;消耗量	凝視;沈思;冥想	參加競賽者;角逐者
consumption	消耗;用盡;消耗量	凝視;沈思;冥想	參加競賽者;角逐者	承包商;立契約者
contemplation	凝視;沈思;冥想	參加競賽者;角逐者	承包商;立契約者	否定(陳述等);反駁;與...矛盾
contestant	參加競賽者;角逐者	承包商;立契約者	否定(陳述等);反駁;與...矛盾	矛盾;否認;反駁
contractor	承包商;立契約者	否定(陳述等);反駁;與...矛盾	矛盾;否認;反駁	有爭議的;好議論的
contradict	否定(陳述等);反駁;與...矛盾	矛盾;否認;反駁	有爭議的;好議論的	爭論;爭議
contradiction	矛盾;否認;反駁	有爭議的;好議論的	爭論;爭議	定罪;證明有罪;確信
controversial	有爭議的;好議論的	爭論;爭議	定罪;證明有罪;確信	同等重要的;座標的;對等的
controversy	爭論;爭議	定罪;證明有罪;確信	同等重要的;座標的;對等的	熱忱的;衷心的
conviction	定罪;證明有罪;確信	同等重要的;座標的;對等的	熱忱的;衷心的	核心
coordinate	同等重要的;座標的;對等的	熱忱的;衷心的	核心	法人(組織)的;團體的;共同的
cordial	熱忱的;衷心的	核心	法人(組織)的;團體的;共同的	兵團;部隊;團
core	核心	法人(組織)的;團體的;共同的	兵團;部隊;團	屍體;殘骸
corporate	法人(組織)的;團體的;共同的	兵團;部隊;團	屍體;殘骸	通信者;通訊記者
corps	兵團;部隊;團	屍體;殘骸	通信者;通訊記者	墮落;腐化;貪污;賄賂
corpse	屍體;殘骸	通信者;通訊記者	墮落;腐化;貪污;賄賂	化妝用的
correspondent	通信者;通訊記者	墮落;腐化;貪污;賄賂	化妝用的	化妝品
corruption	墮落;腐化;貪污;賄賂	化妝用的	化妝品	世界性的;國際性的
cosmetic	化妝用的	化妝品	世界性的;國際性的	對應的人(或物)
cosmetics	化妝品	世界性的;國際性的	對應的人(或物)	覆蓋範圍;保險項目;新聞報導
cosmopolitan	世界性的;國際性的	對應的人(或物)	覆蓋範圍;保險項目;新聞報導	垂涎;貪圖
counterpart	對應的人(或物)	覆蓋範圍;保險項目;新聞報導	垂涎;貪圖	約束
coverage	覆蓋範圍;保險項目;新聞報導	垂涎;貪圖	約束	可信性;確實性
covet	垂涎;貪圖	約束	可信性;確實性	可信的;可靠的
cramp	約束	可信性;確實性	可信的;可靠的	(判斷、批評的)標準;尺度
credibility	可信性;確實性	可信的;可靠的	(判斷、批評的)標準;尺度	使彎曲
