displace	迫使離開;取代;免職	使不高興;得罪	可任意處理的;用完即丟棄的	處理;(自由)處置權
displease	使不高興;得罪	可任意處理的;用完即丟棄的	處理;(自由)處置權	漠視
disposable	可任意處理的;用完即丟棄的	處理;(自由)處置權	漠視	意見不同的
disposal	處理;(自由)處置權	漠視	意見不同的	融解
disregard	漠視	意見不同的	融解	勸阻
dissident	意見不同的	融解	勸阻	扭曲;曲解;變形
dissolve	融解	勸阻	扭曲;曲解;變形	轉移(目標);使分心
dissuade	勸阻	扭曲;曲解;變形	轉移(目標);使分心	分心;注意力分散
distort	扭曲;曲解;變形	轉移(目標);使分心	分心;注意力分散	不信任;懷疑
distract	轉移(目標);使分心	分心;注意力分散	不信任;懷疑	擾亂;打擾
distraction	分心;注意力分散	不信任;懷疑	擾亂;打擾	互異的;多變化的
distrust	不信任;懷疑	擾亂;打擾	互異的;多變化的	使多樣化
disturbance	擾亂;打擾	互異的;多變化的	使多樣化	轉向;轉移;分散注意力
diverse	互異的;多變化的	使多樣化	轉向;轉移;分散注意力	差異;多樣性
diversify	使多樣化	轉向;轉移;分散注意力	差異;多樣性	轉向;改道;使分心
diversion	轉向;轉移;分散注意力	差異;多樣性	轉向;改道;使分心	教義;信條
diversity	差異;多樣性	轉向;改道;使分心	教義;信條	文件的;(電影、電視等)記錄的
divert	轉向;改道;使分心	教義;信條	文件的;(電影、電視等)記錄的	成圓頂狀
doctrine	教義;信條	文件的;(電影、電視等)記錄的	成圓頂狀	捐獻,捐贈
documentary	文件的;(電影、電視等)記錄的	成圓頂狀	捐獻,捐贈	捐獻;捐款
dome	成圓頂狀	捐獻,捐贈	捐獻;捐款	贈送人;捐贈者
donate	捐獻,捐贈	捐獻;捐款	贈送人;捐贈者	判決
donation	捐獻;捐款	贈送人;捐贈者	判決	(藥的)劑量;服法
donor	贈送人;捐贈者	判決	(藥的)劑量;服法	激烈的;極端的
doom	判決	(藥的)劑量;服法	激烈的;極端的	缺點;不利條件;障礙
dosage	(藥的)劑量;服法	激烈的;極端的	缺點;不利條件;障礙	慘淡的;沈悶的
drastic	激烈的;極端的	缺點;不利條件;障礙	慘淡的;沈悶的	下毛毛雨
drawback	缺點;不利條件;障礙	慘淡的;沈悶的	下毛毛雨	旱災
dreary	慘淡的;沈悶的	下毛毛雨	旱災	雙的;雙倍的;雙重的
drizzle	下毛毛雨	旱災	雙的;雙倍的;雙重的	半信半疑的
drought	旱災	雙的;雙倍的;雙重的	半信半疑的	用炸藥爆破;炸毀
dual	雙的;雙倍的;雙重的	半信半疑的	用炸藥爆破;炸毀	退潮;衰退
dubious	半信半疑的	用炸藥爆破;炸毀	退潮;衰退	(人、行為等)古怪的
dynamite	用炸藥爆破;炸毀	退潮;衰退	(人、行為等)古怪的	生態學;生態
ebb	退潮;衰退	(人、行為等)古怪的	生態學;生態	狂喜;入迷
eccentric	(人、行為等)古怪的	生態學;生態	狂喜;入迷	可食的,食用的
ecology	生態學;生態	狂喜;入迷	可食的,食用的	社論的
ecstasy	狂喜;入迷	可食的,食用的	社論的	電子
edible	可食的,食用的	社論的	電子	有資格當選的;合格的
editorial	社論的	電子	有資格當選的;合格的	精英的
