配分 (はいぶん)	distribution	consideration	dullness	revival 
配慮 (はいりょ)	consideration	dullness	revival 	goods
不振 (ふしん)	dullness	revival 	goods	separation
復活 (ふっかつ)	revival 	goods	separation	split
物資 (ぶっし)	goods	separation	split	change
分離 (ぶんり)	separation	split	change	repayment
分裂 (ぶんれつ)	split	change	repayment	court 
変動 (へんどう)	change	repayment	court 	violence
返済 (へんさい)	repayment	court 	violence	beginning
法廷 (ほうてい)	court 	violence	beginning	original method or procedure 
暴力 (ぼうりょく)	violence	beginning	original method or procedure 	real name
冒頭 (ぼうとう)	beginning	original method or procedure 	real name	register of names
本格 (ほんかく)	original method or procedure 	real name	register of names	demand for
本名 (ほんみょう)	real name	register of names	demand for	control
名簿 (めいぼ)	register of names	demand for	control	legislation
要望 (ようぼう)	demand for	control	legislation	frame
抑制 (よくせい)	control	legislation	frame	counter for small animals 
立法 (りっぽう)	legislation	frame	counter for small animals 	real condition
枠 (わく)	frame	counter for small animals 	real condition	exclusive use
匹 (ひき)	counter for small animals 	real condition	exclusive use	every day
実情 (じつじょう)	real condition	exclusive use	every day	application
専用 (せんよう)	exclusive use	every day	application	acknowledgement
日々 (ひび)	every day	application	acknowledgement	republican
申し込み (もうしこみ)	application	acknowledgement	republican	evil
了承 (りょうしょう)	acknowledgement	republican	evil	treatment
共和 (きょうわ)	republican	evil	treatment	intention
悪 (あく)	evil	treatment	intention	switching over to
扱い (あつかい)	treatment	intention	switching over to	manufacturing
意図 (いと)	intention	switching over to	manufacturing	scattering
移行 (いこう)	switching over to	manufacturing	scattering	decision
加工 (かこう)	manufacturing	scattering	decision	reform
拡散 (かくさん)	scattering	decision	reform	advice
確定 (かくてい)	decision	reform	advice	nursing
革新 (かくしん)	reform	advice	nursing	orbit
勧告 (かんこく)	advice	nursing	orbit	forgery
看護 (かんご)	nursing	orbit	forgery	sacrifice
軌道 (きどう)	orbit	forgery	sacrifice	script
偽造 (ぎぞう)	forgery	sacrifice	script	communism 
犠牲 (ぎせい)	sacrifice	script	communism 	firm
脚本 (きゃくほん)	script	communism 	firm	formation
