上司 (じょうし)	one's superior	colour	route	just
色彩 (しきさい)	colour	route	just	occasion
進路 (しんろ)	route	just	occasion	preceding
正当 (せいとう)	just	occasion	preceding	establishment
節 (せつ)	occasion	preceding	establishment	steering
先行 (せんこう)	preceding	establishment	steering	treatment
創立 (そうりつ)	establishment	steering	treatment	bold
操縦 (そうじゅう)	steering	treatment	bold	intellectual
待遇 (たいぐう)	treatment	bold	intellectual	neutrality
大胆 (だいたん)	bold	intellectual	neutrality	arbitration
知的 (ちてき)	intellectual	neutrality	arbitration	confrontation 
中立 (ちゅうりつ)	neutrality	arbitration	confrontation 	exile
調停 (ちょうてい)	arbitration	confrontation 	exile	cooperation
直面 (ちょくめん)	confrontation 	exile	cooperation	attendance 
追放 (ついほう)	exile	cooperation	attendance 	debate
提携 (ていけい)	cooperation	attendance 	debate	to be based on
登校 (とうこう)	attendance 	debate	to be based on	motive
討議 (とうぎ)	debate	to be based on	motive	agreement
踏まえる (ふまえる)	to be based on	motive	agreement	feature 
動機 (どうき)	motive	agreement	feature 	dictatorship
同意 (どうい)	agreement	feature 	dictatorship	monopoly
特集 (とくしゅう)	feature 	dictatorship	monopoly	breaking through
独裁 (どくさい)	dictatorship	monopoly	breaking through	defeat
独占 (どくせん)	monopoly	breaking through	defeat	lung
突破 (とっぱ)	breaking through	defeat	lung	departure
敗戦 (はいせん)	defeat	lung	departure	prospering
肺 (はい)	lung	departure	prospering	criticism
発 (はつ)	departure	prospering	criticism	vote
繁栄 (はんえい)	prospering	criticism	vote	absence 
非難 (ひなん)	criticism	vote	absence 	bad
票 (ひょう)	vote	absence 	bad	riches
不在 (ふざい)	absence 	bad	riches	composite
不良 (ふりょう)	bad	riches	composite	change
富 (とみ)	riches	composite	change	nursing
複合 (ふくごう)	composite	change	nursing	prisoner 
変革 (へんかく)	change	nursing	prisoner 	law
保育 (ほいく)	nursing	prisoner 	law	essence
捕虜 (ほりょ)	prisoner 	law	essence	not yet fixed
法学 (ほうがく)	law	essence	not yet fixed	wireless
本質 (ほんしつ)	essence	not yet fixed	wireless	name
